adjmatrix_key,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,educ,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
1,1,42,1,1,0,0,1,0,0,0,10,1,1,1,1,1,2,0,1
2,2,34,3,-999,1,0,0,0,0,0,10,2,2,2,1,1,6,0,0
5,1,45,3,999,0,0,1,0,0,0,7,1,1,1,1,1,2,0,1
6,2,38,3,-999,1,0,0,0,0,0,16,2,2,1,1,1,6,0,0
8,3,21,3,999,1,0,0,0,0,0,14,1,2,2,3,1,6,0,0
11,1,60,1,3,0,0,0,0,0,0,4,1,2,1,1,1,2,0,1
12,2,60,1,3,0,0,0,0,0,0,16,2,2,2,1,1,2,0,0
13,3,40,1,3,0,0,1,0,0,0,7,1,1,1,1,1,2,1,1
14,3,30,1,3,0,0,0,0,0,0,7,2,2,2,1,1,2,0,0
17,1,37,3,999,0,0,1,0,0,1,14,1,1,1,1,1,2,0,1
18,2,32,3,999,0,0,1,0,0,0,12,2,2,1,1,1,2,0,0
26,1,28,1,1,0,0,1,0,0,0,10,1,1,1,1,1,2,0,1
27,2,24,1,1,0,0,1,0,0,0,3,2,2,1,1,1,2,1,0
35,1,60,1,1,1,0,0,0,0,0,16,1,1,1,1,1,6,0,1
36,2,45,1,1,1,0,0,0,0,0,16,2,1,1,1,1,6,1,0
53,1,38,1,1,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
54,2,29,1,1,0,0,1,0,0,0,16,2,1,1,1,1,2,1,0
58,1,35,1,1,0,0,1,0,0,0,16,1,1,1,1,1,2,0,1
59,2,29,1,1,1,0,0,0,0,0,16,2,2,2,1,1,6,1,0
71,1,50,1,1,1,0,0,0,0,0,16,1,1,1,1,1,6,0,1
72,2,38,1,1,1,0,0,0,0,0,16,2,2,1,1,1,6,1,0
73,3,25,1,1,0,0,1,0,0,1,14,1,1,1,1,1,2,0,1
74,3,21,1,1,0,0,1,0,0,0,10,2,2,1,1,1,2,1,0
88,1,25,1,1,1,0,0,0,0,0,9,1,1,2,1,1,6,0,1
89,3,45,1,1,1,0,0,0,0,0,16,2,2,2,1,1,6,0,0
95,1,50,1,3,0,0,1,0,0,0,7,1,1,2,1,1,2,0,1
96,2,41,1,3,0,0,0,0,0,0,16,2,1,1,1,1,2,1,0
100,1,28,1,3,0,1,1,1,0,1,15,1,1,1,1,1,2,0,1
103,3,50,1,3,0,0,1,0,0,0,10,2,2,1,1,1,2,1,0
120,1,65,1,3,0,0,0,0,0,0,3,1,1,2,1,1,2,0,1
122,2,40,1,3,0,0,0,0,0,0,16,2,2,1,1,1,2,1,0
131,1,44,1,3,0,0,1,0,0,0,13,1,1,2,1,1,2,0,1
133,2,35,1,3,0,0,1,0,0,0,10,2,2,2,1,1,2,1,0
161,1,70,1,3,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
162,3,41,1,3,0,0,0,0,0,0,14,1,1,2,1,1,2,0,1
163,3,38,1,3,0,0,1,0,0,0,14,2,2,1,1,1,2,0,0
165,3,39,1,3,0,0,1,0,0,1,14,1,1,1,1,1,2,1,1
166,3,35,1,3,0,0,1,0,0,0,13,2,2,1,1,1,2,1,0
169,3,35,1,3,0,0,1,0,0,0,10,1,1,2,1,1,2,1,1
170,3,20,1,3,0,0,1,0,0,0,10,2,2,2,3,1,2,0,0
173,1,50,1,3,0,0,1,0,0,0,16,1,2,2,1,1,2,1,0
174,3,18,1,3,0,0,0,0,0,0,10,1,2,2,3,1,2,0,0
175,1,42,1,3,0,0,1,0,0,0,7,1,2,1,1,1,2,0,1
176,2,37,1,3,0,0,0,0,0,0,7,2,1,1,1,1,2,1,0
179,1,50,1,3,0,0,1,0,0,0,7,1,1,2,1,1,2,0,1
180,2,40,1,3,0,0,0,0,0,0,7,2,1,2,1,1,2,1,0
181,3,18,1,3,0,0,0,0,0,0,12,1,2,1,3,1,2,0,0
184,1,72,1,3,0,0,0,0,0,0,5,1,2,2,1,1,2,0,1
185,2,60,1,3,0,0,0,0,0,0,16,2,2,2,1,1,2,1,0
187,3,19,1,3,0,0,0,0,0,0,12,1,2,1,3,1,2,0,0
199,1,40,1,3,0,0,1,0,0,0,10,1,1,2,1,1,2,0,1
200,2,32,1,3,0,0,0,0,0,0,7,2,2,1,1,1,2,1,0
203,1,38,1,3,0,0,1,0,0,0,7,1,1,1,1,1,2,0,1
204,2,28,1,3,0,0,0,0,0,0,7,2,2,2,1,1,2,1,0
207,2,62,1,3,0,0,1,0,0,0,10,1,1,1,1,1,2,0,1
219,2,22,1,3,0,0,0,0,0,0,10,2,2,1,3,1,2,1,0
228,1,45,1,3,0,0,0,0,0,0,4,1,1,1,1,1,2,0,1
229,2,35,1,3,0,0,0,0,0,0,7,2,2,1,1,1,2,1,0
234,1,40,1,3,0,0,1,0,0,0,9,1,1,1,1,1,2,0,1
235,2,32,1,3,0,0,0,0,0,0,8,2,1,1,1,1,2,1,0
238,1,40,1,3,0,0,1,0,0,0,4,2,2,1,1,1,2,1,0
258,1,55,1,3,0,0,0,0,0,0,10,1,2,1,1,1,2,0,1
259,2,42,1,3,0,0,0,0,0,0,9,2,2,1,1,1,2,1,0
262,1,43,1,3,0,0,0,0,0,0,11,1,2,1,1,1,2,1,1
263,2,31,1,3,0,0,0,0,0,0,10,2,2,2,1,1,2,1,0
267,1,45,1,3,0,0,0,0,0,0,7,1,2,2,1,1,2,1,0
270,3,18,1,3,0,0,0,0,0,0,12,1,2,2,3,1,2,0,0
282,1,80,1,3,0,0,0,0,0,0,16,1,2,2,1,1,2,0,1
283,2,60,1,3,0,0,0,0,0,0,16,2,2,2,1,1,2,0,0
285,3,35,1,3,0,0,0,0,0,0,3,1,1,1,1,1,2,0,1
286,3,30,1,3,0,0,0,0,0,0,4,2,2,1,1,3,2,1,0
296,1,35,1,3,0,0,0,0,0,0,4,1,1,1,1,1,2,0,1
297,2,28,1,3,0,0,0,0,0,0,4,2,2,1,1,1,2,1,0
306,1,40,1,3,0,0,0,0,0,0,5,1,1,1,1,1,2,0,1
307,2,32,1,3,0,0,0,0,0,0,16,2,2,1,1,1,2,1,0
312,1,40,1,3,0,0,0,0,0,0,5,1,1,1,1,1,2,0,1
313,2,35,1,3,0,0,0,0,0,0,5,2,2,1,1,1,2,0,0
317,1,50,1,3,0,0,0,0,0,0,16,1,2,1,1,1,2,0,1
318,2,38,1,3,0,0,0,0,0,0,16,2,2,2,1,1,2,1,0
321,1,60,1,3,0,0,0,0,0,0,16,2,1,2,3,1,2,1,0
322,3,45,1,3,0,0,1,0,0,0,5,1,1,1,1,1,2,1,1
323,3,35,1,3,0,0,1,0,0,0,9,2,2,1,3,1,2,1,0
347,1,38,1,3,0,0,1,0,0,0,6,1,1,1,1,1,2,0,1
348,2,30,1,3,0,0,1,0,0,0,10,2,1,1,1,1,2,1,0
371,1,40,1,4,0,0,1,0,0,0,7,1,1,1,1,1,2,1,1
372,2,31,1,3,0,0,1,0,0,0,16,2,2,1,1,1,2,1,0
375,1,60,1,3,0,0,0,0,0,0,6,1,1,2,1,1,2,0,1
376,2,51,1,3,0,0,1,0,0,0,16,2,2,1,1,1,2,1,0
377,3,30,1,3,0,0,1,0,0,0,8,1,2,1,1,1,2,0,1
378,3,21,1,3,0,0,0,0,0,0,10,1,2,1,1,1,2,1,0
381,3,28,1,3,0,0,1,0,0,0,10,1,2,1,1,1,2,0,1
382,3,21,1,3,0,0,1,0,0,0,10,2,2,1,1,1,2,1,0
387,1,55,1,3,0,0,0,0,0,0,16,1,1,1,1,1,2,0,1
388,2,50,1,3,0,0,0,0,0,0,16,2,2,1,1,1,2,0,0
389,3,20,1,3,0,0,0,0,0,0,7,1,2,1,3,1,2,0,0
390,1,30,1,3,0,0,0,0,0,0,2,1,1,1,1,3,2,0,1
391,2,26,1,3,0,0,0,0,0,0,16,2,1,1,1,1,2,1,0
419,1,35,1,3,0,0,1,0,0,0,3,1,1,2,2,1,2,0,1
420,2,22,1,3,0,0,1,0,0,0,10,2,2,2,3,1,2,0,0
423,1,30,1,3,0,0,1,0,0,1,10,1,2,2,1,1,2,1,1
424,2,25,1,3,0,0,1,0,0,1,8,2,2,1,1,1,2,1,0
427,1,50,1,3,0,0,0,0,0,0,4,1,2,2,1,1,2,0,1
428,2,40,1,3,0,0,0,0,0,0,3,1,1,1,1,1,2,1,0
448,1,50,1,3,0,0,1,0,0,0,9,1,1,2,1,3,2,0,1
449,2,36,1,3,0,0,1,0,0,0,9,2,1,1,1,3,2,1,0
450,3,18,1,3,0,0,0,0,0,0,9,1,2,-999,3,3,2,0,0
452,1,70,1,3,0,0,1,0,0,0,4,1,1,2,1,1,2,0,1
453,3,58,1,3,0,0,1,0,0,0,2,1,1,2,1,1,2,0,1
454,3,46,1,3,0,0,0,0,0,0,4,2,2,1,1,1,2,1,0
457,1,50,1,3,0,0,1,0,0,0,16,1,1,1,1,1,2,0,1
458,2,42,1,3,0,0,0,0,0,0,16,2,2,1,1,1,2,1,0
459,3,24,1,3,0,0,0,0,0,0,16,1,2,1,3,1,2,1,0
460,3,20,1,3,0,0,0,0,0,0,10,1,1,2,3,1,2,0,0
468,1,65,1,3,0,0,0,0,0,0,10,1,2,1,1,1,2,0,1
470,2,57,1,3,0,0,0,0,0,0,2,2,2,2,1,1,2,0,0
471,3,35,1,3,0,0,1,0,0,1,12,1,1,1,1,1,2,0,1
472,3,25,1,3,0,0,0,0,0,0,10,2,2,1,1,1,2,1,0
473,3,31,1,3,0,0,1,0,0,0,10,1,1,2,1,1,2,0,1
474,3,22,1,3,0,0,1,0,0,1,14,2,2,-999,3,1,2,0,0
485,1,60,1,3,0,0,1,0,0,0,10,1,1,2,1,1,2,1,1
486,2,50,1,3,0,0,0,0,0,0,4,2,2,-999,1,-999,2,0,0
488,3,38,1,3,0,0,1,0,0,0,7,1,1,2,1,1,2,1,1
489,3,27,1,3,0,0,0,0,0,0,9,2,2,-999,3,1,2,0,0
504,1,35,1,1,1,0,0,0,0,0,16,1,1,1,1,1,6,0,1
505,2,28,1,1,1,0,0,0,0,0,16,2,1,2,1,1,6,1,0
508,3,50,1,1,1,0,0,0,0,0,16,2,2,2,1,1,6,1,0
509,1,45,1,1,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
510,2,32,1,1,1,0,0,0,0,0,16,2,1,2,1,1,6,1,0
513,1,65,1,1,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
514,2,55,1,1,1,0,0,0,0,0,16,2,2,2,1,1,6,0,0
526,1,68,1,1,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
527,2,59,1,1,1,0,0,0,0,0,16,2,1,2,1,1,6,1,0
528,3,35,1,1,1,0,0,0,0,0,9,1,1,1,1,1,6,0,1
529,3,30,1,1,1,0,0,0,0,0,16,2,2,1,1,1,6,1,0
547,1,38,1,1,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
548,2,27,1,1,1,0,0,0,0,0,7,2,2,2,1,1,6,1,0
565,1,45,1,1,0,0,1,0,0,0,16,1,1,1,1,1,2,0,1
566,2,36,1,1,0,0,0,0,0,0,16,2,1,2,1,1,2,1,0
569,1,75,1,1,0,0,1,0,0,0,16,2,2,2,1,1,2,0,1
570,2,63,1,1,0,0,1,0,0,0,16,1,2,2,1,1,2,1,0
571,3,47,1,1,0,0,1,0,0,0,16,1,2,2,1,1,2,0,1
572,3,30,1,1,0,0,1,0,0,0,10,2,2,2,1,1,2,1,0
573,3,40,1,1,0,0,1,0,0,0,7,1,1,2,1,1,2,0,1
574,3,27,1,1,0,0,1,0,0,0,16,2,2,2,1,1,2,1,0
580,1,50,1,1,1,1,0,0,0,0,3,2,1,1,1,1,6,0,1
581,2,43,1,1,1,0,0,0,0,0,16,1,1,2,1,1,6,1,0
583,3,18,1,1,1,0,0,0,0,0,10,1,2,1,3,1,6,0,0
590,1,50,1,1,1,0,0,0,0,0,7,2,2,1,1,2,6,1,0
592,3,18,1,1,1,0,0,1,0,1,12,1,2,1,1,2,6,0,0
599,1,80,1,1,1,0,0,0,0,0,4,1,1,1,1,1,6,0,1
600,2,70,1,1,0,0,1,0,0,0,16,2,2,1,1,1,2,0,0
601,3,50,1,1,0,0,1,0,0,0,12,2,1,1,1,1,2,0,1
602,3,45,1,1,1,0,0,0,0,0,16,1,1,1,1,1,6,1,0
603,3,35,1,1,1,0,0,0,0,0,5,1,1,1,1,1,6,1,0
604,3,26,1,1,1,0,0,0,0,0,14,1,1,1,1,1,6,0,1
607,1,40,1,1,1,0,0,0,0,0,1,1,1,1,1,1,6,0,1
608,2,30,1,1,1,0,0,0,0,0,16,2,2,1,1,1,6,1,0
614,1,60,1,1,1,0,0,0,0,0,5,1,1,1,1,1,6,0,1
615,2,48,1,1,1,0,0,0,0,0,16,2,1,1,1,1,6,1,0
620,1,42,1,1,1,0,0,0,0,0,16,1,2,1,1,1,6,0,1
621,2,29,1,1,1,0,0,0,0,0,16,2,1,2,1,1,6,1,0
625,1,50,1,1,1,0,0,0,0,0,4,1,2,1,1,1,6,0,1
626,2,45,1,1,1,0,0,0,0,0,16,2,1,2,1,1,6,1,0
627,3,25,1,1,1,0,0,0,0,1,14,1,1,1,3,1,6,0,1
628,3,26,1,1,0,0,1,0,0,0,7,1,1,2,1,1,6,0,1
631,3,23,1,1,1,0,0,0,0,0,13,2,1,1,1,1,6,0,0
632,3,18,1,1,0,0,1,0,0,0,10,2,2,2,3,1,6,0,0
633,2,42,1,1,0,0,1,0,0,0,10,1,2,1,1,1,2,0,1
637,1,45,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
638,2,36,1,1,1,0,0,0,0,0,3,2,2,1,1,1,6,1,0
655,1,60,3,3,0,0,1,0,0,0,16,1,2,2,1,1,2,0,0
656,3,30,3,3,0,0,1,0,0,0,16,1,1,2,1,1,2,1,0
