adjmatrix_key,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,educ,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
5,1,62,1,1,0,0,1,0,0,0,12,1,1,1,1,1,2,0,1
6,2,55,1,1,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
7,3,32,1,1,0,0,1,1,0,1,12,1,1,1,1,1,2,0,1
8,3,28,1,1,0,0,1,0,0,0,12,2,2,2,1,1,2,1,0
12,3,26,1,1,0,0,1,0,0,0,12,1,1,1,1,1,2,0,1
13,3,21,1,1,0,0,1,0,0,0,10,2,2,2,3,3,2,0,0
16,1,40,1,1,0,0,1,0,0,0,14,1,1,1,1,1,2,0,1
17,2,30,1,1,0,0,1,0,0,0,3,2,2,1,1,1,2,1,0
21,3,35,1,1,0,0,1,0,0,0,7,1,1,1,1,1,2,1,1
22,3,25,1,1,0,0,1,0,0,0,10,2,2,1,3,1,2,1,0
59,1,48,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
60,2,44,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,0
61,3,25,1,1,0,0,1,0,0,0,7,1,1,2,1,3,2,1,1
63,3,19,1,1,0,0,1,0,0,0,16,1,2,2,3,1,2,0,0
64,1,26,1,1,0,0,1,0,0,0,7,1,1,2,1,1,2,0,1
65,3,19,1,1,0,0,1,0,0,0,8,2,2,2,3,3,2,0,0
66,3,48,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,1,0
71,1,35,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
72,2,28,1,1,0,0,1,0,0,0,5,2,2,2,1,1,2,1,0
83,1,55,1,1,0,0,1,1,0,1,14,1,1,1,1,1,2,0,1
84,2,50,1,1,0,0,1,0,0,0,16,2,2,1,1,1,2,1,0
88,1,40,1,1,0,0,1,0,0,0,5,1,1,2,1,1,2,0,1
89,2,38,1,1,0,0,1,0,0,0,2,2,2,1,1,1,2,1,0
92,1,35,1,1,0,0,1,0,0,0,10,1,1,2,1,1,2,0,1
93,2,25,1,1,0,0,1,0,0,0,16,2,2,2,3,1,2,0,0
106,1,52,1,3,0,1,1,1,0,0,10,1,1,2,1,1,2,0,1
107,2,48,1,3,0,0,1,0,0,0,16,2,1,2,1,1,2,1,0
109,3,20,1,3,0,0,1,0,0,0,10,1,2,2,3,1,2,0,0
123,1,30,1,3,0,0,1,0,0,0,1,1,1,1,1,1,2,1,1
124,2,28,1,3,0,0,0,0,0,0,16,2,1,2,3,1,2,1,0
128,3,28,1,3,0,0,1,0,0,0,16,1,1,2,3,1,2,0,1
147,1,45,1,3,0,0,1,0,0,0,5,1,1,1,1,3,2,1,1
148,2,42,1,3,0,0,1,0,0,0,16,2,1,2,1,3,2,1,0
151,1,35,1,3,0,0,1,0,0,0,9,1,1,2,1,3,2,0,1
