adjmatrix_key,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,educ,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
1,1,32,1,4,0,0,0,0,0,0,11,1,2,2,1,1,2,0,1
2,2,28,1,4,0,0,0,0,0,0,5,2,2,2,1,1,2,0,0
13,1,44,1,4,0,0,0,0,0,0,16,1,2,2,1,1,2,0,1
14,2,39,1,4,0,0,0,0,0,0,10,2,1,2,1,1,2,0,0
16,1,57,1,3,0,0,0,0,0,0,14,1,1,1,1,1,2,0,1
17,2,48,1,3,0,0,0,0,0,0,12,2,2,2,1,1,2,0,0
34,1,45,1,1,0,0,0,0,0,0,8,2,1,2,1,1,2,0,1
35,2,38,1,1,0,0,0,0,0,0,16,1,2,2,1,1,2,0,0
41,1,55,1,4,0,0,0,0,0,0,4,1,1,2,1,1,2,0,1
42,2,48,1,4,0,0,0,0,0,0,9,2,1,2,1,1,2,0,0
44,1,35,1,1,0,0,0,0,0,0,12,1,1,1,1,1,2,0,1
45,2,31,1,1,0,0,0,0,0,0,12,2,2,1,1,1,2,0,0
50,1,63,1,1,0,0,0,0,0,0,10,1,2,1,1,1,2,0,1
51,2,45,1,1,0,0,0,0,0,0,16,2,2,2,1,1,2,0,0
57,1,50,1,1,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
58,2,45,1,1,0,0,0,0,0,0,16,2,1,1,1,1,2,1,0
59,3,20,1,1,0,0,0,0,0,0,12,1,2,2,1,1,2,0,0
65,1,52,1,4,0,0,0,0,0,0,10,1,1,1,1,1,2,0,1
66,2,49,1,4,0,0,0,0,0,0,9,2,2,2,1,1,2,0,0
68,3,38,1,4,0,0,0,0,0,0,10,1,2,2,1,1,2,0,1
69,3,30,1,4,0,0,0,0,0,0,10,2,2,2,1,1,2,0,0
72,1,27,1,4,0,0,0,0,0,0,10,1,1,1,1,1,2,0,1
73,2,25,1,4,0,0,0,0,0,0,7,2,2,2,1,1,2,0,0
97,1,48,1,1,0,0,0,0,0,0,5,1,2,2,1,1,2,0,1
98,2,42,1,1,0,0,0,0,0,0,16,1,1,2,1,1,2,0,0
110,1,50,1,4,0,0,0,0,0,0,4,1,1,1,1,3,2,0,1
111,2,42,1,4,0,0,0,0,0,0,7,2,2,1,1,1,2,0,0
113,3,38,1,4,0,0,0,0,0,0,7,1,1,2,1,3,2,0,1
114,3,32,1,4,0,0,0,0,0,0,12,2,2,1,1,1,2,0,0
129,1,37,1,1,0,0,0,0,0,0,16,1,2,2,1,1,2,0,1
130,2,34,1,1,0,0,0,0,0,0,16,2,1,2,1,1,2,0,0
142,1,40,1,1,0,0,0,0,0,0,12,1,1,1,1,1,2,0,1
143,2,35,1,1,0,0,0,0,0,0,16,2,1,2,1,1,2,0,0
180,1,36,1,1,0,0,0,0,0,0,3,1,1,2,1,1,2,0,1
181,2,30,1,1,0,0,0,0,0,0,16,2,2,1,1,1,2,1,0
