adjmatrix_key,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,educ,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
5,1,53,1,3,1,0,0,0,0,0,10,1,1,1,1,1,6,0,1
6,2,42,1,3,1,0,0,0,0,0,16,2,2,2,1,1,6,0,0
7,3,22,1,3,1,0,0,0,0,0,10,1,2,2,1,1,6,0,0
9,1,26,1,3,0,0,1,0,0,0,6,1,1,2,1,1,2,1,1
10,2,20,1,3,1,0,0,0,0,0,10,2,2,1,1,1,6,1,0
22,1,45,1,3,1,0,0,0,0,0,4,1,1,2,1,1,6,0,1
23,2,38,1,3,1,0,0,0,0,0,4,2,2,1,1,1,6,0,0
25,1,70,1,3,0,0,0,0,0,0,5,1,2,1,1,1,6,0,1
26,2,60,1,3,1,0,0,0,0,0,16,2,2,1,1,1,6,0,0
28,3,42,1,3,1,0,0,0,0,0,4,1,1,2,1,1,6,0,1
29,3,35,1,3,1,0,0,0,0,0,16,2,2,2,1,1,6,0,0
32,3,30,1,3,1,0,0,0,0,0,5,1,1,2,1,1,6,0,1
33,3,29,1,3,0,0,1,0,0,0,16,2,2,2,1,1,2,0,0
36,1,48,1,3,1,0,0,0,0,0,16,1,1,1,1,1,6,0,1
37,2,38,1,3,1,0,0,0,0,0,7,2,2,1,1,1,6,0,0
47,1,45,1,3,1,0,0,0,0,0,16,1,1,1,1,1,6,0,1
48,2,40,1,3,1,0,0,0,0,0,5,2,2,2,1,1,6,0,0
64,1,55,1,3,1,0,0,0,0,0,6,1,1,1,1,1,6,0,1
65,2,42,1,3,1,0,0,0,0,0,16,2,1,1,1,1,6,1,0
72,1,37,1,3,1,0,0,1,0,0,10,1,2,1,1,3,6,0,1
73,2,30,1,3,1,0,0,1,0,0,12,2,2,2,1,3,6,0,0
77,1,48,1,3,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
78,2,45,1,3,1,0,0,0,0,0,16,2,1,2,1,1,6,0,0
90,2,45,1,3,1,0,0,0,0,0,5,1,2,2,1,3,6,0,0
92,3,20,1,3,1,0,0,0,0,0,12,1,2,2,3,3,6,0,0
109,1,65,1,3,1,0,0,0,0,0,10,1,2,1,1,1,6,0,1
110,2,60,1,3,0,0,0,0,0,0,16,2,2,2,1,1,6,0,0
112,3,20,1,3,1,0,0,0,0,0,13,1,2,1,1,1,6,1,0
114,1,40,1,3,1,0,0,0,0,0,7,1,1,1,1,1,6,0,1
143,1,40,1,3,1,0,0,0,0,0,10,1,1,1,1,1,6,0,1
144,2,30,1,3,1,0,0,0,0,0,16,2,2,1,1,1,6,1,0
147,1,49,1,3,0,0,0,0,0,0,2,1,1,1,1,1,6,0,1
