adjmatrix_key,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,educ,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
5,1,35,1,4,0,0,0,0,0,0,10,1,1,1,1,1,2,0,1
6,2,30,1,4,0,0,0,0,0,0,10,2,2,1,1,1,2,1,0
10,1,50,1,2,0,0,1,0,0,0,16,1,1,1,1,1,2,0,1
11,2,42,1,2,0,0,1,0,0,0,16,2,1,1,1,1,2,1,0
12,3,18,1,2,0,0,1,0,0,0,10,1,1,2,3,1,2,0,0
18,1,55,1,3,0,0,1,0,0,0,5,1,1,1,1,1,2,0,1
19,2,48,1,3,0,0,1,0,0,0,16,2,2,1,1,1,2,1,0
20,3,25,1,3,0,0,1,0,0,0,8,1,1,2,2,3,2,0,1
21,3,22,1,3,0,0,1,0,0,0,7,2,2,2,1,1,2,0,0
34,1,40,1,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
35,2,35,1,2,0,0,1,0,0,0,16,2,1,1,1,1,2,1,0
38,1,55,1,3,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
39,2,45,1,3,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
40,3,26,1,3,0,0,1,0,0,0,12,1,2,2,1,1,2,0,1
41,3,22,1,3,0,0,1,0,0,0,3,2,2,2,3,3,2,0,0
59,1,58,1,3,0,0,0,0,0,0,2,1,1,2,1,1,2,0,1
60,2,48,1,3,0,0,0,0,0,0,16,2,2,1,1,1,2,1,0
64,1,52,1,4,0,0,1,0,0,0,16,2,1,1,1,1,2,0,1
65,2,45,1,4,0,0,1,0,0,0,7,2,2,1,1,1,2,1,0
68,1,50,1,2,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
69,2,45,1,2,0,0,1,0,0,0,16,2,2,1,1,1,2,1,0
73,1,35,1,3,0,0,0,0,0,0,16,2,1,1,1,3,2,0,1
74,2,30,1,3,0,0,0,0,0,0,16,1,2,1,3,3,2,1,0
81,1,48,1,3,0,0,1,0,0,0,12,1,1,1,1,1,2,0,1
82,2,40,1,3,0,0,0,0,0,0,16,2,2,1,1,1,2,1,0
87,1,30,1,3,0,0,1,0,0,0,13,1,2,2,1,1,2,0,1
88,2,25,1,3,0,0,0,0,0,0,10,2,2,1,1,1,2,1,0
96,1,40,1,3,0,0,1,1,0,0,16,2,1,2,1,1,2,0,1
97,2,35,1,3,0,0,1,0,0,0,16,2,1,2,1,3,2,0,0
100,1,60,1,1,0,0,1,0,0,0,7,1,2,2,1,1,2,0,1
101,2,53,1,1,0,0,1,0,0,0,16,1,2,1,1,1,2,1,0
102,3,37,1,1,0,0,1,0,0,0,12,1,1,1,3,3,2,0,0
122,1,35,1,3,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
123,2,29,1,3,0,0,1,1,0,0,10,2,1,1,1,1,2,1,0
126,1,40,1,3,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
127,2,38,1,3,0,0,0,0,0,0,3,2,2,1,1,1,2,1,0
130,1,38,1,3,0,0,1,0,0,0,16,2,2,2,1,1,2,0,1
131,2,34,1,3,0,0,1,1,0,0,6,1,2,1,1,1,2,1,0
133,1,30,1,3,0,0,1,0,0,0,5,2,1,2,1,1,2,0,1
134,2,28,1,3,0,0,0,0,0,0,16,1,1,2,1,1,2,0,0
141,1,40,1,3,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
142,2,35,1,3,0,0,1,0,0,0,5,2,1,1,1,1,2,1,0
145,1,40,1,4,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
146,2,36,1,4,0,0,0,1,0,0,16,2,2,1,1,1,2,1,0
153,1,30,1,4,0,0,1,0,0,0,10,1,1,2,1,3,2,0,1
154,2,22,1,4,0,0,0,1,0,0,12,2,2,1,3,3,2,1,0
