adjmatrix_key,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,educ,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
1,1,50,1,3,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
2,2,40,1,3,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
4,1,65,1,3,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
5,2,50,1,3,0,0,0,0,0,0,16,2,1,2,1,1,2,0,0
7,1,35,1,3,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
8,2,29,1,3,0,0,0,0,0,0,7,2,1,2,1,1,2,0,0
21,1,50,1,3,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
22,2,45,1,3,0,0,0,0,0,0,16,2,1,2,1,1,2,0,0
23,3,22,1,3,0,0,0,0,0,0,8,1,1,2,1,1,2,0,1
24,3,21,1,3,0,0,0,0,0,0,10,2,1,2,1,1,2,0,0
35,1,41,1,3,0,0,1,0,0,0,8,1,1,2,1,1,2,0,1
36,2,38,1,3,1,0,0,0,0,0,16,2,1,1,1,1,6,1,0
44,1,54,1,3,0,0,0,0,0,0,9,1,1,2,1,1,2,0,1
45,2,48,1,3,0,0,0,0,0,0,16,2,1,1,1,1,2,0,0
46,3,32,1,3,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
47,3,24,1,3,0,0,0,0,0,0,10,2,1,2,1,1,2,0,0
50,3,30,1,3,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
51,3,22,1,3,0,0,0,0,0,0,9,2,1,2,1,1,2,0,0
55,1,35,1,2,0,0,1,0,0,0,8,2,1,1,1,1,2,0,1
56,2,32,1,2,0,0,1,0,0,0,9,1,1,1,1,1,2,1,0
60,1,60,1,3,0,0,1,0,0,0,16,1,1,1,1,1,2,0,1
61,2,55,1,3,0,0,1,0,0,0,16,1,2,1,1,1,2,0,0
62,3,32,1,3,0,0,1,0,0,0,16,1,1,2,1,1,2,0,0
64,3,30,1,3,0,0,1,0,0,0,7,1,1,2,1,1,2,0,1
65,3,25,1,3,0,0,1,0,0,0,8,2,1,2,1,1,2,0,0
71,1,40,1,4,0,0,1,0,0,0,8,1,1,2,1,1,2,0,1
72,2,32,1,4,0,0,0,0,0,0,4,2,1,1,1,1,2,1,0
76,1,45,1,4,0,0,1,0,0,0,7,1,1,2,1,1,2,0,1
77,2,38,1,4,0,0,1,0,0,0,16,2,2,2,1,1,2,0,0
94,1,51,1,4,0,0,1,0,0,0,10,1,2,2,1,1,2,0,1
95,2,45,1,4,0,0,1,0,0,0,16,1,2,2,1,1,2,0,0
96,3,28,1,3,0,0,1,0,0,0,10,1,1,2,1,1,2,0,1
97,3,21,1,4,0,0,1,0,0,0,10,2,2,2,3,3,2,0,0
99,1,40,1,3,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
100,2,35,1,3,0,0,1,0,0,0,16,1,1,2,3,1,2,0,0
108,1,45,1,3,0,0,1,0,0,0,4,1,1,2,1,3,2,0,1
109,2,40,1,3,0,0,1,0,0,0,16,2,1,1,1,3,2,1,0
110,3,18,1,3,0,0,1,0,0,0,10,1,2,2,3,3,2,0,0
115,1,55,1,3,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
116,2,50,1,3,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
117,3,28,1,3,0,0,1,0,0,0,10,1,1,2,1,1,2,0,1
118,3,25,1,3,0,0,1,0,0,0,16,2,2,2,1,1,2,0,0
121,1,27,1,3,0,0,1,0,0,0,7,1,1,2,1,1,2,0,1
122,2,20,1,3,0,0,0,0,0,0,9,2,2,2,3,3,2,0,0
131,1,30,1,3,0,0,1,0,0,0,7,1,1,2,1,3,2,1,1
132,2,25,1,3,0,0,1,0,0,0,7,2,1,2,1,3,2,0,0
135,1,60,1,3,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
136,2,56,1,3,0,0,1,0,0,0,16,1,1,2,1,1,2,0,0
137,3,38,1,3,0,0,1,0,0,0,16,1,2,2,1,1,2,0,0
151,1,34,1,3,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
152,2,27,1,3,0,0,1,0,0,0,6,2,1,1,1,1,2,1,0
164,1,26,1,3,0,0,0,0,0,0,5,1,1,2,3,3,2,0,1
165,2,24,1,3,0,0,1,0,0,0,10,2,2,1,3,3,2,1,0
170,1,32,1,3,0,0,1,0,0,0,6,1,1,1,1,1,2,1,1
179,1,32,1,4,0,0,0,0,0,0,10,1,1,1,2,1,2,0,1
180,2,22,1,4,0,0,0,0,0,0,10,2,2,2,3,1,2,0,0
193,1,35,1,4,0,0,0,0,0,0,9,1,1,1,1,3,2,0,1
194,2,30,1,4,0,0,0,0,0,0,10,2,1,1,1,3,2,1,0
197,1,38,1,4,0,0,1,0,0,0,10,1,1,2,1,1,2,0,1
198,2,32,1,4,0,0,1,0,0,0,7,2,2,2,1,1,2,0,0
210,1,59,1,3,0,0,1,0,0,0,7,1,1,1,1,1,2,0,1
211,2,55,1,3,1,0,0,0,0,0,16,2,1,2,1,1,6,0,0
213,3,18,1,3,0,0,1,1,0,1,15,1,1,1,1,1,2,0,0
219,1,30,1,4,0,0,0,0,0,0,5,1,1,2,3,1,2,0,1
220,2,25,1,4,0,0,0,0,0,0,16,2,1,2,2,1,2,0,0
222,1,35,1,4,0,0,1,0,0,0,13,1,1,1,1,1,2,0,1
223,2,30,1,4,0,0,0,0,0,0,7,2,2,2,1,1,2,0,0
232,3,34,1,3,0,0,1,0,0,0,12,1,1,1,1,1,2,0,1
233,3,31,1,3,0,0,1,0,0,0,9,2,2,2,1,1,2,0,0
241,1,25,1,3,0,0,1,0,0,0,16,1,1,1,1,1,2,1,0
242,2,30,1,4,0,0,1,0,0,0,4,1,1,2,1,1,2,0,1
256,1,50,1,4,0,0,0,0,0,0,4,1,1,1,1,1,2,0,1
257,2,45,1,4,0,0,0,0,0,0,16,2,2,2,1,1,2,0,0
264,1,40,1,3,0,0,1,0,0,0,12,1,1,1,1,1,2,0,1
265,2,38,1,3,0,0,1,0,0,0,5,2,1,1,1,1,2,1,0
268,1,45,1,3,0,0,1,0,0,0,16,1,1,1,1,1,2,0,1
269,2,40,1,3,0,0,1,0,0,0,16,2,1,1,1,1,2,1,0
272,1,35,1,4,0,0,1,0,0,0,13,1,1,1,1,1,2,0,1
273,2,32,1,4,0,0,1,0,0,0,10,2,2,2,1,1,2,1,0
289,1,26,1,3,0,0,1,0,0,0,8,1,1,2,1,3,2,0,1
290,2,24,1,3,0,0,1,0,0,0,9,2,2,2,3,3,2,0,0
293,1,40,1,3,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
294,2,33,1,3,0,0,0,0,0,0,16,2,1,1,1,1,2,1,0
297,1,60,1,3,0,0,1,0,0,0,16,1,1,1,1,1,2,0,1
298,2,42,1,3,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
299,1,55,1,3,0,0,1,0,0,0,4,1,1,2,1,1,2,0,1
300,2,50,1,3,0,0,1,0,0,0,4,1,1,2,1,1,2,0,0
312,3,18,1,3,0,0,0,0,0,0,8,1,2,2,3,1,2,0,0
313,3,60,1,3,0,0,1,0,0,0,5,1,2,2,1,1,2,0,1
314,3,55,1,3,0,0,1,0,0,0,16,2,1,2,1,1,2,1,0
315,2,49,1,3,0,0,1,0,0,0,16,1,1,2,1,3,2,0,0
318,3,50,1,3,0,0,1,0,0,0,16,1,1,2,3,3,2,0,0
321,1,45,1,3,0,0,0,0,0,0,10,1,1,1,1,1,2,0,1
322,2,38,1,3,0,0,0,0,0,0,16,2,1,1,1,1,2,1,0
332,1,50,1,3,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
333,2,45,1,3,0,0,0,0,0,0,16,2,2,2,1,1,2,0,0
348,1,45,1,4,0,0,1,0,0,0,10,1,1,1,1,1,2,0,1
349,2,38,1,4,0,0,0,1,0,1,14,2,2,2,1,1,2,1,0
358,1,35,1,3,0,0,0,0,0,0,9,1,1,1,1,1,2,1,1
370,1,55,1,3,0,0,1,0,0,0,16,1,2,2,1,1,2,0,1
371,2,45,1,3,0,0,1,0,0,0,5,2,2,2,1,1,2,0,0
376,1,58,1,3,0,0,1,0,0,0,10,1,1,2,1,1,2,0,1
377,2,48,1,3,0,0,1,0,0,0,6,2,2,2,1,1,2,0,0
378,1,40,1,3,0,0,1,0,0,0,5,2,1,2,3,1,2,0,1
379,2,37,1,3,0,0,0,0,0,0,7,1,1,1,3,1,2,1,0
391,1,45,1,3,0,0,1,0,0,0,8,1,2,2,1,1,2,0,1
392,2,40,1,3,0,0,0,0,0,0,3,2,2,1,1,1,2,1,0
397,1,50,1,4,0,0,1,0,0,0,7,1,1,1,1,1,2,0,1
398,2,45,1,4,0,0,1,0,0,0,4,2,1,2,3,1,2,0,0
410,1,40,1,3,0,0,1,0,0,0,16,2,1,1,1,1,2,1,0
428,1,27,1,4,0,0,1,0,0,0,10,1,1,1,1,1,2,0,1
429,2,21,1,4,0,0,0,0,0,0,10,2,2,2,1,1,2,0,0
432,3,50,1,4,0,0,1,0,0,0,5,1,1,2,1,1,2,0,0
433,1,42,1,3,0,0,1,0,0,0,16,1,1,1,1,1,2,1,1
434,2,30,1,3,0,0,1,0,0,0,4,1,1,1,1,1,2,1,0
438,1,55,1,3,0,0,1,0,0,0,5,1,1,1,1,1,2,1,1
439,2,50,1,3,0,0,1,0,0,0,5,2,1,2,1,1,2,0,0
455,1,35,1,3,0,0,0,0,0,0,16,1,1,2,1,1,2,1,0
459,1,40,1,2,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
460,2,35,1,2,1,0,0,0,0,0,16,2,1,2,1,1,6,0,0
464,1,50,1,3,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
465,2,42,1,3,1,0,0,0,0,0,16,2,1,1,1,1,6,1,0
473,1,45,1,3,0,0,0,0,0,0,10,1,2,2,1,1,2,0,1
474,2,38,1,3,0,0,0,0,0,0,3,2,1,2,1,1,2,0,0
476,1,45,1,3,0,0,1,0,0,0,8,1,1,2,1,1,2,0,1
477,2,35,1,3,0,0,1,0,0,0,5,2,1,2,1,1,2,0,0
485,1,45,1,3,0,0,1,0,0,0,2,1,1,1,1,1,2,0,1
486,2,38,1,3,0,0,0,0,0,0,16,2,1,2,1,1,2,0,0
491,1,40,1,3,0,0,1,0,0,0,2,1,1,2,1,1,2,1,1
492,2,35,1,3,0,0,0,0,0,0,16,1,1,1,1,1,2,1,0
495,1,40,1,3,0,0,1,0,0,0,6,1,1,2,1,1,2,0,1
496,2,34,1,3,0,0,1,0,0,0,16,2,2,2,1,1,2,1,0
