adjmatrix_key,resp_status,age,religion,caste,speakother,kannada,tamil,telugu,hindi,urdu,english,educ,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
572,1,47,1,3,2,0,0,0,0,0,0,9,1,1,1,1,1,2,0,1
574,3,25,1,4,2,0,0,0,0,0,0,10,1,2,2,1,1,2,1,0
575,3,22,1,3,2,0,0,0,0,0,0,10,1,2,2,1,1,2,0,0
581,1,35,1,3,2,0,0,0,0,0,0,4,1,1,2,1,1,2,0,1
582,2,30,1,3,2,0,0,0,0,0,0,5,1,2,2,1,1,2,0,0
602,1,55,1,3,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
605,1,60,1,3,1,0,0,1,0,0,0,16,1,2,-999,1,1,2,0,0
611,1,30,1,3,1,0,0,1,0,0,0,9,1,1,2,1,1,2,0,1
622,2,45,1,1,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
628,1,48,1,3,1,0,0,1,0,0,0,9,1,1,1,1,1,2,0,1
643,3,30,1,3,2,0,0,0,0,0,0,8,1,1,2,1,1,2,0,1
654,1,40,1,1,2,0,0,0,0,0,0,16,1,2,2,1,1,2,0,1
660,1,70,1,1,2,0,0,0,0,0,0,16,1,2,2,1,1,2,0,1
661,2,60,1,1,2,0,0,0,0,0,0,16,1,2,2,1,1,2,0,0
662,3,19,1,1,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,0
663,1,40,1,1,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
676,1,50,1,1,2,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
677,2,42,1,1,2,0,0,0,0,0,0,3,1,1,2,1,1,2,0,0
687,1,80,1,3,2,0,0,0,0,0,0,3,1,2,2,1,1,2,0,1
689,3,45,1,3,2,0,0,0,0,0,0,5,1,1,2,1,1,2,0,1
693,1,72,1,1,2,0,0,0,0,0,0,4,1,2,2,1,1,2,0,1
701,1,80,1,4,1,0,0,1,0,0,0,12,1,2,1,1,1,2,0,1
702,3,44,1,4,2,0,0,0,0,0,0,13,1,1,1,1,1,2,0,1
708,3,35,1,3,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,0
709,3,18,1,3,2,0,0,0,0,0,0,6,1,2,2,3,1,2,0,0
731,3,45,1,3,2,0,0,0,0,0,0,7,1,1,2,1,1,2,0,1
735,3,30,1,3,2,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
740,1,60,1,3,2,0,0,0,0,0,0,3,1,1,1,1,1,2,0,1
742,3,38,1,3,2,0,0,0,0,0,0,12,1,1,2,1,1,2,0,1
