adjmatrix_key,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,educ,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
1,1,48,1,3,0,0,1,0,0,0,10,1,1,2,1,1,2,0,1
2,2,45,1,3,0,0,0,0,0,0,5,2,2,2,1,1,2,1,0
3,3,18,1,3,0,0,0,0,0,0,10,1,2,1,3,1,2,0,0
4,3,35,1,3,0,0,1,0,0,0,9,1,1,2,1,1,2,0,1
5,3,32,1,3,0,0,1,0,0,0,10,2,2,2,1,1,2,1,0
8,3,22,1,3,0,0,1,0,0,0,9,2,2,2,1,1,2,0,0
9,3,30,1,3,0,0,1,0,0,0,10,1,1,2,1,1,2,0,1
10,3,28,1,3,0,0,0,0,0,0,10,2,1,1,1,1,2,1,0
15,1,25,1,3,0,0,0,0,0,0,10,1,2,2,1,1,2,0,1
16,3,50,1,3,0,0,0,0,0,0,16,2,1,2,1,1,2,0,0
36,1,32,1,3,0,0,1,0,0,0,13,1,1,2,1,1,2,0,1
37,2,20,1,3,0,0,1,0,0,0,10,2,2,2,1,1,2,0,0
39,3,36,1,3,0,0,1,0,0,0,10,2,2,2,1,1,2,0,0
55,1,40,1,3,0,0,1,0,0,0,4,1,1,2,1,1,2,0,1
56,2,35,1,1,0,0,1,0,0,0,2,1,2,2,1,1,2,0,0
57,3,19,1,3,0,0,1,0,0,0,10,1,2,1,1,1,2,0,0
59,3,32,1,3,0,0,1,0,0,0,3,1,2,2,1,1,2,0,1
60,3,28,1,3,0,0,1,0,0,0,2,2,1,1,1,1,2,1,0
65,1,28,1,3,0,0,1,0,0,0,10,1,1,2,1,1,2,0,1
66,2,24,1,3,0,0,0,0,0,0,10,2,2,2,1,1,2,0,0
71,1,45,1,3,0,0,0,0,0,0,7,1,2,2,1,1,2,0,1
72,2,35,1,3,0,0,0,0,0,0,5,2,2,2,1,1,2,0,0
75,1,60,1,3,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
76,2,50,1,3,0,0,1,0,0,0,16,1,2,2,1,1,2,1,0
77,3,35,1,3,0,0,1,0,0,0,3,1,2,2,1,1,2,0,1
78,3,30,1,3,0,0,1,0,0,0,5,2,2,2,1,1,2,0,0
81,3,28,1,3,0,0,1,0,0,0,6,1,1,2,1,1,2,0,1
90,1,35,1,3,0,0,0,0,0,0,5,1,1,2,1,3,2,0,1
91,2,30,1,3,0,0,0,0,0,0,16,2,2,2,1,3,2,1,0
103,1,45,1,3,0,0,1,0,0,0,16,1,1,1,1,1,2,0,1
104,2,40,1,3,0,0,0,0,0,0,7,2,1,1,1,1,2,1,0
105,3,20,1,3,0,0,1,0,0,0,10,1,1,1,1,1,2,1,0
116,1,35,1,3,0,0,1,0,0,0,10,1,1,1,1,1,2,0,1
117,2,22,1,3,0,0,1,0,0,0,10,2,2,2,3,1,2,0,0
119,3,25,1,3,0,0,1,0,0,1,13,1,1,1,1,1,2,0,0
120,3,75,1,3,0,0,1,0,0,0,16,1,2,1,1,1,2,0,1
138,1,35,1,3,0,0,1,0,0,0,10,1,1,1,1,1,2,0,1
139,2,20,1,3,0,0,0,0,0,0,10,2,1,1,3,3,2,0,0
145,1,60,1,3,0,0,1,0,0,0,5,1,1,2,1,1,2,0,1
146,2,55,1,3,0,0,1,0,0,0,16,2,2,2,1,1,2,0,0
147,3,35,1,3,0,0,1,0,0,0,9,1,1,2,1,1,2,0,1
148,3,30,1,3,0,0,0,0,0,0,16,2,2,2,1,1,2,0,0
163,1,34,1,3,0,0,1,0,0,0,5,2,1,2,3,3,2,0,1
164,2,25,1,3,0,0,1,0,0,0,10,1,1,1,1,3,2,0,0
167,3,45,1,3,0,0,1,0,0,0,16,1,1,1,1,1,2,1,0
192,2,40,1,3,0,0,1,0,0,0,7,2,1,1,1,1,2,1,0
196,1,60,1,3,0,0,1,0,0,0,4,1,1,1,1,1,2,0,1
197,2,55,1,3,0,0,0,0,0,0,16,2,1,1,1,1,2,1,0
199,3,18,1,3,0,0,0,0,0,0,12,1,1,1,1,1,2,1,0
223,1,45,1,3,0,0,1,0,0,0,16,1,1,2,1,1,2,1,0
225,1,35,1,2,0,0,1,0,0,0,2,1,1,2,1,1,2,0,1
226,2,32,1,2,0,0,1,0,0,0,16,2,2,2,1,1,2,0,0
229,3,50,1,2,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
236,1,40,1,2,1,0,0,0,0,0,3,1,1,1,1,1,6,1,1
237,2,32,1,2,0,0,1,0,0,0,3,2,2,1,1,1,2,0,0
265,1,40,1,1,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
266,2,35,1,1,1,0,0,0,0,0,16,2,1,1,1,1,6,1,0
278,1,55,1,1,1,0,0,0,0,0,16,1,1,1,1,1,6,1,0
279,3,32,1,1,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
280,3,28,1,1,0,1,0,0,0,0,16,1,2,2,3,3,6,0,0
298,1,45,1,1,0,0,1,0,0,0,16,2,1,2,1,1,2,0,1
299,2,38,1,1,1,0,0,0,0,0,16,1,1,1,1,1,6,1,0
304,1,27,1,1,0,0,1,0,0,0,10,1,1,2,1,3,2,0,1
305,2,22,1,1,0,0,1,0,0,0,5,1,2,2,1,3,2,0,0
312,1,36,1,1,1,0,0,0,0,0,4,1,1,2,1,1,6,0,1
313,2,28,1,1,1,0,0,0,0,0,16,2,1,1,1,1,6,1,0
323,1,40,1,1,0,0,1,0,0,0,2,2,1,2,1,1,2,0,1
324,2,32,1,1,1,0,0,0,0,0,16,1,1,2,1,1,6,0,0
328,1,55,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
329,3,18,1,1,1,0,0,0,0,0,16,1,1,2,1,1,6,0,0
339,1,40,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
340,2,35,1,1,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
349,1,35,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
350,2,38,1,1,0,0,1,0,0,0,16,2,1,1,1,1,2,1,0
351,2,30,1,1,0,0,1,0,0,0,16,2,1,1,1,1,2,1,0
355,1,49,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
356,2,44,1,1,0,0,1,0,0,0,16,2,1,1,1,1,2,1,0
357,2,30,1,1,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
394,1,45,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
395,2,38,1,1,0,0,1,0,0,0,16,2,2,2,1,1,2,0,0
399,1,50,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
400,2,48,1,1,0,0,1,0,0,0,16,2,2,1,1,1,2,1,0
401,3,28,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
402,3,25,1,1,0,0,1,0,0,0,10,2,2,1,1,1,2,1,0
410,1,40,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
411,2,30,1,1,1,0,0,0,0,0,16,2,1,2,1,1,6,1,0
415,1,36,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
416,2,30,1,1,0,0,1,0,0,0,16,2,1,1,1,1,2,1,0
421,1,50,1,1,0,0,1,0,0,0,16,1,2,2,1,1,2,0,1
422,2,38,1,1,0,0,1,0,0,0,16,2,2,1,1,1,2,1,0
424,3,19,1,1,0,0,1,0,0,0,7,1,2,2,3,1,2,0,0
428,1,55,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
429,2,48,1,1,0,0,0,0,0,0,16,1,1,2,1,1,2,0,0
442,1,35,1,2,0,0,1,0,0,0,7,1,2,1,1,1,2,0,1
443,2,28,1,2,1,0,0,0,0,0,10,2,1,2,1,3,6,0,0
446,3,28,1,2,1,0,0,0,0,0,9,1,1,1,1,3,6,0,1
447,3,25,1,2,1,0,0,0,0,0,9,2,2,2,1,3,6,0,0
455,1,25,1,1,1,0,0,0,0,0,10,1,1,2,3,3,6,0,1
456,2,20,1,1,1,0,0,0,0,0,8,2,2,1,3,3,6,1,0
457,3,38,1,1,0,0,0,0,0,0,16,2,2,2,1,3,6,0,0
458,1,35,1,2,0,0,1,0,0,0,3,1,1,2,1,1,2,0,1
459,2,27,1,2,1,0,0,0,0,0,16,2,1,1,1,1,6,1,0
502,1,35,1,2,1,0,0,0,0,0,2,1,1,2,1,1,6,0,1
503,2,28,1,2,0,0,0,0,0,0,16,2,1,2,1,1,6,0,0
515,1,45,1,2,0,0,1,0,0,0,16,1,1,2,1,1,2,0,0
516,1,40,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
517,2,35,1,1,0,0,1,0,0,0,3,2,1,2,1,1,2,0,0
523,1,55,1,1,1,0,0,0,0,0,16,1,1,2,1,1,2,0,1
524,2,43,1,1,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
526,3,25,1,1,0,0,1,0,0,0,16,1,1,2,3,3,2,0,1
527,3,22,1,1,0,0,0,0,0,0,16,1,2,2,1,1,6,0,0
541,1,45,1,1,1,0,0,0,0,0,16,1,2,2,1,1,6,0,1
542,2,32,1,1,1,0,0,0,0,0,16,2,2,2,1,1,6,0,0
548,1,45,1,1,1,0,0,0,0,0,16,2,1,2,1,1,6,0,0
549,3,25,1,1,1,0,0,0,0,1,13,1,1,1,1,1,6,0,1
550,3,20,1,1,1,0,0,0,0,0,5,2,1,2,3,1,6,0,0
552,1,35,1,1,1,0,0,0,0,0,16,1,1,2,1,1,6,0,0
560,1,65,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
561,2,60,1,1,0,0,0,0,0,0,16,2,2,2,1,1,6,0,0
562,3,38,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
563,3,35,1,1,0,0,1,0,0,0,16,2,2,2,1,1,2,0,0
564,3,32,1,1,0,0,0,0,0,0,16,2,1,2,1,1,6,0,0
569,3,25,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
570,3,20,1,1,1,0,0,0,0,0,7,1,1,2,3,1,6,0,0
571,3,18,1,1,0,0,1,1,0,0,11,1,2,2,2,1,2,0,0
572,3,25,1,1,0,0,0,0,0,0,16,1,2,2,3,1,6,0,0
603,1,52,1,3,0,0,1,1,0,1,14,1,1,1,1,1,2,0,1
609,1,42,1,3,0,0,1,0,0,0,14,1,2,2,1,1,2,0,1
610,2,35,1,3,0,0,1,0,0,0,4,2,2,2,1,1,2,0,0
614,1,65,1,3,0,0,1,0,0,0,4,1,1,1,1,1,2,0,1
615,2,58,1,3,0,0,1,0,0,0,16,2,2,2,1,1,2,0,0
616,3,30,1,3,0,0,1,0,0,0,10,1,2,2,1,1,2,0,1
617,3,19,1,4,0,0,1,0,0,0,13,2,2,2,3,3,2,0,0
618,3,45,1,4,0,0,1,0,0,0,16,2,2,2,1,1,2,0,1
619,3,36,1,3,0,0,1,0,0,0,16,1,2,2,1,1,2,0,0
620,3,20,1,4,0,0,1,0,0,0,10,1,2,2,1,1,2,0,1
621,3,19,1,3,0,0,1,0,0,0,10,2,2,2,3,3,2,0,0
622,1,50,1,4,0,0,1,0,0,0,8,1,2,2,1,1,2,0,1
623,2,40,1,3,0,0,1,0,0,0,16,1,2,2,1,1,2,0,0
627,1,48,1,4,0,0,1,0,0,0,10,1,2,2,1,1,2,0,1
628,2,40,1,3,0,0,1,0,0,0,16,2,2,2,1,1,2,1,0
632,1,50,1,4,0,0,1,0,0,0,10,1,2,2,1,1,2,0,1
633,2,40,1,3,0,0,1,0,0,0,7,2,2,2,1,1,2,0,0
634,3,45,1,3,0,0,1,0,0,0,12,1,1,2,1,1,2,0,1
635,3,38,1,3,0,0,1,0,0,0,10,2,2,2,1,1,2,0,0
640,3,35,1,3,0,0,0,0,0,0,10,1,1,2,1,1,2,0,1
641,3,30,1,3,0,0,0,0,0,0,7,1,2,2,1,1,2,1,0
644,3,30,1,3,0,0,1,0,0,0,13,1,1,2,1,1,2,0,1
645,3,26,1,3,0,0,1,0,0,0,10,2,2,2,1,1,2,0,0
649,1,35,1,3,0,0,1,0,0,0,14,1,1,1,1,1,2,0,1
650,3,65,1,3,0,0,1,0,0,0,3,1,1,1,1,1,2,0,1
651,3,50,1,3,0,0,1,0,0,0,16,1,1,2,1,1,2,0,0
656,1,38,1,3,0,0,1,0,0,0,10,1,1,1,1,1,2,0,1
657,2,30,1,3,0,0,1,0,0,0,5,1,1,2,1,1,2,0,0
661,1,40,1,2,0,0,0,0,0,0,16,1,1,2,1,1,6,0,1
662,2,35,1,2,1,0,0,0,0,0,16,2,1,1,1,1,6,1,0
665,3,65,1,2,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
666,3,50,1,2,1,0,0,0,0,0,16,2,2,2,1,1,6,0,0
674,1,45,1,2,1,0,0,0,0,0,1,1,2,1,1,1,6,0,1
675,2,32,1,2,1,0,0,0,0,0,7,2,2,2,1,1,6,1,0
689,1,35,1,3,0,0,1,0,0,0,10,1,2,1,1,1,2,0,1
690,2,28,1,3,0,0,1,0,0,0,10,2,2,2,1,1,2,1,0
729,2,40,1,3,1,0,0,0,0,0,16,1,1,2,1,1,2,0,0
730,2,30,1,3,0,0,1,0,0,0,7,1,1,1,1,1,2,1,0
731,3,20,1,3,0,0,0,0,0,0,12,1,2,2,3,3,2,0,0
734,1,55,1,3,0,0,1,0,0,0,4,1,1,2,1,1,2,0,1
735,2,45,1,3,0,0,1,0,0,0,3,2,1,2,1,1,2,0,0
736,3,35,1,3,1,0,0,0,0,1,13,1,1,2,1,1,2,0,1
737,3,30,1,3,0,0,0,0,0,0,10,1,1,1,1,1,2,1,0
755,1,40,1,4,0,0,1,0,0,0,14,1,1,1,1,3,2,0,1
756,2,33,1,4,0,0,0,0,0,0,9,2,1,1,1,3,2,0,0
761,1,60,1,3,0,0,1,0,0,0,4,1,1,2,1,1,2,0,1
762,2,30,1,4,0,0,1,0,0,0,4,2,2,2,1,1,2,0,0
774,1,35,1,3,0,0,1,0,0,0,12,1,1,1,1,3,2,0,1
775,2,30,1,4,0,0,1,0,0,0,6,1,2,1,1,3,2,1,0
785,1,35,1,3,0,0,1,0,0,0,8,1,1,2,1,1,2,0,1
786,2,26,1,3,0,0,1,0,0,0,10,2,2,1,1,1,2,1,0
791,2,49,1,3,0,0,1,0,0,0,5,2,2,1,1,3,2,1,0
795,1,45,1,4,0,0,1,0,0,0,9,1,1,2,1,3,2,0,1
796,2,37,1,3,0,0,1,0,0,0,16,2,1,1,1,3,2,1,0
801,3,35,1,-999,0,0,0,0,0,0,16,2,2,2,1,1,2,0,0
809,1,55,1,-999,0,0,1,0,0,0,16,1,2,2,1,3,2,0,1
810,3,40,1,3,0,0,1,0,0,0,3,1,1,1,1,1,2,0,1
811,2,39,1,-999,0,0,1,0,0,0,4,2,1,1,1,1,2,1,0
850,1,40,1,3,0,0,1,0,0,0,11,1,1,2,1,1,2,0,1
851,2,28,1,-999,0,0,0,0,0,0,10,1,2,2,1,1,2,0,0
854,1,38,1,4,0,0,1,0,0,0,9,1,1,2,1,1,2,0,1
855,2,25,1,4,0,0,1,0,0,0,10,2,1,1,1,1,2,1,0
860,1,51,1,4,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
861,2,40,1,3,0,0,1,0,0,0,16,2,2,2,1,1,2,0,0
862,3,23,1,3,0,0,1,0,0,0,11,1,1,2,1,1,2,0,0
872,1,50,1,4,0,0,1,0,0,0,10,1,1,1,1,1,2,0,1
873,2,45,1,4,0,0,1,0,0,0,4,1,1,2,1,1,2,0,0
883,1,32,1,4,0,0,1,0,0,0,10,1,1,1,1,1,2,0,1
884,3,23,1,4,0,0,1,0,0,0,10,2,1,1,1,1,2,1,0
888,3,26,1,4,0,0,1,0,0,0,6,1,1,1,1,1,2,0,1
889,3,20,1,4,0,0,0,0,0,0,9,2,2,2,3,3,2,0,0
896,1,28,1,2,1,0,0,0,0,0,16,2,2,2,1,1,6,0,1
897,2,25,1,2,1,0,0,0,0,0,16,1,1,1,1,1,6,1,0
919,1,58,1,2,1,0,0,0,0,0,16,2,2,2,1,1,6,0,0
920,3,31,1,2,0,0,1,0,0,0,16,1,1,1,1,1,6,1,0
929,1,27,1,2,1,0,0,0,0,0,10,1,1,2,1,1,6,0,1
930,2,20,1,2,1,0,0,0,0,0,4,1,2,2,3,1,6,0,0
934,1,50,1,2,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
935,2,48,1,2,1,0,0,0,0,0,16,2,2,2,1,1,6,0,0
940,1,30,1,2,1,0,0,0,0,0,5,1,2,2,1,1,6,0,1
941,2,25,1,2,1,0,0,0,0,0,16,1,1,1,1,3,6,1,0
942,3,28,1,2,1,0,0,0,0,0,8,1,1,2,1,1,6,0,1
943,3,25,1,2,1,0,0,0,0,0,16,2,2,2,3,1,6,0,0
946,3,60,1,2,0,0,1,0,0,0,16,1,1,2,1,1,6,0,1
947,3,50,1,2,1,0,0,0,0,0,16,2,2,1,2,1,6,1,0
948,1,55,1,2,0,0,1,0,0,0,4,1,1,2,1,1,2,0,1
949,2,45,1,2,1,0,0,0,0,0,16,2,1,1,1,1,6,1,0
950,3,30,1,2,1,0,0,0,0,0,3,1,1,2,1,1,6,0,1
951,3,25,1,2,1,0,0,0,0,0,5,2,1,2,1,1,6,0,0
955,3,26,1,2,0,0,1,0,0,0,5,1,1,2,1,3,2,0,1
956,3,20,1,2,0,0,1,0,0,0,8,2,2,2,3,3,2,0,0
969,1,35,1,2,1,0,0,0,0,0,10,1,1,2,1,1,6,0,1
970,2,32,1,2,1,0,0,0,0,0,16,2,1,1,1,1,6,1,0
980,1,30,1,2,0,0,1,0,0,0,6,1,1,1,1,3,2,0,1
981,2,25,1,2,0,0,1,0,0,0,7,2,2,1,3,3,2,1,0
995,1,40,1,3,0,0,1,0,0,0,16,1,1,2,1,3,2,0,1
996,2,35,1,3,0,0,1,0,0,0,2,2,1,1,1,1,2,1,0
997,1,46,1,3,0,0,1,0,0,0,10,1,1,2,1,1,2,0,1
998,2,33,1,3,0,0,1,0,0,0,7,2,1,2,1,1,2,0,0
999,3,25,1,3,0,0,1,0,0,0,12,1,1,2,1,1,2,0,1
1000,3,20,1,3,0,0,0,0,0,0,10,2,2,2,3,1,2,0,0
1011,1,61,1,2,1,0,0,0,0,0,16,2,1,2,1,1,6,0,1
1012,2,50,1,2,0,0,1,0,0,0,16,1,1,2,1,1,6,0,0
1013,3,30,1,2,1,0,0,0,0,0,8,1,1,2,1,1,5,0,1
1014,3,26,1,2,0,0,1,0,0,0,9,2,2,2,1,1,2,0,0
1030,1,40,1,3,0,0,1,0,0,0,3,2,1,2,1,1,2,0,1
1031,2,35,1,3,0,0,0,0,0,0,3,2,1,1,1,1,2,1,0
1047,1,64,1,3,0,0,1,0,0,0,4,1,1,2,1,1,2,0,1
1048,2,60,1,3,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
