adjmatrix_key,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,educ,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
1,1,46,1,3,1,0,0,0,0,0,16,1,2,2,1,1,6,0,1
2,2,40,1,3,0,0,0,0,0,0,16,2,2,2,1,1,6,0,0
3,3,25,1,3,1,0,0,0,0,0,10,1,1,2,1,1,6,0,1
4,3,19,1,3,1,0,0,0,0,0,8,2,2,2,1,1,6,0,0
18,1,45,1,2,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
19,2,40,1,2,1,0,0,0,0,0,16,1,1,2,3,1,6,1,0
26,1,45,1,3,1,0,0,0,0,0,16,2,1,1,1,1,6,0,0
34,1,60,1,3,0,0,0,0,0,0,16,1,1,2,1,1,6,0,1
35,2,50,1,3,0,0,0,0,0,0,16,2,2,1,1,1,6,1,0
36,3,28,1,3,1,0,0,0,0,0,10,1,1,1,1,1,6,0,1
37,3,22,1,3,1,0,0,0,0,0,7,2,2,2,1,1,6,0,0
46,1,50,1,2,1,0,0,0,0,0,16,1,1,1,1,1,6,1,0
51,1,40,1,3,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
52,2,35,1,3,1,0,0,0,0,0,16,2,2,1,1,1,6,1,0
55,1,40,1,2,0,0,0,0,0,0,16,1,1,1,1,1,6,0,1
56,2,36,1,2,1,0,0,0,0,0,16,1,1,1,1,1,6,0,0
63,1,48,1,3,1,0,0,0,0,0,16,1,1,1,1,1,6,0,1
64,2,35,1,3,0,0,0,0,0,0,16,2,2,2,1,1,6,0,0
69,1,55,1,3,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
70,2,45,1,3,1,0,0,0,0,0,16,1,2,2,1,1,6,0,0
72,3,18,1,1,1,0,0,0,0,0,11,1,2,2,3,1,6,0,0
77,1,60,1,3,0,0,1,1,1,1,12,2,1,1,1,1,2,0,1
78,2,50,1,3,0,0,1,1,1,0,4,2,2,1,1,1,2,1,0
79,1,65,1,2,1,0,0,0,0,0,16,2,1,2,1,1,6,0,1
80,3,39,1,2,1,0,0,0,0,0,4,1,1,2,3,1,6,0,1
81,3,25,1,2,1,0,0,0,0,0,5,2,2,2,1,1,6,0,0
91,1,50,1,3,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
92,2,40,1,3,0,0,1,0,0,0,16,2,2,2,1,1,2,0,0
112,1,47,1,1,0,0,1,0,0,0,7,2,1,1,1,1,2,0,1
113,2,38,1,1,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
118,1,60,1,3,0,0,0,0,0,0,16,1,1,2,1,3,6,0,1
119,2,50,1,3,1,0,0,0,0,0,16,2,1,2,2,3,6,0,0
120,3,25,1,3,1,0,0,0,0,0,12,1,1,2,1,1,6,0,1
121,3,20,1,3,1,0,0,0,0,0,10,2,2,2,1,1,6,0,0
127,2,45,1,3,1,0,0,0,0,0,4,2,2,1,1,1,6,0,0
142,1,28,1,3,1,0,0,0,0,0,10,1,1,2,1,1,6,0,1
145,1,40,1,3,1,0,0,0,0,0,8,1,1,2,1,1,2,0,1
146,2,35,1,3,1,0,0,0,0,0,16,2,2,2,1,1,6,0,0
150,3,35,1,3,0,0,1,0,0,0,8,1,1,1,1,1,2,0,1
151,3,26,1,3,1,0,0,0,0,0,16,2,2,2,1,1,6,0,0
161,1,40,1,3,1,0,0,0,0,0,5,1,1,2,1,3,6,1,1
162,2,35,1,3,1,0,0,0,0,0,5,2,2,1,1,3,6,1,0
165,1,27,1,3,1,0,0,0,0,0,10,1,1,2,1,3,6,0,1
166,2,20,1,3,1,0,0,0,0,0,16,2,2,2,3,3,6,0,0
168,1,42,1,3,1,0,0,0,0,0,10,1,1,1,1,1,6,0,1
169,2,35,1,3,1,0,0,0,0,0,16,1,2,2,1,1,6,0,0
179,1,60,1,3,1,0,0,0,0,0,16,2,2,2,1,3,6,0,0
181,3,35,1,3,1,0,0,0,0,0,3,2,2,2,1,3,6,0,0
184,1,35,1,3,1,0,0,0,0,0,5,1,1,1,1,1,6,0,1
185,2,30,1,3,1,0,0,0,0,0,16,2,1,2,1,1,6,0,0
189,1,45,1,3,1,0,0,0,0,0,4,1,1,1,1,1,6,1,1
190,2,35,1,3,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
191,3,20,1,3,0,0,1,0,0,0,10,1,1,2,3,1,2,0,0
195,1,60,1,3,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
196,2,50,1,3,0,0,0,0,0,0,16,1,2,2,1,1,6,0,0
198,3,25,1,3,0,0,0,0,0,0,16,1,1,2,3,1,6,0,0
205,1,35,1,2,0,0,1,0,0,0,7,1,1,2,1,1,2,0,1
206,2,30,1,2,1,0,0,0,0,0,16,2,2,2,1,1,6,0,0
216,1,70,1,3,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
217,2,50,1,3,0,0,0,0,0,0,16,1,1,2,1,1,6,0,0
229,1,55,1,3,1,0,0,0,0,0,5,1,1,2,1,1,6,0,1
230,2,50,1,3,1,0,0,0,0,0,16,2,1,1,1,1,6,1,0
231,3,25,1,3,1,0,0,0,0,0,9,1,1,2,3,3,6,0,1
237,1,40,1,2,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
238,2,36,1,2,1,0,0,0,0,0,7,2,1,2,1,1,6,0,0
247,2,40,1,3,0,0,1,0,0,0,16,2,2,1,1,1,2,1,0
248,3,19,1,3,0,0,1,0,0,1,15,1,2,2,3,1,2,0,0
252,1,60,1,3,0,0,0,0,0,0,16,1,1,2,1,1,6,0,1
253,2,55,1,3,0,0,0,0,0,0,16,2,2,1,1,1,6,1,0
254,1,35,1,3,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
255,3,30,1,3,0,0,1,0,0,0,16,2,2,2,2,1,6,0,0
262,1,45,1,3,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
263,2,40,1,3,1,0,0,0,0,0,16,2,2,1,1,1,6,1,0
267,1,56,1,3,1,0,0,0,0,0,8,1,1,2,1,1,6,0,1
268,2,45,1,3,1,0,0,0,0,0,16,2,1,2,1,1,6,1,0
270,1,32,1,3,1,0,0,0,0,0,10,1,1,2,1,1,6,0,1
271,2,28,1,3,1,0,0,0,0,0,16,1,1,1,1,1,6,1,0
288,1,40,1,3,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
289,2,35,1,3,1,0,0,0,0,0,16,2,1,2,1,1,6,0,0
294,1,37,1,1,0,0,1,0,0,0,16,1,2,1,1,1,2,0,1
298,1,65,1,2,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
299,2,50,1,2,1,0,0,0,0,0,16,2,1,2,1,1,6,0,0
300,3,30,1,2,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
301,3,26,1,2,1,0,0,0,0,0,7,2,2,1,1,1,6,1,0
306,1,40,1,1,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
307,2,30,1,1,0,0,1,0,0,0,16,1,1,1,1,1,2,1,0
316,1,45,1,1,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
317,2,40,1,1,0,0,0,0,0,0,16,2,2,1,3,1,2,1,0
324,1,40,1,2,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
325,2,34,1,2,0,0,0,0,0,0,16,2,1,1,1,1,6,1,0
327,3,25,1,2,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
328,3,20,1,2,1,0,0,0,0,0,8,2,2,2,3,1,6,0,0
353,1,55,1,2,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
354,2,50,1,2,0,0,0,0,0,0,16,2,2,2,1,1,6,0,0
355,3,28,1,2,1,0,0,0,0,0,16,1,1,2,1,1,6,0,1
356,3,26,1,2,0,0,0,0,0,0,16,2,2,2,1,1,6,0,0
364,1,60,1,2,1,0,0,0,0,0,9,1,2,2,1,1,6,0,1
