adjmatrix_key,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,educ,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
1,1,49,1,3,0,1,1,1,1,1,10,1,1,1,1,3,2,0,0
2,3,28,1,3,1,0,0,1,1,0,9,1,1,2,1,3,6,0,1
3,3,20,1,3,1,0,0,0,0,0,12,2,2,1,3,3,6,1,0
6,1,47,1,3,0,0,1,0,0,0,13,1,1,2,1,1,2,0,1
7,2,45,1,3,0,0,1,0,0,0,8,2,2,1,1,1,2,1,0
8,3,21,1,3,0,0,1,0,0,0,10,1,2,2,3,1,2,0,0
20,1,35,2,3,0,0,1,0,0,0,7,1,1,2,1,1,2,0,1
21,2,28,2,3,0,0,1,0,0,0,16,2,2,2,1,1,2,0,0
24,1,35,2,3,1,0,1,1,0,0,15,1,1,2,1,1,7,0,1
25,2,28,2,3,0,0,1,0,1,0,13,2,2,1,1,1,2,1,0
28,1,70,1,3,0,0,1,0,0,0,16,1,2,2,1,1,2,0,1
29,2,65,1,3,0,0,1,0,0,0,16,2,2,2,1,1,2,0,0
30,3,30,1,3,0,0,1,0,0,0,8,1,1,2,1,1,2,0,1
31,3,22,1,3,0,0,1,0,0,0,16,2,2,2,1,1,2,0,0
39,1,48,1,3,0,0,1,0,0,0,4,1,1,1,1,1,2,0,1
40,2,37,1,3,0,0,1,0,0,0,16,2,1,2,1,1,2,1,0
42,1,45,2,3,0,0,1,0,0,0,9,2,2,2,1,1,2,0,1
43,2,40,2,3,0,0,1,0,0,0,16,2,2,2,1,1,2,0,0
44,3,18,2,3,0,0,1,0,0,0,10,2,2,2,3,1,2,0,0
51,1,40,2,3,0,0,1,0,0,0,16,1,1,2,1,3,2,0,1
52,2,35,2,3,0,0,1,0,0,0,16,2,1,1,1,3,2,1,0
64,1,40,2,3,0,0,1,0,0,0,16,1,1,2,1,1,2,0,0
71,1,32,1,2,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
72,2,30,1,2,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
79,1,29,1,2,0,0,1,0,0,0,16,1,1,2,1,3,2,0,1
80,2,23,1,2,0,0,1,0,0,0,16,2,2,2,3,3,2,0,0
87,1,50,2,3,0,0,1,0,0,0,16,2,1,2,1,3,2,0,1
88,2,40,2,3,0,0,1,0,0,0,16,1,2,2,1,3,2,0,0
92,1,44,1,2,0,0,1,0,0,0,15,1,1,1,1,1,2,0,1
93,2,35,1,2,0,0,1,0,0,0,11,2,2,2,1,1,2,0,0
102,1,25,2,3,1,0,0,1,1,0,16,1,1,2,1,1,7,0,1
103,2,22,2,3,1,0,1,1,0,0,16,2,2,1,3,1,7,0,0
106,3,40,2,3,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
107,1,35,1,3,0,1,1,0,0,0,10,2,1,1,3,3,2,0,1
108,2,26,1,3,1,0,1,0,0,0,7,2,2,2,3,3,5,0,0
111,1,36,1,2,0,0,1,0,0,0,10,1,1,1,1,3,2,0,0
115,1,65,1,2,0,0,1,0,0,0,16,2,1,2,1,3,2,0,1
116,2,40,1,2,0,0,1,0,0,0,16,2,1,2,1,3,2,0,0
128,1,44,1,4,0,0,1,0,0,0,10,2,1,2,3,3,2,0,1
129,2,40,1,4,0,0,1,0,0,0,10,2,1,2,3,3,2,0,0
132,1,45,1,2,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
133,2,36,1,2,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
137,1,25,1,2,0,0,1,0,0,0,8,1,1,2,1,1,2,0,1
160,1,35,1,2,0,0,1,0,0,0,7,1,1,2,1,1,2,0,1
161,2,28,1,2,0,0,1,0,0,0,16,2,2,1,1,1,2,1,0
162,1,50,1,1,0,0,1,0,0,0,4,1,1,1,1,3,2,0,1
163,2,45,1,1,0,0,1,0,0,0,16,2,1,1,1,3,2,1,0
166,1,40,1,2,0,0,1,0,0,0,16,1,1,1,1,3,2,0,1
167,2,35,1,2,0,0,1,0,0,0,16,2,1,1,3,3,2,0,0
169,1,40,2,3,0,0,1,0,1,0,16,2,2,2,1,1,2,0,0
171,3,18,2,3,0,0,1,0,0,0,16,2,2,2,3,3,7,0,0
173,1,27,2,3,1,0,1,0,0,0,6,2,1,1,1,1,7,0,1
174,2,22,2,3,1,0,1,0,0,0,7,2,2,2,3,1,7,0,0
177,3,50,2,3,1,0,1,0,0,0,5,2,2,2,3,1,7,0,0
181,1,70,1,2,0,0,1,0,0,0,16,2,1,2,1,3,2,0,0
182,3,48,1,2,0,0,1,0,0,0,16,1,1,2,1,3,2,0,1
183,3,30,1,2,1,0,0,0,0,0,16,2,2,2,3,3,6,0,0
185,3,33,1,2,0,0,1,0,0,0,3,1,1,1,3,3,2,0,1
186,3,23,1,2,0,0,1,0,0,0,10,2,2,2,3,3,2,0,0
187,1,38,1,3,0,0,0,0,0,0,16,2,1,2,1,1,2,0,0
194,1,35,1,2,0,0,1,0,0,0,16,1,1,2,1,1,2,0,1
195,2,27,1,2,1,0,0,0,0,0,5,2,1,2,3,1,6,1,0
203,1,38,1,2,0,0,1,0,0,0,16,1,1,1,1,1,2,0,1
204,2,31,1,2,0,0,1,0,0,0,16,2,1,2,1,1,2,0,0
205,2,25,1,2,0,0,1,0,0,0,10,2,1,2,3,1,2,0,0
220,1,50,2,3,1,0,1,0,0,0,16,2,2,2,1,1,7,0,0
222,3,23,2,3,1,0,1,1,0,0,10,2,2,2,3,1,7,0,0
