adjmatrix_key,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,educ,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
7,1,38,2,3,1,0,0,1,0,0,16,2,1,1,1,1,7,0,1
8,2,30,2,3,0,0,0,0,0,0,7,2,1,1,1,1,7,1,0
13,1,58,1,4,0,0,0,0,0,0,13,1,2,1,1,1,2,0,1
14,2,46,1,4,0,0,0,0,0,0,10,2,2,1,1,1,2,0,0
16,3,19,1,4,0,0,0,0,0,0,10,1,2,1,3,3,2,0,0
22,1,50,1,4,0,0,0,0,0,0,2,1,1,1,1,1,2,0,1
23,2,45,1,4,0,0,0,0,0,0,8,2,2,1,1,1,2,1,0
48,1,46,1,4,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
49,2,40,1,4,0,0,0,0,0,0,16,2,2,1,1,1,2,1,0
73,2,33,1,4,0,0,0,0,0,0,16,2,2,1,1,1,2,1,0
76,1,52,1,4,0,0,0,0,0,0,6,1,1,2,1,1,2,0,1
77,2,40,1,4,0,0,0,0,0,0,16,2,1,1,1,1,2,1,0
78,3,18,1,4,0,0,0,0,0,0,12,1,2,1,3,1,2,1,0
79,1,50,1,4,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
80,2,42,1,4,0,0,0,0,0,0,16,2,1,1,1,1,2,1,0
81,3,25,1,4,0,0,0,0,0,0,3,1,2,2,1,1,2,0,1
87,1,50,1,4,0,0,0,0,0,0,16,1,1,2,1,1,2,0,1
88,2,40,1,4,0,0,0,0,0,0,16,2,2,1,1,1,2,1,0
95,1,45,2,4,0,0,0,0,0,0,7,1,1,2,1,3,2,0,1
96,2,36,1,4,0,0,0,0,0,0,16,2,2,1,1,3,2,1,0
97,3,20,1,4,0,0,0,0,0,0,12,1,2,2,3,3,2,0,0
104,1,50,1,4,0,0,0,0,0,0,7,2,2,1,1,1,2,1,0
107,3,22,1,4,0,0,0,0,0,0,10,1,2,1,3,1,2,1,0
111,1,39,1,4,0,0,0,0,0,0,16,1,1,1,1,3,2,0,1
112,2,28,2,4,0,0,0,0,0,0,7,2,1,1,1,3,2,0,0
129,2,50,1,4,0,0,0,0,0,0,16,2,2,1,1,1,2,1,0
133,1,50,1,4,0,0,0,0,0,0,16,1,2,1,1,1,2,1,0
139,1,35,1,4,0,0,0,0,0,0,9,1,1,2,1,3,2,0,1
140,2,33,2,4,0,0,0,0,0,0,7,2,2,2,1,3,2,0,0
145,1,75,1,4,0,0,0,0,0,0,10,1,2,2,1,1,2,0,1
146,2,60,1,4,0,0,0,0,0,0,16,2,1,1,1,1,2,0,0
148,3,33,1,4,0,0,0,0,0,0,16,1,2,1,1,1,2,1,0
156,1,62,1,4,0,0,0,0,0,0,8,1,1,1,1,1,2,0,1
158,3,34,1,4,0,1,1,0,1,1,15,2,1,2,3,1,2,0,1
159,3,27,1,4,0,0,0,0,0,0,10,2,2,1,1,1,2,0,0
161,1,32,1,4,0,0,0,0,0,0,8,1,1,2,1,1,2,0,1
162,2,22,1,4,0,0,0,0,0,0,4,2,2,1,3,1,2,1,0
163,3,30,1,4,0,0,0,0,0,1,14,1,1,1,1,1,2,0,1
164,3,21,1,4,0,0,0,0,0,0,10,2,2,2,3,1,2,0,0
172,1,35,1,4,0,0,0,0,0,0,16,1,1,2,3,3,2,0,1
173,2,30,1,4,0,0,0,0,0,0,16,2,2,1,3,3,2,1,0
175,3,50,1,4,0,0,0,0,0,0,16,1,1,1,1,1,2,1,0
204,1,48,1,4,0,0,0,0,0,0,3,1,1,1,1,1,2,0,1
205,2,34,1,4,0,0,0,0,0,0,16,2,1,1,1,1,2,1,0
208,1,50,1,4,0,0,0,0,0,0,6,1,1,2,1,1,2,0,1
209,2,45,1,4,0,0,0,0,0,0,7,2,1,2,1,3,2,0,0
211,3,20,1,4,0,0,0,0,0,0,11,1,2,2,3,1,2,0,0
214,1,50,1,4,0,0,0,0,0,0,16,1,1,1,1,1,2,0,1
