adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
1,1,1,52,1,3,1,0,1,0,0,0,1,1,2,1,1,5,0,0
2,2,2,42,1,3,1,0,1,0,0,0,2,2,1,1,1,5,1,0
3,2,3,21,1,3,1,0,1,0,0,0,1,1,2,1,1,5,0,0
4,2,3,19,1,3,1,0,1,0,0,0,1,2,2,3,1,5,0,0
14,1,1,60,1,3,1,0,1,0,0,0,1,1,1,1,1,5,0,0
15,2,2,50,1,3,1,0,1,0,0,0,2,2,1,1,1,5,0,1
16,1,3,28,1,3,1,0,1,1,0,1,1,1,1,1,1,5,0,0
17,2,3,21,1,3,1,0,1,0,0,1,2,2,2,3,1,5,0,0
25,1,1,30,1,3,1,0,1,0,0,0,1,1,2,1,1,5,0,1
26,2,2,22,1,3,1,0,1,0,0,0,2,1,1,1,1,5,1,1
29,1,1,50,1,3,1,0,1,0,0,0,1,1,2,1,1,5,0,1
30,2,2,45,1,3,1,0,1,0,0,0,2,1,2,1,1,5,0,1
36,1,1,30,1,3,0,1,1,0,0,0,1,1,2,1,3,2,0,0
40,1,1,32,1,3,1,0,1,0,0,0,1,1,2,1,3,5,0,0
41,2,2,29,1,3,1,0,1,0,0,0,2,2,1,1,3,5,1,0
47,1,1,60,1,3,1,0,1,0,0,0,1,1,2,1,1,5,0,1
48,2,2,52,1,3,1,0,1,0,0,0,1,1,1,1,1,5,1,1
51,2,3,20,1,3,1,0,1,0,0,0,1,1,2,3,1,5,0,0
54,1,1,39,1,3,1,0,1,0,0,0,1,1,1,1,1,5,0,0
55,2,2,34,1,3,1,0,1,0,0,0,2,1,2,1,1,5,0,1
65,1,1,35,1,3,1,0,1,0,0,0,1,1,2,1,1,5,0,0
66,2,2,30,1,3,1,0,1,0,0,0,2,2,2,1,1,5,0,1
69,2,1,35,1,3,1,0,1,0,0,0,2,1,2,1,1,5,0,0
73,1,1,28,1,3,1,0,1,0,0,1,1,1,2,1,1,5,0,0
74,2,2,20,1,3,1,0,1,0,0,0,2,1,2,3,1,5,0,0
75,1,1,55,1,3,1,0,1,0,0,0,1,1,1,1,1,5,0,1
76,2,2,45,1,3,1,0,1,0,0,0,2,2,2,1,1,5,0,1
84,1,1,45,1,2,0,0,0,0,0,0,1,1,2,1,1,2,0,0
85,2,2,40,1,2,1,1,0,0,0,0,2,1,2,1,1,6,0,1
89,1,1,35,1,2,0,1,0,1,0,0,1,1,2,1,1,2,0,0
90,2,2,28,1,2,1,0,0,0,0,0,2,1,1,1,1,6,1,1
93,1,1,30,1,2,1,0,0,0,0,0,1,1,2,1,1,6,0,1
94,2,2,22,1,2,1,0,0,0,0,0,2,1,2,1,1,6,0,1
