adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
1,1,1,40,2,3,1,1,1,0,0,0,1,1,2,1,1,7,0,0
2,2,2,31,2,3,1,0,1,0,0,0,2,2,2,1,1,7,0,0
17,1,1,45,1,1,0,1,1,0,1,0,1,1,1,1,3,2,0,0
18,2,2,39,1,1,0,0,1,0,0,0,2,1,1,1,1,2,1,1
19,2,3,22,1,1,0,0,1,1,0,0,1,2,1,1,1,2,0,0
23,1,1,40,1,3,1,0,0,0,0,0,1,1,1,1,1,6,0,0
24,2,2,35,1,3,1,0,0,0,0,0,2,1,1,1,1,6,1,0
32,1,1,37,1,3,1,0,0,1,0,0,2,1,2,3,1,5,0,0
33,2,2,26,1,3,1,0,1,0,0,1,2,2,2,3,1,5,0,0
39,1,1,53,1,3,1,1,0,0,1,0,1,1,2,1,1,6,0,0
40,2,2,45,1,3,1,0,0,0,0,0,2,2,1,1,1,6,1,0
48,1,1,38,1,3,1,0,0,1,1,0,1,1,1,1,1,6,0,0
49,2,2,28,1,3,1,0,0,0,0,0,2,2,2,1,1,6,0,0
52,1,1,75,1,3,1,1,0,0,0,0,1,1,2,1,1,6,0,1
53,2,2,50,1,3,1,0,0,0,0,0,2,1,2,1,1,6,0,0
54,2,3,28,1,3,1,0,0,0,1,0,1,1,1,1,3,6,0,0
57,1,1,42,1,3,0,0,1,0,1,0,1,1,1,1,1,2,0,0
58,2,2,38,1,3,1,0,0,0,1,0,2,2,1,1,1,6,1,0
62,1,1,38,1,3,0,1,1,0,0,0,2,1,1,1,1,2,0,0
63,2,2,30,1,3,0,1,1,0,0,0,2,2,1,1,1,2,0,0
66,1,1,48,1,1,0,0,1,0,1,0,1,1,2,1,1,2,0,1
67,2,2,40,1,1,1,0,0,0,0,0,2,1,1,1,1,2,1,1
81,1,1,40,1,1,0,1,1,0,0,0,1,1,2,1,1,2,0,0
82,2,2,30,1,1,0,0,0,0,0,0,2,2,1,1,1,2,1,0
103,2,2,35,2,3,1,0,0,0,0,0,2,2,1,1,1,7,1,1
107,1,1,38,1,1,1,0,0,0,1,0,1,1,2,1,1,6,0,0
108,2,2,27,1,1,1,0,0,0,0,0,2,2,1,1,1,6,1,0
113,2,3,30,1,1,1,0,0,0,0,0,1,2,2,1,1,6,0,1
114,1,1,65,1,1,1,0,0,0,1,0,1,1,2,1,1,6,0,0
115,2,2,60,1,1,1,0,0,0,0,0,2,2,2,1,1,6,0,1
116,1,3,40,1,1,1,0,0,0,1,0,1,1,2,1,1,6,0,0
117,2,3,35,1,1,1,0,0,0,0,0,2,1,1,1,1,6,1,1
128,1,1,48,1,1,1,0,0,0,1,0,1,1,1,1,1,6,0,1
129,2,2,45,1,1,1,0,0,0,0,0,2,1,1,1,1,6,1,1
136,1,1,45,1,1,1,0,0,0,0,0,1,1,2,1,1,6,0,1
137,2,2,38,1,1,1,0,0,0,0,0,2,1,2,1,1,6,0,1
138,2,3,18,1,1,1,0,0,0,0,0,1,1,2,3,1,6,0,0
140,2,2,39,1,1,0,0,1,0,0,0,1,1,2,1,1,2,1,0
141,2,3,19,1,1,0,0,1,0,0,0,1,2,2,3,1,2,0,0
152,1,1,54,1,1,0,0,1,0,1,0,1,1,2,1,1,2,0,1
153,2,2,40,1,1,0,0,1,0,0,0,2,1,1,1,1,2,1,1
163,1,1,60,2,3,1,0,0,1,0,0,2,1,2,1,1,7,0,0
164,2,2,45,2,3,1,1,0,0,0,0,2,2,1,1,1,7,1,1
170,1,1,34,2,3,1,1,1,1,0,0,2,1,1,3,1,7,0,0
171,2,2,29,2,3,1,0,0,0,0,0,2,1,2,1,1,7,0,1
176,2,1,26,1,1,0,0,1,0,0,0,1,1,1,1,1,2,0,0
183,1,1,32,1,1,0,0,1,0,1,0,1,1,2,1,1,2,0,0
184,2,2,30,1,1,0,0,1,0,0,0,2,2,1,1,1,2,0,1
190,1,1,35,1,3,1,0,0,0,1,0,1,1,2,1,1,6,0,0
191,2,2,29,1,3,1,0,0,0,0,1,2,2,1,1,1,6,1,0
200,1,1,60,2,3,1,0,1,0,0,0,1,1,1,1,1,7,0,0
201,2,2,45,2,3,1,0,1,0,0,0,2,2,2,1,1,7,0,1
211,2,1,80,2,3,0,0,1,0,0,0,2,2,2,1,3,7,0,1
212,2,3,50,2,3,0,0,1,0,0,0,1,2,2,1,3,7,0,1
213,1,1,68,1,3,1,0,0,0,0,0,1,2,2,1,1,6,0,0
214,2,2,53,1,3,0,0,0,0,0,0,2,2,2,1,1,6,0,1
215,1,3,33,1,3,1,0,0,1,0,1,1,1,1,1,1,6,0,0
216,2,3,25,1,3,1,0,0,0,0,0,2,2,2,1,3,6,0,0
219,2,3,35,1,3,1,0,0,0,0,0,1,2,1,1,3,6,0,0
249,1,1,30,1,3,1,0,0,0,0,0,1,1,2,1,1,6,0,0
