adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
2,2,2,20,1,1,1,0,0,0,0,0,2,1,2,3,3,6,0,0
11,1,1,35,1,3,0,0,1,0,0,0,1,1,1,1,3,2,0,0
12,2,2,25,1,3,0,0,1,0,0,0,2,2,2,3,3,2,0,0
19,1,1,44,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
20,2,2,35,1,3,0,0,1,0,0,0,2,2,2,1,3,2,0,0
24,1,1,33,1,3,1,0,0,0,0,0,1,1,1,1,1,6,0,0
25,2,2,28,1,3,1,0,0,0,0,0,2,1,2,1,3,6,0,0
27,1,1,38,1,3,0,0,1,0,0,0,1,1,1,1,3,2,0,0
28,2,2,33,1,3,0,0,1,0,0,0,2,2,1,1,3,2,0,0
42,2,1,45,1,1,1,0,0,0,0,0,1,2,2,1,1,6,0,1
44,1,3,28,1,1,1,0,0,1,0,0,1,1,2,1,1,6,0,0
45,2,3,20,1,1,1,0,0,0,0,0,2,1,2,3,3,6,0,0
56,1,1,42,1,2,0,0,0,0,0,0,1,2,2,1,1,6,0,1
57,2,2,39,1,2,0,0,0,0,0,0,2,1,2,1,1,6,0,1
66,1,1,36,1,2,1,0,0,0,0,0,1,1,2,1,1,6,0,1
67,2,2,30,1,2,1,0,0,0,0,0,2,1,2,1,1,6,0,0
80,1,1,60,1,1,0,0,0,0,0,0,1,1,2,1,1,6,0,1
81,2,2,58,1,1,1,0,0,0,0,0,1,1,2,1,1,6,0,1
82,1,3,26,1,1,1,0,0,0,0,0,1,1,2,1,1,6,0,0
86,2,1,40,1,1,0,0,0,0,0,0,1,1,2,1,1,6,0,1
87,1,1,42,1,1,0,0,1,0,0,0,1,1,1,1,3,2,0,0
88,2,2,35,1,1,0,0,1,0,0,0,2,2,2,1,3,2,0,0
97,1,1,55,1,1,0,0,0,0,0,0,1,1,2,1,1,6,0,0
98,2,2,45,1,1,0,0,0,0,0,0,2,2,2,1,1,6,0,1
101,1,1,68,1,1,0,0,0,0,0,0,1,1,2,1,1,6,0,1
102,2,2,60,1,1,0,0,0,0,0,0,2,2,2,1,1,6,0,1
107,1,1,50,1,3,1,0,0,0,0,0,1,1,2,1,1,6,0,0
108,2,2,40,1,3,1,0,0,0,0,0,2,1,1,1,1,6,0,1
115,2,1,35,1,1,1,0,0,0,0,0,1,1,1,3,1,6,1,1
120,1,1,32,1,1,0,0,1,0,0,0,1,1,2,3,3,2,0,1
121,2,2,26,1,1,1,0,0,0,0,0,2,2,2,3,3,6,0,1
139,2,2,50,1,1,0,0,0,0,0,0,2,2,2,1,3,6,0,1
140,1,3,25,1,1,1,0,0,0,0,0,1,1,2,1,3,6,0,1
141,2,3,21,1,1,1,0,0,0,0,0,2,1,2,3,3,6,0,1
150,1,1,60,1,1,1,0,0,0,0,0,1,2,2,1,1,6,0,0
151,2,2,50,1,1,0,0,0,0,0,0,1,1,2,1,1,6,0,1
152,1,1,49,1,4,0,0,1,0,0,0,1,1,1,1,1,2,0,1
153,2,2,42,1,4,0,0,0,0,0,0,1,2,2,1,1,6,0,1
154,1,3,24,1,4,0,0,1,0,0,0,1,2,1,1,1,2,0,0
155,2,3,20,1,4,1,1,0,0,0,0,2,2,1,3,1,6,0,0
188,1,1,73,1,3,0,0,1,0,0,0,1,2,1,1,1,2,0,0
189,2,2,60,1,3,0,0,1,0,0,0,1,2,2,1,1,2,0,1
190,1,3,45,1,3,1,0,0,0,0,0,1,1,1,1,3,6,0,0
191,2,3,35,1,3,0,0,1,0,0,0,2,1,2,1,1,2,0,0
194,1,3,35,1,3,1,0,0,0,0,0,1,1,1,1,3,6,0,0
195,2,3,28,1,3,0,0,1,0,0,0,2,2,2,1,1,2,0,0
198,1,1,49,1,1,0,0,1,0,0,0,1,1,2,1,1,2,0,0
199,2,2,38,1,1,0,0,1,0,0,0,2,1,2,1,1,2,0,1
200,2,2,35,1,1,0,0,1,0,0,0,2,2,1,1,1,2,1,1
217,1,1,39,1,1,1,0,0,0,0,1,1,1,1,1,1,6,0,0
218,2,2,35,1,1,1,0,0,0,0,0,2,1,2,1,1,6,0,1
226,1,1,50,1,1,0,0,1,0,0,0,1,1,2,1,1,2,0,0
227,2,2,45,1,1,0,0,1,0,0,0,2,2,2,1,1,2,0,1
228,2,3,32,1,1,1,0,0,0,0,0,2,2,2,1,1,6,0,0
234,1,1,50,1,1,1,0,0,0,0,0,1,1,2,1,1,6,0,1
235,2,2,48,1,1,0,0,0,0,0,0,2,2,2,1,1,6,0,1
236,1,3,25,1,1,1,0,0,0,0,0,1,1,2,1,1,6,0,0
237,2,3,20,1,1,1,0,0,0,0,0,2,2,2,2,1,6,0,1
248,2,1,55,1,1,1,0,0,0,0,0,1,2,2,1,1,6,0,1
249,2,3,35,1,1,1,0,0,0,0,0,1,1,2,1,1,6,0,0
258,1,1,63,1,3,1,0,0,0,0,0,1,2,2,1,1,6,0,0
259,2,2,58,1,3,0,0,0,0,0,0,2,2,2,1,1,6,0,1
264,1,1,38,1,3,1,0,0,0,0,0,1,1,1,1,1,6,0,0
265,2,2,28,1,3,1,0,0,0,0,0,2,1,1,3,1,6,0,0
276,1,1,32,1,4,1,0,0,0,0,0,1,1,2,1,1,6,0,0
277,2,2,24,1,4,1,0,1,0,0,0,2,2,2,3,1,5,0,0
286,2,2,40,1,4,1,0,0,0,0,0,1,1,1,1,1,6,0,0
288,1,1,38,1,4,1,0,0,0,0,0,1,1,2,1,1,6,0,0
289,2,2,28,1,4,0,0,1,0,0,0,2,2,2,3,1,2,0,0
292,2,3,65,1,4,1,0,0,0,0,0,2,2,2,1,1,6,0,1
293,1,1,30,1,1,1,0,0,0,0,0,1,1,1,1,1,6,0,0
294,2,2,22,1,1,1,0,0,0,0,0,2,1,2,3,1,6,0,0
300,1,1,40,1,2,1,0,0,0,0,0,1,1,1,1,1,6,0,0
301,2,2,35,1,2,1,0,0,0,0,0,2,1,2,1,1,6,0,1
307,2,1,50,1,3,1,0,0,0,0,0,2,2,1,1,1,6,0,0
308,2,3,22,1,3,1,0,0,0,0,0,1,1,1,3,1,6,1,0
309,1,3,27,1,3,1,0,0,0,0,0,2,1,2,3,1,6,0,0
320,1,1,35,1,1,1,0,0,0,0,0,1,1,2,1,1,6,0,0
321,2,2,30,1,1,1,0,0,0,0,0,2,1,2,3,1,6,0,0
323,1,1,51,1,1,1,0,0,0,0,0,1,2,2,1,1,6,0,0
324,2,2,46,1,1,1,0,0,0,0,0,2,1,1,1,1,6,0,0
326,1,1,35,1,3,1,0,0,0,0,0,1,1,2,1,3,6,0,0
327,2,2,30,1,3,1,0,0,0,0,0,2,1,1,1,3,6,0,1
332,1,1,40,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
333,2,2,36,1,3,1,0,0,0,0,0,2,2,1,1,1,6,0,0
358,1,1,60,1,3,1,0,0,0,0,0,1,1,1,1,1,6,0,0
359,2,2,45,1,3,0,0,0,0,0,0,2,1,2,1,1,6,0,1
361,2,3,20,1,3,1,0,0,0,0,0,1,2,2,3,1,6,0,0
364,1,1,45,1,3,1,0,0,0,0,0,1,1,2,1,1,6,0,0
365,2,2,35,1,3,1,0,0,0,0,0,2,2,2,1,1,6,0,0
378,1,1,45,1,3,1,0,0,0,0,0,1,1,1,1,1,6,0,0
379,2,2,35,1,3,1,0,0,0,0,0,2,1,1,1,1,6,0,1
415,2,2,60,1,3,1,0,0,0,0,0,2,2,2,1,3,6,0,0
416,1,3,36,1,3,1,0,0,1,0,0,1,1,2,1,3,6,0,0
417,2,3,30,1,3,0,0,1,0,0,0,2,2,1,1,3,2,0,0
432,1,1,52,1,3,1,0,0,0,0,0,1,1,2,1,1,6,0,0
433,2,2,35,1,3,0,0,1,0,0,0,2,1,2,1,1,2,0,0
446,1,1,38,1,3,0,0,1,0,0,1,1,1,1,3,1,2,0,0
447,2,2,32,1,3,1,0,0,0,0,0,2,1,2,1,1,6,0,0
450,1,1,38,1,3,1,0,0,0,0,0,1,1,2,1,1,6,0,0
451,2,2,32,1,3,1,0,0,0,0,0,2,1,2,1,1,6,0,0
454,1,3,31,1,3,1,0,0,0,0,0,1,1,2,1,1,6,0,0
455,2,3,27,1,3,0,0,1,0,0,0,2,2,2,3,3,2,0,0
458,1,1,38,1,3,1,0,0,0,0,0,1,1,1,1,1,6,0,0
459,2,2,32,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,0
462,1,1,43,1,3,1,0,0,0,0,0,1,1,2,1,1,6,0,0
463,2,2,33,1,3,0,0,1,0,0,0,2,1,2,1,1,2,0,0
468,1,1,50,1,2,0,0,0,0,0,0,1,1,2,1,1,6,0,1
469,2,2,40,1,2,0,0,0,0,0,0,2,1,2,1,1,6,0,1
470,1,1,35,1,3,1,0,0,0,0,0,1,1,2,1,1,6,0,0
471,2,2,28,1,3,1,0,0,0,0,0,2,1,2,3,1,6,0,0
481,1,1,49,1,3,1,0,0,0,0,0,1,1,2,3,1,6,0,0
482,2,2,35,1,3,1,0,0,0,0,0,2,1,2,1,1,6,0,0
490,1,1,40,1,3,1,0,0,0,0,0,1,1,1,1,1,6,0,0
491,2,2,35,1,3,1,0,0,0,0,0,2,1,1,1,1,6,0,0
503,1,1,60,1,3,1,0,0,0,0,0,1,1,1,2,3,6,0,0
504,2,2,58,1,3,0,0,0,0,0,0,2,1,2,1,1,6,0,1
508,2,3,30,1,3,1,0,0,0,0,0,2,1,1,1,1,6,0,0
516,1,1,65,1,3,0,0,1,0,0,0,1,1,2,1,1,6,0,0
517,2,2,55,1,3,1,0,0,0,0,0,2,1,2,1,1,6,0,1
523,1,1,40,1,4,0,0,1,0,0,0,1,1,2,1,1,2,0,0
524,2,2,35,1,4,0,0,1,0,0,0,2,2,2,1,1,2,0,0
527,1,1,57,1,3,0,0,1,0,0,0,1,1,2,1,1,6,0,0
528,2,2,38,1,3,1,0,0,0,0,0,2,2,2,1,1,6,0,1
535,1,1,70,1,3,0,0,0,0,0,0,1,1,2,1,1,6,0,1
536,2,2,58,1,3,0,0,0,0,0,0,2,1,2,1,1,6,0,1
537,1,3,35,1,3,1,0,0,0,0,0,1,1,2,1,1,6,0,0
538,2,3,30,1,3,1,0,0,0,0,0,2,1,2,3,3,6,0,0
541,1,1,53,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
551,1,1,40,1,1,0,0,1,0,0,0,1,1,2,1,1,2,0,0
552,2,2,32,1,1,1,0,0,0,0,0,2,1,2,1,1,6,0,1
562,1,1,40,1,1,0,1,1,0,1,0,1,1,2,1,1,2,0,1
563,2,2,38,1,1,1,0,0,0,0,0,2,1,2,1,1,6,0,1
564,2,3,18,1,1,0,0,1,1,0,1,1,2,2,1,1,2,0,0
574,2,2,45,1,1,1,0,0,0,0,0,2,1,2,1,1,6,0,1
592,1,1,52,1,1,0,0,1,1,0,1,1,1,1,1,3,2,0,0
593,2,2,45,1,1,0,0,1,0,0,0,2,2,2,1,1,2,0,1
594,2,2,40,1,1,0,0,1,0,0,0,2,2,2,1,3,2,0,0
599,1,1,30,1,1,0,0,1,0,0,0,1,1,2,1,1,2,0,0
600,2,2,26,1,1,1,0,0,0,0,0,2,1,2,1,1,6,0,1
603,1,3,27,1,1,0,0,1,0,0,0,1,1,2,1,1,2,0,1
604,2,3,22,1,1,0,0,1,0,0,0,2,2,2,1,1,2,0,1
607,1,1,35,1,1,0,0,1,0,0,0,1,1,2,1,1,2,0,0
608,2,2,28,1,1,0,0,1,0,0,0,2,2,2,1,1,2,0,0
615,1,1,32,1,1,0,0,1,0,0,0,2,1,2,1,1,2,0,1
616,2,2,31,1,1,1,0,0,0,0,0,2,1,2,1,1,6,0,1
621,1,1,55,1,1,0,0,1,0,0,0,1,1,2,1,1,2,0,1
622,2,2,40,1,1,0,0,1,0,0,0,2,1,2,1,1,2,0,1
629,1,1,38,1,3,0,0,1,0,0,0,1,1,1,1,3,2,0,0
630,2,2,32,1,3,0,0,1,0,0,0,2,1,2,1,3,2,0,0
635,1,1,45,1,1,1,0,0,0,0,0,2,1,2,1,1,6,0,1
636,2,2,42,1,1,1,0,0,0,0,0,2,1,2,1,1,6,0,1
638,1,1,50,1,1,0,0,1,0,0,0,1,1,1,1,1,2,0,1
639,2,2,48,1,1,1,0,0,0,0,0,2,2,2,1,1,6,0,1
645,1,1,60,1,1,0,0,0,0,0,0,1,2,2,1,1,6,0,1
646,2,2,53,1,1,0,0,0,0,0,0,1,2,2,1,1,6,0,1
647,1,3,30,1,1,1,0,0,0,0,0,1,1,2,1,1,6,0,0
648,2,3,26,1,1,1,0,0,0,0,0,2,1,2,1,1,6,0,1
649,1,3,25,1,1,1,0,0,0,0,0,1,1,2,1,1,6,0,0
650,2,3,19,1,1,1,0,0,0,0,0,2,2,2,3,3,6,0,0
660,1,1,50,1,1,0,0,0,0,0,0,2,2,2,1,1,6,0,1
661,2,2,40,1,1,0,0,0,0,0,0,1,1,2,1,1,6,0,1
663,1,1,39,1,1,0,0,0,0,0,0,2,1,2,1,1,6,0,1
664,2,2,34,1,1,1,0,0,0,0,0,1,1,2,1,1,6,0,0
668,1,1,37,1,1,0,0,1,0,0,0,1,1,1,1,1,2,0,0
669,2,2,33,1,1,0,0,0,0,0,0,2,1,2,1,1,6,0,0
691,1,1,50,1,1,0,0,0,0,0,0,1,2,2,1,1,6,0,1
692,2,2,40,1,1,0,0,0,0,0,0,1,2,2,1,1,6,0,1
699,1,1,35,1,1,0,0,1,0,0,0,1,1,2,1,1,2,0,0
700,2,2,32,1,1,0,0,0,0,0,0,2,2,2,1,1,6,0,0
703,1,1,30,1,1,1,0,0,0,0,0,1,1,2,1,1,6,0,0
704,2,2,28,1,1,0,0,0,0,0,0,2,1,2,1,1,6,0,0
