adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
2,1,1,65,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
3,2,2,55,1,3,0,0,0,0,0,0,1,2,2,1,1,2,0,0
4,1,3,27,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
5,2,3,19,1,3,0,0,0,0,0,0,1,2,2,3,1,2,0,0
11,1,1,65,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
12,2,2,50,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
15,1,1,35,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,1
16,2,2,32,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
26,1,1,55,1,3,0,0,0,0,0,0,1,2,2,2,1,2,0,1
27,2,2,45,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
32,1,1,48,1,3,0,0,0,0,0,0,1,1,2,1,3,2,0,0
33,2,2,40,1,3,0,0,0,0,0,0,1,1,1,1,3,2,1,0
41,2,1,40,1,3,0,0,0,0,0,0,2,1,1,3,1,2,1,1
45,1,1,50,1,4,0,0,1,0,0,0,1,1,1,1,1,2,0,0
46,2,2,40,1,3,0,1,1,0,0,0,2,2,2,1,1,2,0,0
51,2,1,48,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,1
53,2,3,20,1,3,0,0,0,0,0,0,1,2,2,3,1,2,0,0
56,1,1,42,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
57,2,2,35,1,3,0,0,1,0,0,0,2,2,2,1,1,2,0,1
70,1,1,42,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,1
71,2,2,35,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
76,1,1,32,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
77,2,2,25,1,3,0,0,0,0,0,0,2,1,1,1,1,2,0,0
78,1,3,30,1,3,0,0,0,0,0,0,1,1,2,3,3,2,0,0
79,2,3,26,1,3,0,0,0,0,0,0,2,2,2,3,3,2,0,0
81,2,3,50,1,3,0,0,0,0,0,0,2,2,1,1,1,2,0,1
83,1,1,50,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
84,2,2,48,1,3,0,0,0,0,0,0,2,2,1,1,1,2,0,1
87,1,1,70,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
88,2,2,60,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,1
97,1,1,37,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
98,2,2,27,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,0
101,1,3,35,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
102,2,3,23,1,3,0,0,0,0,0,0,2,2,2,3,1,2,0,0
113,1,1,60,1,1,0,0,0,0,0,0,1,1,2,1,1,2,0,1
114,2,2,50,1,1,0,0,0,0,0,0,1,1,1,1,1,2,1,1
115,1,3,31,1,1,0,0,0,0,0,0,1,1,1,1,1,2,0,0
116,2,3,22,1,1,0,0,0,0,0,0,1,2,2,1,1,2,0,0
136,1,1,60,1,1,0,0,0,0,0,0,1,1,1,1,1,2,0,1
137,2,2,55,1,1,0,0,0,0,0,0,2,1,1,1,1,2,1,1
138,1,3,50,1,1,0,0,0,0,0,0,1,1,1,1,1,2,0,1
139,2,3,42,1,1,0,0,0,0,0,0,2,1,2,1,1,2,0,1
152,1,1,28,1,1,0,0,0,0,0,0,1,1,1,1,1,2,0,0
153,2,2,23,1,1,0,0,0,0,0,0,2,1,1,1,1,2,1,0
182,1,1,42,1,1,0,0,0,0,0,0,1,1,1,1,1,2,0,0
183,2,2,38,1,1,0,0,0,0,0,0,1,1,1,1,1,2,1,1
188,1,1,38,1,1,0,0,0,0,0,0,1,1,1,1,1,2,0,1
189,2,2,35,1,1,0,0,0,0,0,0,2,1,2,1,1,2,0,0
203,1,1,50,1,1,0,0,0,0,0,0,1,1,1,1,1,2,0,0
204,2,2,42,1,1,0,0,0,0,0,0,2,2,1,1,1,2,1,1
212,1,1,45,1,1,0,0,0,0,0,0,1,1,1,1,1,2,0,0
213,2,2,40,1,1,0,0,0,0,0,0,2,1,1,1,1,2,1,1
221,2,1,40,1,1,0,0,0,0,0,0,2,1,1,1,1,2,1,1
222,2,3,42,1,1,0,0,0,0,0,0,2,1,1,1,1,2,1,1
225,1,1,55,1,1,0,0,0,0,0,0,1,1,2,1,1,2,0,0
226,2,2,50,1,1,0,0,0,0,0,0,2,1,1,1,1,2,1,1
227,2,1,48,1,1,0,0,0,0,0,0,1,1,1,1,1,2,1,1
228,2,3,50,1,1,0,0,0,0,0,0,2,1,1,1,1,2,1,1
229,1,1,55,1,1,0,0,0,0,0,0,1,2,1,1,1,2,0,0
230,2,2,45,1,1,0,0,0,0,0,0,2,1,1,1,1,2,1,1
231,2,2,40,1,1,0,0,0,0,0,0,2,1,1,1,1,2,1,1
232,1,3,22,1,1,0,0,0,0,0,1,1,1,1,1,1,2,0,0
233,2,3,19,1,1,0,0,0,0,0,0,2,2,2,3,3,2,0,0
243,1,1,40,1,1,0,0,0,0,0,0,1,1,1,1,1,2,0,1
244,2,2,37,1,1,0,0,0,0,0,0,2,2,1,1,1,2,1,1
247,2,1,40,1,1,0,0,0,0,0,0,1,1,1,1,1,2,1,1
248,1,1,40,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
249,2,2,30,1,3,0,0,0,0,0,0,2,2,1,3,1,2,1,0
252,1,1,60,1,3,1,0,1,1,0,0,2,1,2,1,1,999,0,1
253,2,2,50,1,3,0,0,0,0,0,0,2,1,1,1,1,2,0,1
254,1,1,45,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
255,2,2,40,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,1
263,1,1,50,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,1
264,2,2,45,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
266,1,1,35,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,1
267,2,2,25,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,1
271,1,1,40,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,1
272,2,2,38,1,3,0,0,0,0,0,0,2,2,1,3,1,2,1,1
273,2,3,20,1,3,0,0,0,1,0,1,1,2,2,3,3,2,0,0
285,2,2,26,1,3,0,0,0,0,0,0,1,1,1,3,3,2,1,0
300,1,1,52,1,3,0,0,0,0,0,0,1,2,1,1,1,2,0,0
301,2,2,37,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,1
306,1,1,60,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,1
307,2,2,50,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,1
308,1,3,30,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,1
309,2,3,25,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,1
312,1,3,28,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
313,2,3,22,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
316,1,3,24,1,3,0,0,0,0,0,0,1,1,2,3,1,2,0,0
317,2,3,22,1,3,0,0,0,0,0,0,2,2,2,3,1,2,0,0
327,1,1,35,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,1
328,2,2,30,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,0
333,2,2,25,1,3,0,0,0,0,0,0,1,2,2,1,1,2,0,0
337,2,3,50,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
341,1,1,45,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
342,2,2,38,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
343,2,3,18,1,3,0,0,0,0,0,1,1,2,2,3,1,2,0,0
349,1,1,48,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
350,2,2,40,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,1
352,2,3,18,1,3,0,0,0,0,0,1,1,2,2,1,1,2,0,0
361,1,1,45,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,1
362,2,2,37,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,1
379,1,1,60,1,3,0,0,0,0,0,0,1,2,2,1,1,2,0,1
380,2,2,50,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
384,1,1,50,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
385,2,2,40,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,0
387,1,1,58,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
388,2,2,47,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,0
393,1,1,42,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
394,2,2,38,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,1
395,1,3,40,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
396,2,2,35,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,1
420,1,1,37,1,3,0,0,0,0,0,1,1,1,1,1,1,2,0,0
421,2,2,28,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,0
424,1,3,46,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
425,2,3,35,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,1
426,2,3,25,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,0
436,1,1,50,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,1
437,2,2,40,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,1
440,1,1,40,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
441,2,2,30,1,4,0,0,0,0,0,0,2,2,2,3,3,2,0,0
443,1,1,35,1,3,0,0,0,0,0,0,1,2,1,1,1,2,0,0
444,2,2,28,1,3,0,0,0,0,0,0,2,2,1,1,1,2,0,1
445,1,3,25,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
446,2,3,20,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,0
447,1,1,42,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,1
448,2,2,40,1,3,0,1,0,0,0,0,2,2,1,1,1,2,1,0
459,1,1,65,1,3,0,0,0,0,0,0,1,2,2,1,1,2,0,0
460,2,2,52,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,1
477,1,1,30,1,3,0,0,0,0,0,1,1,1,1,1,1,2,1,0
480,1,3,40,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,1
481,2,2,30,1,3,0,0,0,0,0,0,2,1,2,1,1,2,0,0
486,1,1,40,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
487,2,2,30,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
491,1,1,50,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
492,2,2,40,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,1
498,1,1,45,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,0
499,2,2,33,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
500,2,3,18,1,3,0,0,0,0,0,1,1,2,2,1,1,2,0,0
503,1,3,38,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
504,2,3,29,1,3,0,0,0,0,0,1,2,2,1,1,1,2,1,0
507,1,3,30,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
508,2,3,24,1,3,0,0,0,0,0,1,2,2,1,1,1,2,1,0
511,1,1,65,1,3,0,0,0,0,0,0,1,2,2,1,3,2,0,1
512,2,2,60,1,3,0,0,0,0,0,0,2,2,2,1,3,2,0,1
513,1,3,35,1,3,0,0,0,0,0,0,1,1,2,1,3,2,0,0
514,2,3,30,1,3,0,0,0,0,0,0,2,2,2,3,3,2,0,1
521,1,1,55,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,1
522,2,2,42,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,0
539,1,1,45,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,1
540,2,2,40,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,1
552,1,1,60,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
553,2,2,47,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
554,1,3,30,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
555,2,2,25,1,3,0,0,0,0,0,0,2,2,2,3,1,2,0,0
561,1,1,45,1,3,0,0,0,0,0,0,2,1,2,1,1,2,0,1
562,2,2,38,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,1
575,1,1,70,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,1
576,2,2,50,1,3,0,0,0,0,0,0,1,2,2,1,1,2,0,1
577,1,1,60,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
578,2,2,50,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
582,1,1,25,1,3,0,0,0,0,0,0,1,1,1,3,1,2,0,0
585,2,2,50,1,3,0,0,0,0,0,0,2,1,1,1,3,2,1,1
586,1,1,35,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,1
587,2,2,25,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,0
590,2,3,50,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,1
591,1,1,35,1,3,0,0,0,0,0,0,2,1,1,3,3,2,0,1
592,2,2,28,1,3,0,0,0,0,0,0,1,1,1,1,3,2,1,0
595,2,3,48,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,0
596,1,1,70,1,3,0,0,0,0,0,0,1,2,2,2,1,2,0,1
597,1,3,40,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,1
598,2,3,30,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,1
606,1,1,45,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,1
609,1,1,42,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
610,2,2,37,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,1
