adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
6,1,1,32,1,3,0,0,1,0,0,0,2,2,2,1,1,2,0,0
7,2,2,27,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,0
8,1,1,50,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
9,2,2,45,1,3,0,0,0,0,0,0,2,2,2,1,1,2,1,1
20,1,1,32,1,3,0,0,0,0,0,0,2,1,1,1,3,2,0,0
21,2,2,25,1,3,0,0,1,0,0,0,2,2,2,1,3,2,0,1
24,1,1,53,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,1
25,2,2,42,1,3,0,0,1,0,0,0,2,2,2,1,1,2,1,1
34,2,1,50,2,3,0,0,0,0,1,0,1,2,2,3,3,2,0,1
35,2,2,27,2,3,0,0,0,0,1,0,1,2,2,3,3,2,0,1
39,1,3,21,2,3,1,1,1,0,0,0,2,2,2,3,3,7,0,1
40,2,3,19,2,3,0,0,0,0,0,0,2,2,2,3,3,7,0,0
52,1,1,60,1,2,1,0,0,0,0,0,1,1,2,1,1,6,0,1
53,2,2,55,1,2,1,0,0,0,0,0,2,1,2,1,1,6,0,1
54,2,3,25,1,2,1,0,0,0,0,0,1,2,2,3,1,6,0,1
55,2,3,18,1,1,1,0,0,0,0,0,1,1,2,3,1,6,1,0
59,1,1,70,1,3,0,0,1,0,0,0,2,2,1,1,1,2,0,1
60,2,3,60,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,1
61,2,3,28,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,0
62,1,3,30,1,-999,1,0,0,0,0,0,1,1,2,1,1,6,0,0
63,2,3,25,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,0
88,1,1,65,1,3,0,0,0,0,0,0,2,2,2,3,1,2,0,0
89,2,2,45,1,3,0,0,0,0,0,0,2,2,2,3,1,2,0,1
95,1,1,45,1,4,0,1,1,1,0,0,2,1,1,1,3,2,1,0
96,2,2,40,1,1,1,0,0,0,0,0,2,1,1,1,3,6,1,0
105,1,1,26,1,2,0,0,1,0,0,0,1,1,2,2,3,6,0,0
106,2,2,20,1,2,1,0,0,0,0,0,2,2,2,3,1,1,0,0
107,2,3,50,1,2,1,0,0,0,0,0,1,1,2,1,1,6,1,1
116,1,1,38,1,1,0,0,1,0,0,0,2,1,2,1,1,2,0,1
117,2,2,30,1,1,1,0,0,0,0,0,2,1,1,1,1,6,1,0
121,2,2,25,1,2,1,0,0,0,0,0,2,1,1,1,1,6,1,0
124,1,1,45,3,4,1,0,1,1,0,1,2,1,2,1,1,999,0,0
125,2,2,33,3,4,0,0,1,0,0,0,2,2,1,1,1,2,1,0
129,1,1,26,1,2,1,1,0,1,0,0,2,1,2,1,1,6,0,1
130,2,2,25,1,2,1,0,0,0,0,0,2,2,1,1,1,6,1,0
137,1,1,50,2,3,0,0,0,0,1,0,2,1,2,1,1,2,0,0
