adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
1,1,1,53,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
2,2,2,36,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,0
6,1,1,40,1,3,0,1,1,1,1,0,1,1,1,1,1,2,0,0
7,2,2,30,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,0
33,1,1,30,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
34,2,2,28,1,3,0,0,1,0,0,0,2,2,1,1,1,2,0,1
38,2,1,35,2,3,1,0,1,0,0,0,1,2,1,1,1,7,1,0
43,1,1,45,2,3,1,0,1,0,0,0,1,1,1,1,1,7,0,0
44,2,2,40,2,3,1,0,0,0,0,0,2,1,1,1,1,7,1,0
53,2,1,40,2,3,1,0,1,1,0,0,2,1,1,1,1,7,1,0
56,1,1,50,2,3,1,0,1,1,0,0,1,1,1,1,1,7,0,0
57,2,2,45,2,3,1,0,1,1,0,0,2,2,1,1,1,7,1,0
62,1,1,70,1,3,0,0,1,1,0,1,2,1,1,1,1,2,0,0
64,1,3,45,1,3,0,0,1,1,0,1,1,1,1,1,1,2,0,0
65,2,3,38,1,3,0,0,1,1,0,1,1,1,1,1,1,2,1,0
68,1,1,40,2,3,1,0,1,0,0,0,2,1,1,1,1,7,0,1
69,2,2,35,2,3,1,0,1,0,0,0,2,1,1,1,1,7,1,1
72,2,1,45,2,3,1,0,1,0,0,0,1,1,2,1,1,7,0,0
80,1,1,35,3,4,1,0,0,1,1,0,1,1,2,1,1,7,0,0
81,2,2,28,2,3,1,0,0,0,1,1,2,2,1,1,1,7,1,0
99,1,1,35,2,3,1,0,1,0,0,0,1,1,1,1,1,7,0,1
100,2,2,30,2,4,0,0,0,1,0,1,2,2,1,1,1,7,1,0
106,1,1,45,2,4,1,0,1,0,0,0,1,1,2,1,1,7,0,0
107,2,2,40,2,4,1,0,0,0,1,0,2,2,1,1,1,7,1,0
117,1,1,30,2,3,1,0,1,0,0,0,1,1,2,1,1,7,0,0
118,2,2,29,2,3,1,0,1,0,0,0,2,2,1,1,1,7,1,0
138,1,1,45,2,3,1,0,1,0,0,0,1,2,2,1,1,1,0,1
142,1,1,40,1,3,0,0,1,0,1,0,1,1,1,1,1,6,0,0
143,2,2,30,1,3,1,0,0,0,1,0,2,2,1,1,1,6,1,0
