adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
1,1,1,50,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,1
2,2,2,40,1,3,0,0,1,0,0,0,2,1,2,1,1,2,1,1
8,1,1,60,1,3,0,0,1,0,0,0,2,2,2,1,1,2,0,1
9,2,2,50,1,3,0,0,1,0,0,0,1,2,2,1,1,2,0,1
10,1,3,33,1,3,0,0,1,0,0,0,1,2,1,1,1,2,0,0
11,2,2,25,1,3,0,0,0,0,0,0,2,2,2,1,1,2,1,0
15,2,1,38,1,3,1,0,0,0,0,0,2,1,2,3,3,6,0,1
16,1,1,22,1,3,0,0,1,0,0,0,2,1,2,1,1,2,0,0
18,1,1,62,1,3,1,0,0,0,0,0,1,1,2,1,1,6,0,1
19,2,2,50,1,1,1,0,0,0,0,0,2,1,1,1,1,6,1,1
25,1,1,45,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
26,2,2,40,1,3,0,0,1,0,0,0,2,2,1,1,1,2,0,0
28,1,3,38,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
29,2,3,30,1,3,0,0,1,0,0,0,2,2,1,1,1,2,0,0
32,1,3,35,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
33,2,3,30,1,3,1,0,0,0,0,0,2,1,2,1,1,6,0,0
37,2,3,28,1,3,1,0,0,0,0,0,1,1,2,1,1,6,0,0
39,2,2,32,1,2,0,0,1,0,0,0,1,1,1,1,1,2,1,0
42,1,1,65,1,1,1,0,0,0,0,0,2,1,2,1,1,6,0,1
43,2,2,50,1,1,0,0,0,0,0,0,1,2,1,1,1,6,1,1
44,1,3,27,1,2,0,0,1,0,0,0,1,1,2,1,1,2,0,0
45,2,3,23,1,1,1,0,0,0,0,0,2,2,2,3,1,6,0,1
47,1,1,30,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
48,2,2,25,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,0
52,1,1,60,2,2,1,0,1,1,0,0,2,1,1,1,1,7,0,1
53,2,2,55,2,2,1,0,1,0,0,0,1,2,1,1,1,7,0,1
58,1,1,40,1,2,1,0,0,0,0,0,1,1,2,1,1,5,0,1
59,2,2,29,1,2,0,0,0,0,0,0,2,1,2,1,1,6,0,1
62,2,1,30,1,3,0,0,1,1,0,1,2,1,1,1,1,2,1,0
71,2,1,42,1,2,1,0,0,0,0,0,2,2,1,1,1,6,1,1
73,1,1,40,2,3,1,0,1,1,0,0,2,1,2,1,1,7,0,0
74,2,2,28,2,3,1,0,0,0,0,0,1,1,2,1,1,7,0,1
75,2,3,50,2,3,1,0,1,0,0,0,2,2,2,1,1,7,0,1
82,1,1,33,1,4,1,0,0,0,0,0,1,2,2,1,1,6,0,0
83,2,2,27,1,3,1,0,0,0,0,0,2,1,2,1,1,6,0,1
86,1,1,65,1,4,1,0,0,0,0,0,1,1,2,1,1,1,0,0
87,2,2,55,1,4,1,0,0,0,0,0,2,2,1,1,1,6,1,0
90,2,3,34,1,4,1,0,0,0,0,0,1,1,1,1,1,1,1,0
119,1,1,60,1,3,0,0,1,0,0,0,1,1,1,1,1,2,1,0
120,2,2,55,1,4,0,0,1,0,0,0,2,2,2,1,1,2,1,1
121,1,3,28,1,4,0,0,1,0,0,0,1,2,2,1,1,2,0,0
132,1,1,65,1,3,0,0,1,0,0,0,1,2,1,1,1,2,0,0
133,2,2,55,1,3,0,0,1,0,0,0,2,2,2,1,1,2,0,1
134,1,3,33,1,3,0,0,1,0,0,0,1,2,1,1,1,2,0,0
135,2,3,26,1,3,0,0,1,0,0,0,2,2,2,1,1,2,0,0
137,1,3,32,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
138,2,3,26,1,3,0,0,1,0,0,0,2,2,2,1,1,2,0,0
142,1,1,40,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
143,2,2,35,1,3,0,0,1,0,0,0,2,1,2,1,1,2,0,1
145,2,1,32,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
148,1,1,42,1,3,0,1,1,0,0,0,2,1,2,1,1,2,0,0
149,2,2,30,1,3,0,0,1,0,0,0,1,2,1,1,1,2,1,0
152,1,1,45,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
153,2,2,38,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,0
156,1,1,40,1,3,0,0,1,0,0,0,2,1,1,1,1,2,0,1
157,2,2,32,1,3,0,1,0,0,0,0,1,1,1,1,1,2,1,1
181,1,1,46,1,1,0,0,1,0,0,0,1,1,2,1,1,2,0,0
182,2,2,42,1,1,0,0,1,0,0,0,2,1,1,1,1,2,1,1
203,1,1,40,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,1
204,2,2,34,1,3,0,0,0,0,0,0,2,1,2,1,1,2,1,0
208,1,1,45,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
209,2,2,38,1,3,0,0,1,0,0,0,2,2,2,1,1,2,0,0
210,2,2,35,1,3,0,0,1,0,0,0,2,1,1,1,1,2,0,1
219,1,1,49,1,4,0,0,1,0,0,0,1,2,2,1,1,2,0,1
220,2,2,45,1,4,0,0,0,0,0,0,2,2,2,1,1,2,0,1
221,1,3,28,1,4,0,0,1,0,0,0,1,2,2,1,1,2,0,0
