adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
6,1,1,30,1,2,1,0,1,0,0,0,1,1,2,1,3,4,0,1
7,2,2,28,1,2,1,0,1,1,0,0,2,1,2,1,3,4,0,1
16,1,1,24,1,1,1,0,0,0,0,0,1,1,2,1,1,6,0,0
17,2,2,20,1,1,1,0,0,0,0,0,1,2,2,1,1,6,0,1
19,2,3,50,1,1,1,0,0,0,0,0,2,2,2,1,1,6,0,1
21,1,1,32,1,1,0,0,1,1,0,0,1,1,2,1,1,2,0,0
22,2,2,27,1,1,0,0,1,0,0,0,2,1,2,1,1,2,0,1
31,1,1,27,1,1,0,0,1,0,0,0,1,1,1,3,1,2,0,0
32,2,2,25,1,1,0,0,1,0,0,0,1,1,2,1,1,2,0,0
36,1,1,40,1,1,0,0,1,0,0,0,1,1,2,1,1,2,0,1
37,2,2,35,1,2,0,0,1,0,0,0,2,1,2,3,1,2,0,1
47,1,1,60,1,1,0,0,1,0,0,0,1,1,2,3,1,2,0,1
48,2,2,55,1,1,0,0,1,0,0,0,1,1,2,3,1,2,0,1
49,1,1,32,1,1,0,0,1,0,0,0,1,1,2,1,1,2,0,1
50,2,3,28,1,1,1,1,0,0,0,0,2,1,2,1,1,6,0,1
51,1,3,29,1,1,0,0,1,0,0,0,1,1,2,3,1,2,0,1
52,2,3,22,1,1,0,0,1,0,0,0,2,2,2,3,1,2,0,1
55,1,1,28,1,1,0,0,1,0,0,0,1,1,1,3,1,2,0,1
56,2,2,25,1,1,1,0,0,0,0,0,1,2,2,1,1,6,0,0
60,1,1,70,1,1,0,0,1,0,0,0,2,1,2,1,1,2,0,0
61,2,2,60,1,2,0,0,1,0,0,0,1,1,2,1,1,2,0,1
62,1,3,30,1,1,1,0,0,0,0,0,1,1,1,1,1,6,0,0
66,1,1,60,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,1
67,2,2,55,1,3,0,0,1,0,0,0,2,1,1,1,1,2,0,1
73,1,1,60,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,1
74,2,2,50,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
76,2,3,19,1,3,0,0,1,0,0,0,1,2,2,3,1,2,0,0
77,2,3,29,1,3,0,0,0,0,0,0,1,2,2,3,1,2,0,1
105,2,1,70,1,1,0,0,1,0,0,0,1,1,2,1,1,2,0,1
109,2,3,37,1,1,0,0,1,0,0,0,1,1,2,1,1,2,0,0
115,1,1,30,1,1,0,0,1,0,0,0,1,1,1,1,1,2,0,0
116,2,2,28,1,1,0,0,1,0,0,0,2,1,2,1,1,2,0,1
125,1,1,45,1,3,1,0,0,0,0,0,1,1,1,1,1,6,0,0
126,2,2,40,1,3,0,0,1,0,0,0,2,1,1,1,1,2,0,1
128,1,1,45,1,1,1,0,0,0,0,0,1,2,2,1,1,6,0,1
129,2,2,40,1,1,1,0,1,0,0,0,2,1,2,1,1,5,0,1
148,1,1,50,1,3,1,0,0,0,0,0,1,1,1,1,1,6,0,0
149,2,2,45,1,4,1,0,0,0,0,0,2,1,1,1,1,6,1,0
152,1,1,35,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
153,2,2,26,1,3,0,0,1,0,0,0,2,2,1,3,3,2,0,0
160,1,1,52,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
161,2,2,45,1,3,0,0,1,0,0,0,2,2,2,1,1,2,0,1
162,2,3,22,1,3,0,0,1,0,0,0,1,1,2,3,1,2,0,0
168,1,1,30,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
169,2,2,24,1,3,0,0,1,0,0,0,2,1,2,1,1,2,1,0
173,1,1,45,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
174,2,2,40,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,1
175,2,3,19,1,3,0,0,1,0,0,0,1,2,2,3,1,2,0,0
178,1,1,50,1,3,0,0,1,0,0,1,1,1,2,1,1,2,1,0
179,2,2,45,1,3,0,0,0,0,0,0,2,1,2,1,1,6,0,1
187,1,1,40,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
188,2,2,36,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,0
198,1,1,53,1,3,0,0,1,0,0,0,1,1,1,1,1,2,1,0
199,2,2,45,1,3,0,0,1,0,0,0,2,2,1,1,1,2,0,0
202,2,3,19,1,3,0,0,1,0,0,0,1,2,2,3,1,2,0,0
225,1,1,26,1,4,0,0,1,0,0,0,1,1,2,1,1,2,0,0
228,2,1,60,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,1
229,1,2,35,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,1
230,2,3,27,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,1
234,1,1,32,1,3,0,0,1,0,0,0,1,1,2,1,3,2,1,0
235,2,2,25,1,3,0,0,1,0,0,0,2,2,2,1,3,2,0,0
239,1,3,32,1,3,1,0,0,0,0,0,2,2,2,1,3,6,0,0
240,2,3,27,1,3,0,0,1,0,0,0,1,2,2,1,3,2,0,0
