adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
1,1,1,40,1,3,0,1,1,0,0,0,1,2,2,1,1,2,0,1
2,2,2,35,1,3,0,0,1,0,0,0,2,2,2,1,1,2,0,1
17,1,1,35,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,1
18,2,2,30,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,1
22,1,1,40,1,3,0,1,1,0,0,0,1,1,2,1,1,2,0,1
23,2,2,38,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,1
27,1,1,28,1,3,0,1,1,0,0,0,1,1,2,1,1,2,0,0
28,2,2,26,1,3,0,1,1,0,0,0,2,2,1,3,1,2,1,0
31,1,1,38,1,3,0,1,1,0,0,0,1,1,1,1,1,2,0,1
32,2,2,35,1,3,0,1,1,0,0,0,2,1,1,1,1,2,1,1
50,1,1,36,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
51,2,2,33,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,0
54,1,1,50,1,3,0,1,1,1,0,0,2,1,2,1,1,2,0,0
55,2,2,45,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,1
56,1,3,23,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
57,2,3,20,1,3,0,0,1,0,0,0,2,2,2,1,3,2,0,0
65,1,1,55,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
66,2,2,45,1,3,0,0,1,0,0,0,2,1,1,1,1,2,0,1
67,1,3,23,1,3,0,0,1,0,0,1,1,1,1,3,1,2,0,0
68,2,3,20,1,3,0,0,1,0,0,0,2,2,2,3,3,2,0,0
70,1,3,22,1,3,0,0,1,0,0,0,1,1,2,3,1,2,0,0
71,2,3,20,1,3,0,0,1,0,0,0,2,2,2,3,3,2,0,0
85,2,1,40,1,3,0,1,1,0,0,0,1,1,2,1,1,2,0,1
86,1,3,25,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
87,2,3,20,1,3,0,1,1,0,0,0,2,2,2,3,3,2,0,0
88,1,1,55,1,3,0,0,1,0,0,0,2,2,1,1,1,2,0,1
89,2,2,45,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,1
90,1,3,25,1,3,0,1,1,0,0,0,2,1,1,3,1,2,0,0
91,2,3,20,1,3,0,1,0,0,0,0,1,2,2,3,3,2,0,0
93,1,1,35,1,3,0,1,0,0,0,0,1,1,1,1,1,2,0,0
94,2,2,30,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,1
97,1,1,54,1,3,0,0,1,0,0,0,1,2,1,1,1,2,0,0
104,1,1,40,1,3,0,1,1,0,0,0,1,2,2,1,1,2,0,1
105,2,2,25,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,1
109,1,1,55,1,2,0,1,1,1,0,0,1,1,1,1,1,2,0,0
110,2,2,50,1,2,0,0,1,0,0,0,2,1,1,1,1,2,1,1
111,2,3,23,1,3,0,0,1,0,0,0,1,2,2,3,3,2,0,0
112,1,3,30,1,2,0,1,1,1,0,0,2,1,2,3,3,2,0,0
114,1,1,40,1,3,1,0,1,0,0,0,1,2,2,1,1,6,0,1
115,2,2,38,1,3,1,0,0,0,0,0,1,1,1,1,1,5,0,1
143,1,1,60,1,2,0,1,1,0,0,0,1,2,2,1,1,2,0,1
144,2,2,55,1,2,0,0,1,0,0,0,2,1,1,1,1,2,1,1
147,1,3,26,1,2,0,1,1,0,1,0,1,1,2,1,1,2,0,0
148,2,3,24,1,2,0,0,1,0,0,0,2,2,1,3,3,2,0,0
164,2,1,60,1,3,0,0,1,0,0,0,1,2,1,2,1,2,1,0
165,1,3,30,1,3,0,1,1,1,0,0,2,1,1,1,1,2,0,0
166,2,3,28,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,0
170,1,1,55,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
171,2,2,49,1,3,0,1,1,0,0,0,1,1,1,1,1,2,1,1
172,1,3,27,1,3,0,1,1,0,0,0,1,1,2,3,3,2,0,0
173,2,3,20,1,3,1,0,0,0,0,0,2,2,2,3,3,5,0,0
180,1,1,30,1,3,0,1,1,0,0,0,1,1,1,1,1,2,0,0
181,2,2,25,1,3,1,0,0,0,0,0,1,2,2,1,1,5,0,0
184,1,1,45,1,3,1,0,0,0,0,0,2,1,1,1,3,5,0,1
185,2,2,35,1,3,1,0,1,0,0,0,2,1,2,1,3,5,0,1
194,2,2,45,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,0
198,2,1,35,1,3,1,0,1,0,0,0,2,1,2,1,1,5,0,1
211,1,1,35,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,1
212,2,2,30,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,1
216,1,1,60,1,3,0,0,1,0,0,0,1,2,2,1,1,2,0,1
217,2,2,50,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,1
223,1,1,45,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
224,2,2,38,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,1
232,1,1,42,1,3,0,1,1,0,0,0,1,1,1,1,1,2,0,0
233,2,2,38,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,0
234,1,3,30,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
235,2,3,25,1,3,0,0,1,0,0,0,2,1,2,3,3,2,0,1
237,2,3,22,1,3,0,0,0,0,0,0,1,2,2,3,1,2,0,0
240,1,1,45,1,1,1,0,0,0,0,0,1,1,2,1,1,6,0,1
241,2,2,40,1,1,1,0,0,0,0,0,1,2,1,1,1,6,1,1
243,2,3,20,1,1,1,0,0,0,0,0,1,2,2,3,3,6,0,0
263,1,1,40,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
264,2,2,30,1,3,0,0,1,0,0,0,2,2,2,1,1,2,0,0
272,1,1,40,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
273,2,2,35,1,3,0,0,0,0,0,0,2,1,1,1,1,2,0,1
279,2,1,50,1,3,0,0,1,0,0,0,2,1,2,1,1,2,0,1
281,1,1,50,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,1
282,2,2,45,1,3,0,0,1,0,0,0,2,1,2,1,1,2,0,1
283,2,3,25,1,3,0,0,1,0,0,0,1,2,2,1,1,2,0,0
296,1,1,45,1,3,1,0,1,0,0,0,1,1,1,1,1,5,0,0
