adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
1,1,1,55,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,1
2,2,2,45,1,3,0,0,1,0,0,0,2,2,1,1,3,2,1,1
15,1,1,30,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
16,2,2,20,1,3,0,0,0,0,0,0,2,2,2,3,3,2,0,0
21,1,1,45,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
22,2,2,35,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,0
26,1,1,45,1,3,0,0,1,0,0,1,1,1,1,1,1,2,0,0
30,2,3,45,1,3,0,0,0,0,0,0,2,1,2,1,1,2,0,1
44,1,1,60,1,3,0,1,1,0,0,0,1,1,1,1,1,2,0,0
45,2,2,50,1,3,0,0,0,0,0,0,2,1,2,1,1,2,1,0
46,2,3,20,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
47,2,3,18,1,3,0,0,0,0,0,0,1,1,2,3,1,2,0,0
49,1,1,40,1,3,0,0,1,0,0,0,1,1,1,1,1,2,1,0
50,2,2,33,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,1
53,1,1,73,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,1
54,2,2,68,1,3,0,0,1,0,0,0,2,1,2,1,1,2,0,0
55,1,3,32,1,3,0,1,1,1,0,0,1,1,2,1,3,2,0,0
56,2,3,30,1,3,0,0,0,0,0,0,2,1,2,1,3,2,0,0
59,2,3,19,1,3,0,0,0,0,0,0,1,1,2,3,1,2,0,0
60,1,1,50,1,3,0,1,1,0,0,0,1,1,1,1,1,2,0,0
61,2,2,45,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,0
63,1,1,50,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
64,2,2,30,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,1
81,1,1,45,1,1,0,0,1,0,0,0,1,1,2,1,1,2,0,1
82,2,2,40,1,1,0,0,0,0,0,0,2,2,2,1,1,2,0,1
83,2,3,18,1,1,0,0,0,0,0,0,1,2,2,3,1,2,0,0
107,1,1,40,1,1,0,0,1,0,0,0,1,1,1,1,1,2,0,0
108,2,2,30,1,1,0,0,1,0,0,0,2,1,2,1,1,2,0,1
