adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
1,2,1,33,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,1
4,1,1,45,1,3,1,0,0,0,0,0,2,1,1,3,1,2,0,1
5,2,2,38,1,3,0,1,1,0,0,0,1,1,1,1,1,2,1,1
8,2,1,48,1,3,0,0,1,0,0,0,1,2,1,1,1,2,1,1
11,1,1,30,1,3,0,1,1,0,0,0,2,1,1,1,3,2,0,0
12,2,2,25,1,3,0,0,1,0,0,0,2,2,2,1,1,2,0,0
38,1,1,30,1,3,1,0,0,0,0,0,1,1,2,1,1,5,0,1
39,2,2,28,1,3,1,0,1,1,0,0,2,1,1,3,1,5,1,0
50,2,1,60,1,1,1,0,1,0,0,0,2,2,1,1,1,5,1,1
51,2,3,35,1,1,1,0,0,0,0,0,1,1,2,1,1,6,0,1
58,2,2,35,1,1,0,1,0,0,0,0,2,1,1,1,1,2,1,0
61,2,1,50,1,1,0,1,1,0,0,0,1,1,1,1,1,2,1,0
62,1,1,35,1,3,1,0,0,0,0,0,2,1,2,1,1,6,0,1
63,2,2,30,1,3,1,0,0,0,0,0,1,2,1,1,1,5,0,1
66,1,1,35,1,3,1,0,1,0,0,0,2,1,1,1,1,5,0,0
81,1,1,43,1,1,1,1,0,0,0,0,1,1,2,1,1,6,0,1
82,2,2,38,1,1,1,0,0,0,0,0,2,1,1,1,1,6,1,0
85,1,1,59,1,1,1,0,1,0,0,0,1,2,1,1,1,6,0,1
86,2,3,35,1,1,1,0,1,0,0,0,1,1,1,3,1,5,1,0
87,1,3,40,1,1,1,0,1,0,0,0,1,1,1,1,1,5,0,0
91,1,1,58,1,3,0,0,1,0,0,0,1,1,1,3,1,2,0,1
92,1,3,35,1,3,0,1,0,0,0,0,1,1,2,1,3,2,0,0
93,2,3,25,1,3,0,0,1,0,0,0,2,2,1,1,3,2,1,1
96,1,3,26,1,3,0,1,1,0,0,0,1,1,1,1,3,2,0,0
97,2,3,19,1,3,0,1,1,0,0,0,2,2,1,3,3,2,1,0
99,1,1,50,1,3,1,0,1,0,0,0,1,1,2,1,1,6,0,1
100,2,2,45,1,3,1,0,1,0,0,0,2,1,1,1,1,5,1,1
102,2,3,20,1,3,1,0,1,0,0,0,1,1,2,1,1,5,0,0
110,1,1,57,1,3,0,0,1,0,0,0,1,2,2,1,1,2,0,0
111,2,2,40,1,3,0,0,1,0,0,0,2,1,1,1,1,2,0,0
114,1,1,57,1,3,0,0,0,0,0,0,1,1,1,2,1,2,0,0
115,2,2,50,1,3,0,0,1,0,0,0,2,2,2,1,1,2,0,1
117,2,3,18,1,3,0,0,0,0,0,0,1,2,2,3,3,2,0,0
134,1,1,58,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
136,2,3,30,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,1
139,1,3,28,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
140,2,3,25,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
144,1,1,35,1,3,0,0,0,0,0,0,1,1,2,1,3,2,0,0
145,2,2,30,1,3,0,0,0,0,0,0,2,1,2,1,3,2,0,1
157,1,1,35,1,3,1,0,1,1,0,0,1,1,1,1,2,5,0,0
158,2,2,28,1,3,1,0,0,0,0,0,2,2,2,1,1,6,0,0
165,1,1,75,1,3,1,0,1,0,0,0,1,2,1,1,1,5,0,1
166,2,2,65,1,3,1,0,1,0,0,0,2,2,2,1,1,5,0,1
167,2,3,40,1,3,1,0,0,0,0,0,1,1,1,2,1,5,1,1
174,1,1,28,1,3,1,0,0,0,0,0,1,1,2,3,3,6,0,1
175,2,2,22,1,3,1,0,0,0,0,0,2,2,2,3,3,5,0,1
187,1,1,27,1,3,1,0,1,0,0,0,1,1,1,2,1,6,0,0
188,2,2,19,1,3,1,0,0,0,0,0,2,2,2,3,1,5,0,0
193,1,1,35,1,3,1,0,0,0,0,0,1,1,1,1,1,5,0,0
194,2,2,28,1,3,1,0,1,0,0,0,2,2,1,1,1,5,1,0
199,1,1,40,1,3,1,0,0,0,0,0,1,1,2,1,1,5,0,1
200,2,2,35,1,3,1,0,0,0,0,0,1,2,1,1,1,5,1,1
204,1,1,46,1,3,1,0,0,0,0,0,1,1,1,1,1,5,0,1
205,2,2,36,1,3,1,0,0,0,0,0,1,2,1,1,1,5,1,1
208,1,1,42,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
209,2,2,33,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
224,1,1,45,1,1,0,1,0,0,0,0,1,1,2,1,1,2,0,1
225,2,2,40,1,1,0,0,0,0,0,0,2,1,1,1,1,2,1,1
239,1,1,30,1,1,1,0,0,0,0,0,1,2,1,1,1,5,0,0
240,2,2,25,1,1,0,1,0,0,0,0,2,1,1,1,1,2,1,0
247,2,2,25,1,1,1,0,0,0,0,0,1,1,1,1,1,5,1,0
251,2,1,55,1,1,1,0,0,0,0,0,1,1,1,1,1,5,1,1
252,2,3,20,1,1,1,0,0,0,0,0,1,1,1,3,3,5,1,0
254,1,1,35,1,1,1,0,1,0,0,0,1,1,1,1,3,5,0,0
255,2,2,30,1,1,0,1,1,0,0,0,2,2,1,1,1,2,1,1
259,1,1,40,1,1,1,0,1,0,0,0,1,1,2,1,1,5,0,0
260,2,2,38,1,1,1,0,0,0,0,0,1,1,2,1,1,5,0,1
261,2,3,18,1,1,1,0,1,0,0,0,1,1,1,3,1,5,0,0
268,1,1,35,1,1,0,1,1,1,0,0,1,1,1,1,1,2,0,0
269,2,2,25,1,1,0,0,0,0,0,0,2,2,2,3,1,2,0,0
271,2,3,20,1,1,0,0,1,0,0,0,1,2,2,3,1,2,0,0
272,1,1,70,1,1,0,0,0,0,0,0,1,1,2,1,1,2,0,1
274,1,1,58,1,1,0,0,1,0,0,0,1,1,1,1,1,2,0,0
275,2,2,50,1,1,0,1,0,0,0,0,2,1,2,1,1,2,0,1
287,2,2,55,1,1,0,0,1,0,0,0,1,1,1,1,1,2,1,1
288,2,3,28,1,1,0,0,1,0,0,0,1,2,2,1,1,2,0,0
292,2,1,50,1,1,1,0,0,0,0,0,2,2,2,1,1,6,0,1
293,2,3,18,1,1,1,0,0,0,0,0,1,1,2,1,1,6,0,0
302,1,1,40,1,1,0,1,1,1,0,1,1,1,1,1,1,2,0,0
303,2,2,35,1,1,0,0,1,1,0,0,2,2,1,1,1,2,1,0
306,1,1,32,1,1,0,1,1,1,0,0,1,1,1,1,3,2,0,0
