adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,savings,electioncard,rationcard,mothertongue_2,Y,Z
1,1,1,40,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
2,2,2,35,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
9,1,1,50,1,3,0,0,1,0,0,1,1,1,1,1,1,2,0,0
10,2,2,45,1,3,0,0,1,0,0,0,2,1,2,1,1,2,0,0
11,2,3,21,1,3,0,0,1,0,0,1,1,2,2,3,1,2,0,0
13,2,2,21,1,3,0,0,0,0,0,0,2,2,2,3,1,2,0,0
17,2,3,28,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,0
24,1,1,45,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,0
25,2,2,35,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,1
29,1,1,56,1,3,0,0,1,0,0,0,1,1,1,1,1,2,0,0
30,2,2,50,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,1
36,1,1,65,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,1
37,2,2,55,1,3,0,0,0,0,0,0,2,2,2,1,1,2,0,1
38,1,3,40,1,3,0,0,0,0,0,0,1,1,1,1,1,2,0,0
39,2,3,30,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,0
44,1,3,40,1,3,0,0,1,0,0,0,1,1,2,1,1,2,0,1
45,2,2,38,1,3,0,0,0,0,0,0,2,1,2,1,1,2,0,1
47,2,3,18,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,0
60,1,1,50,1,3,0,0,0,0,0,0,1,1,2,1,1,2,0,0
61,2,2,40,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,1
66,2,2,28,1,3,0,0,0,0,0,0,2,1,2,3,1,2,0,0
94,1,1,65,1,3,0,0,1,0,0,0,1,1,2,1,3,2,0,0
95,2,2,58,1,3,0,0,0,0,0,0,2,2,2,1,3,2,0,1
