adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,shgparticipate,savings,rationcard,mothertongue_2,Y,Z
14,1,1,35,1,3,0,0,0,1,0,0,1,1,2,1,1,2,1,0
15,2,2,23,1,3,0,0,1,0,0,0,2,2,1,2,1,2,0,0
19,2,2,45,1,3,0,0,0,0,0,0,1,2,2,2,1,2,1,0
25,1,1,26,1,-999,1,0,0,0,0,0,1,1,2,2,1,6,1,1
26,2,2,18,1,3,1,0,0,0,0,0,2,2,2,2,1,6,0,0
27,2,3,45,1,3,1,0,0,0,0,0,1,2,1,1,1,6,1,1
33,1,1,50,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,1
34,2,2,40,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,1
44,1,1,56,1,3,0,0,0,0,0,0,1,2,2,2,1,2,1,0
45,2,2,48,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
48,1,1,45,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
49,2,2,30,1,3,0,0,0,0,0,0,2,2,1,2,1,2,1,0
50,2,3,18,1,3,0,0,0,0,0,1,1,2,2,2,1,2,1,0
53,2,1,70,1,4,0,0,0,0,0,0,2,2,1,1,1,2,1,1
54,1,3,35,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
55,2,3,28,1,3,0,0,1,0,0,0,2,2,2,2,1,2,1,0
57,1,3,25,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
58,2,3,20,1,4,0,0,0,0,0,0,2,2,2,2,1,2,1,0
60,1,1,45,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,1
61,2,2,36,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,1
64,1,1,60,1,3,0,0,0,0,0,0,1,2,2,2,1,2,1,1
65,2,2,50,1,3,0,0,0,0,0,0,2,2,2,2,1,2,1,1
86,1,1,30,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
87,2,2,20,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,0
95,1,1,35,1,3,0,0,1,0,0,0,2,1,2,1,1,2,1,0
96,2,2,28,1,3,0,0,0,0,0,0,1,2,1,2,1,2,1,0
101,1,1,50,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
102,2,2,45,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
105,2,1,46,1,3,0,0,1,0,0,0,2,2,1,2,1,2,1,0
113,1,1,75,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,1
114,2,2,68,1,3,0,0,0,0,0,0,1,2,2,2,1,2,1,1
116,2,3,43,1,3,0,0,1,0,0,0,2,2,2,2,1,2,1,0
119,1,3,36,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
120,2,3,30,1,3,0,0,0,0,0,0,2,2,2,2,1,2,1,0
122,1,3,26,1,3,0,0,0,1,0,0,1,1,2,1,1,2,1,0
123,2,3,22,1,3,0,0,1,0,0,0,2,1,2,2,3,2,1,0
124,2,3,20,1,3,0,0,1,0,0,0,1,1,2,2,3,2,1,0
125,1,3,33,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
126,2,3,29,1,3,0,0,1,0,0,0,2,2,2,2,1,2,1,0
129,1,3,30,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
130,2,3,27,1,3,0,0,0,0,0,0,2,2,2,2,1,2,1,0
133,1,1,50,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
134,2,2,45,1,3,0,0,0,0,0,0,1,2,1,2,1,2,1,0
135,1,3,42,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
138,1,1,45,1,3,0,0,0,0,0,1,1,2,2,2,1,2,1,0
139,2,2,33,1,3,0,0,0,0,0,0,2,2,1,2,1,2,1,0
149,1,1,46,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
150,2,2,35,1,3,0,0,0,0,0,0,2,2,1,2,1,2,1,0
184,1,1,50,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
185,2,2,40,1,3,0,0,0,0,0,0,2,1,1,2,1,2,1,0
197,1,1,40,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
198,2,2,35,1,3,0,0,0,0,0,0,2,2,1,2,1,2,1,0
202,1,1,42,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
203,2,2,35,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
207,1,1,75,1,3,0,0,0,0,0,0,1,2,2,-999,1,2,1,1
208,2,2,50,1,3,0,0,0,0,0,0,2,1,2,-999,1,2,1,1
209,1,2,35,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
210,2,2,28,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
217,2,1,40,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
224,2,1,55,1,3,0,0,0,0,0,0,1,2,1,1,1,2,0,1
225,1,3,47,1,3,0,1,1,1,0,0,2,1,1,1,1,2,1,0
226,2,2,35,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,0
229,1,1,35,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
230,2,2,28,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
233,1,1,38,1,1,1,0,0,0,0,0,1,1,2,2,1,6,1,0
241,1,1,48,1,3,0,0,1,0,0,0,1,2,2,1,1,2,1,0
242,2,2,35,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,0
250,1,1,45,1,3,0,1,1,0,0,0,1,1,2,2,1,2,1,0
251,2,2,37,1,4,0,0,1,0,0,0,2,1,1,1,1,2,1,0
254,1,1,48,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
255,2,2,40,1,4,0,0,1,0,0,0,2,2,1,1,1,2,1,0
271,1,1,45,1,1,0,1,1,0,0,0,1,2,2,2,1,2,1,0
272,2,2,38,1,1,1,0,0,0,0,0,2,2,1,1,1,6,1,1
279,2,2,25,1,1,1,0,0,0,0,0,2,2,1,1,1,6,1,1
299,1,1,55,1,1,1,0,0,0,0,0,1,2,2,2,1,6,1,1
300,1,3,35,1,1,1,0,0,0,0,0,1,1,2,2,1,6,1,0
301,2,3,28,1,1,1,0,0,0,0,0,2,2,1,1,1,6,1,0
306,2,1,45,1,1,1,0,0,0,0,0,2,2,1,1,1,6,1,1
312,1,1,60,1,1,0,0,1,0,0,0,1,2,2,2,1,2,1,0
313,2,2,52,1,1,1,0,0,0,0,0,1,1,2,2,1,1,1,1
317,2,1,55,1,1,1,0,0,0,0,0,2,2,1,1,1,6,1,1
318,1,3,25,1,1,1,0,0,0,0,0,1,1,2,2,1,6,1,0
319,2,3,18,1,1,0,0,1,0,0,0,2,2,2,2,1,6,0,0
324,1,1,60,1,1,1,0,0,0,0,0,1,1,2,2,1,6,1,1
325,2,2,50,1,1,1,0,0,0,0,0,2,2,2,2,1,6,1,1
326,1,3,35,1,1,1,0,1,0,0,0,1,1,2,1,1,6,1,0
327,2,2,22,1,1,0,0,1,0,0,0,2,2,2,2,1,2,1,0
330,2,3,19,1,1,1,0,0,0,0,0,1,1,2,2,1,6,1,0
342,1,1,45,1,1,1,0,0,0,0,0,1,2,2,2,1,1,1,0
343,2,2,38,1,1,1,0,0,0,0,0,2,1,2,2,1,6,1,1
344,1,3,28,1,1,1,0,0,0,0,0,1,1,2,2,1,6,1,0
345,2,3,24,1,1,1,0,0,0,0,0,2,2,2,2,1,1,0,1
352,1,1,60,1,1,0,0,1,0,0,0,1,1,2,2,1,2,1,1
353,2,2,50,1,1,0,0,1,0,0,0,2,1,2,2,1,2,1,1
362,2,1,45,1,3,0,0,0,0,0,0,1,1,1,2,1,2,1,0
363,2,3,18,1,3,0,0,0,0,0,0,1,2,2,2,1,2,1,0
364,1,1,50,1,3,0,0,1,0,0,1,1,1,2,1,1,2,1,0
365,2,2,40,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,0
381,1,1,30,1,4,0,0,0,0,0,0,1,1,1,1,1,2,1,0
382,2,2,24,1,4,0,0,0,0,0,0,2,2,1,1,1,2,1,0
389,1,1,50,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
393,1,1,42,1,4,0,0,1,0,0,0,1,1,1,1,1,2,1,0
394,2,2,26,1,4,0,0,0,0,0,0,2,2,1,1,1,2,1,0
397,1,1,40,1,4,0,0,0,1,0,0,1,1,2,2,1,2,1,0
398,2,2,35,1,-999,0,0,0,0,0,0,2,2,1,1,1,2,1,1
411,2,2,60,1,4,0,0,0,1,0,0,2,2,1,1,1,2,1,0
412,1,3,23,1,4,0,1,1,0,0,1,1,1,2,1,1,2,1,0
422,1,1,48,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
423,2,2,42,1,3,0,0,0,0,0,0,2,2,2,2,1,2,1,0
