adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,shgparticipate,savings,rationcard,mothertongue_2,Y,Z
2,2,2,40,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,0
27,1,1,50,1,3,0,0,1,0,0,0,1,2,2,2,1,2,1,0
28,2,2,45,1,3,0,0,1,0,0,0,2,2,2,2,1,2,1,1
29,2,2,35,1,3,0,0,1,0,0,0,2,2,2,2,1,2,1,1
31,1,1,60,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
32,2,2,55,1,3,0,0,1,0,0,0,2,2,2,2,1,2,1,1
35,1,3,28,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
36,2,3,25,1,3,0,0,1,0,0,0,2,2,2,2,1,2,1,1
39,1,1,33,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
40,2,2,27,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,0
42,1,3,28,1,3,0,0,1,0,0,1,1,1,2,1,1,2,1,0
43,2,3,25,1,3,0,0,1,0,0,0,2,1,2,1,1,2,0,0
48,1,1,48,1,3,0,1,1,0,0,0,1,1,2,1,1,2,1,0
49,2,2,38,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,1
50,2,3,21,1,3,0,0,0,1,0,0,1,2,2,2,1,2,1,0
51,1,1,36,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
52,2,2,25,1,3,0,0,1,0,0,0,2,2,2,2,1,2,0,0
60,1,1,24,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
62,1,3,50,1,3,0,0,1,0,0,0,2,2,2,2,1,2,0,1
63,2,3,45,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,0
64,2,1,45,1,3,0,0,0,0,0,0,2,1,2,2,1,2,1,1
76,1,1,39,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
77,2,2,28,1,3,0,0,1,0,0,0,2,2,2,2,1,2,1,0
81,1,3,55,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
82,2,3,50,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
91,2,2,52,1,3,0,0,0,0,0,0,2,2,2,2,1,2,1,1
93,2,3,30,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,0
106,1,1,65,1,3,0,0,1,0,0,0,1,2,2,2,1,2,1,0
107,2,2,55,1,3,0,0,1,0,0,0,1,1,1,1,1,2,1,1
112,2,3,20,1,3,0,0,0,0,0,0,1,1,2,2,1,2,0,0
113,1,1,48,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
114,2,2,38,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,0
119,2,3,49,1,3,0,0,1,0,0,0,1,2,2,2,1,2,1,0
123,1,1,50,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
124,2,2,40,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
132,1,1,60,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
133,2,2,50,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
