adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,shgparticipate,savings,rationcard,mothertongue_2,Y,Z
1,1,1,75,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
2,2,2,65,1,3,0,0,1,0,0,0,2,2,2,2,1,2,1,1
3,1,3,27,1,3,0,0,1,1,1,1,1,1,2,1,1,2,1,0
4,2,3,25,1,3,0,0,1,0,0,0,2,2,1,2,1,2,1,0
6,1,1,50,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
7,2,2,45,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,0
9,2,3,24,1,3,0,0,1,0,0,0,1,2,1,2,1,2,1,0
15,1,1,40,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
16,2,2,35,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
23,2,2,42,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,0
27,1,1,45,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,1
28,2,2,40,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
32,1,3,50,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
33,2,3,45,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
34,2,3,24,1,3,0,0,0,0,0,0,1,2,2,2,1,2,0,0
35,1,3,38,1,3,0,0,1,0,0,0,1,1,2,2,3,2,1,0
36,2,3,30,1,3,0,0,1,0,0,0,2,1,2,2,3,2,1,0
45,1,1,40,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
46,2,2,33,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,0
52,1,1,45,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
53,2,2,35,1,3,0,0,0,0,0,0,2,1,1,2,1,2,1,0
64,1,1,55,1,2,0,0,1,0,0,0,1,1,2,2,1,2,1,0
65,2,2,45,1,2,0,0,1,0,0,0,2,1,2,2,1,2,1,1
67,2,1,58,1,2,0,0,1,0,0,0,1,1,2,2,1,2,1,1
68,2,3,29,1,2,0,0,1,0,0,0,1,1,2,2,1,2,1,1
82,1,1,38,1,2,0,0,1,0,0,0,1,1,2,1,1,2,1,0
83,2,2,28,1,2,0,0,1,0,0,0,2,1,1,2,1,2,1,0
87,2,1,34,1,3,0,0,1,0,0,0,1,1,2,2,2,2,1,1
107,1,1,65,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
108,2,2,47,1,3,0,0,1,0,0,0,2,1,1,2,1,2,1,0
109,2,3,25,1,3,0,0,1,0,0,0,1,1,2,2,3,2,0,0
110,1,3,30,1,3,0,0,1,0,0,0,2,1,2,2,3,2,0,1
114,1,1,47,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
115,2,2,33,1,3,0,0,1,0,0,0,2,1,1,2,1,2,1,0
124,1,1,42,1,3,1,0,0,0,0,0,1,1,2,2,1,6,1,0
125,2,2,36,1,4,0,0,1,0,0,0,2,2,2,2,1,2,1,0
132,1,1,30,1,2,0,0,1,0,0,0,1,1,2,2,3,2,1,1
133,2,2,21,1,2,0,0,1,0,0,0,2,2,1,2,3,2,0,0
140,1,1,42,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
141,2,2,37,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,1
145,1,1,50,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
146,2,2,45,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,0
154,1,1,55,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
155,2,2,40,1,3,0,0,1,0,0,0,1,1,1,2,1,2,1,1
166,1,1,35,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
167,2,2,30,1,3,0,0,1,0,0,0,2,2,1,2,1,2,1,0
171,1,1,35,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
172,2,2,30,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,0
184,1,1,38,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,1
185,2,2,28,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,1
191,1,1,50,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
192,2,2,42,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,1
193,2,3,19,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
197,1,1,48,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
198,2,2,42,1,3,1,0,0,0,0,0,2,2,2,2,1,6,1,0
199,2,3,19,1,3,1,0,0,0,0,0,1,2,2,2,1,6,0,0
202,1,1,40,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
203,2,2,30,1,3,0,0,1,0,0,0,2,1,1,1,1,2,1,1
207,1,1,45,1,3,0,0,1,0,0,0,1,1,2,2,1,2,0,0
208,2,2,40,1,3,0,0,0,0,0,0,2,1,1,1,1,2,0,0
