adjmatrix_key,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,savings,rationcard,Y,Z,subcaste_2,mothertongue_2,ration_color_2,shg2,gender1
703,3,35,1,3,0,0,0,0,0,0,2,2,2,1,0,0,232,2,33,0,0
707,3,43,1,3,0,0,1,0,0,0,2,2,2,1,0,0,232,2,33,0,1
730,1,65,1,3,0,0,0,0,0,0,2,1,2,1,0,0,422,2,33,0,0
732,3,35,1,3,0,0,0,0,0,0,2,1,2,1,0,0,422,2,33,0,0
736,3,25,1,3,0,0,0,0,0,0,2,2,2,1,0,0,422,2,33,0,0
741,2,55,1,3,0,0,0,0,0,0,2,2,2,1,0,0,422,2,33,0,0
743,3,28,1,3,0,0,0,0,0,0,2,1,2,1,0,0,422,2,33,0,0
747,3,30,1,3,0,0,0,0,0,0,2,2,2,1,0,0,422,2,33,0,0
750,3,26,1,3,0,0,0,0,0,0,2,2,2,1,0,0,422,2,33,0,0
753,2,38,1,3,0,0,0,0,0,0,2,1,2,1,0,0,361,2,28,0,0
757,2,38,1,3,0,0,0,0,0,0,2,1,2,1,0,0,361,2,28,0,0
761,2,32,1,3,0,0,0,0,0,0,2,2,1,1,0,0,422,2,28,1,0
774,1,55,1,3,0,0,0,0,0,0,2,1,2,1,0,0,422,2,28,0,1
786,2,45,1,3,0,0,0,0,0,0,2,1,1,1,0,0,422,2,26,1,0
789,3,30,1,3,0,0,0,0,0,0,2,1,2,3,0,0,422,2,5,0,1
791,2,62,1,3,0,0,0,0,0,0,2,1,2,1,0,0,422,2,28,0,0
802,3,26,1,1,0,0,0,0,0,0,2,1,2,3,0,0,20,2,5,0,0
