adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,shgparticipate,savings,rationcard,mothertongue_2,Y,Z
5,1,1,53,1,3,1,0,0,0,0,0,1,1,2,1,1,6,1,0
6,2,2,42,1,3,1,0,0,0,0,0,2,2,2,2,1,6,1,1
7,2,3,22,1,3,1,0,0,0,0,0,1,2,2,2,1,6,1,0
9,1,1,26,1,3,0,0,1,0,0,0,1,1,1,2,1,2,1,0
10,2,2,20,1,3,1,0,0,0,0,0,2,2,1,1,1,6,1,0
22,1,1,45,1,3,1,0,0,0,0,0,1,1,2,2,1,6,1,0
23,2,2,38,1,3,1,0,0,0,0,0,2,2,2,1,1,6,1,0
25,1,1,70,1,3,0,0,0,0,0,0,1,2,2,1,1,6,1,0
26,2,2,60,1,3,1,0,0,0,0,0,2,2,2,1,1,6,1,1
28,1,3,42,1,3,1,0,0,0,0,0,1,1,2,2,1,6,1,0
29,2,3,35,1,3,1,0,0,0,0,0,2,2,2,2,1,6,1,1
32,1,3,30,1,3,1,0,0,0,0,0,1,1,2,2,1,6,1,0
33,2,3,29,1,3,0,0,1,0,0,0,2,2,2,2,1,2,1,1
36,1,1,48,1,3,1,0,0,0,0,0,1,1,2,1,1,6,1,1
37,2,2,38,1,3,1,0,0,0,0,0,2,2,2,1,1,6,1,0
47,1,1,45,1,3,1,0,0,0,0,0,1,1,2,1,1,6,1,1
48,2,2,40,1,3,1,0,0,0,0,0,2,2,2,2,1,6,1,0
64,1,1,55,1,3,1,0,0,0,0,0,1,1,2,1,1,6,1,0
65,2,2,42,1,3,1,0,0,0,0,0,2,1,1,1,1,6,1,1
72,1,1,37,1,3,1,0,0,1,0,0,1,2,2,1,3,6,1,0
73,2,2,30,1,3,1,0,0,1,0,0,2,2,2,2,3,6,1,0
77,1,1,48,1,3,1,0,0,0,0,0,1,1,2,2,1,6,1,1
78,2,2,45,1,3,1,0,0,0,0,0,2,1,2,2,1,6,1,1
90,2,2,45,1,3,1,0,0,0,0,0,1,2,2,2,3,6,1,0
