adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,shgparticipate,savings,rationcard,mothertongue_2,Y,Z
263,2,1,50,2,3,1,0,1,0,0,0,2,1,2,2,1,7,1,1
264,2,3,38,2,3,1,0,1,0,0,0,1,1,1,2,1,7,1,1
269,1,1,55,2,3,1,0,1,0,0,0,2,2,2,2,1,7,1,1
270,2,2,43,2,3,1,0,1,0,0,0,2,2,1,1,1,7,1,1
271,2,3,25,2,3,1,0,1,1,0,0,1,1,2,1,1,7,0,0
272,2,3,20,2,3,1,0,1,0,0,1,1,1,1,1,1,7,0,0
281,1,1,60,1,3,1,0,0,0,0,0,1,1,2,2,3,6,0,0
293,1,1,35,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
294,2,2,31,1,3,0,0,1,0,0,0,2,1,1,2,1,2,1,0
299,1,1,50,1,2,0,0,1,0,0,0,1,1,2,2,1,2,1,1
300,2,2,39,1,2,1,0,0,0,0,0,1,1,1,2,3,6,1,1
311,1,1,35,2,3,1,0,1,1,0,0,1,1,2,2,1,7,1,0
312,2,2,25,2,3,1,0,1,0,0,0,2,1,2,1,1,7,1,0
319,2,3,25,2,3,1,0,1,0,0,0,2,1,2,1,3,1,1,1
323,1,1,43,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
324,2,2,26,1,3,1,0,0,0,0,0,2,2,2,2,1,6,1,1
333,2,1,49,1,4,0,0,1,0,0,0,2,1,2,2,3,2,0,0
342,1,1,60,1,3,0,0,0,0,0,0,1,1,2,2,1,6,1,1
343,2,2,55,1,3,1,0,0,0,0,0,2,2,2,2,3,6,0,1
344,2,3,28,1,3,1,0,0,0,0,0,1,2,2,2,1,6,0,1
349,1,1,33,1,2,0,0,1,0,0,0,1,1,2,1,3,2,1,0
350,2,2,24,1,2,0,0,0,0,0,0,2,2,1,1,3,6,0,0
360,1,1,35,1,2,1,0,0,0,0,0,2,1,2,2,1,6,1,0
361,2,2,32,1,2,1,0,0,0,0,0,2,2,1,1,1,6,1,0
374,1,1,25,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
375,2,2,22,1,3,0,0,0,0,0,0,2,1,1,1,1,6,1,1
381,1,1,45,1,2,1,0,0,0,0,0,1,1,2,2,1,6,1,0
382,2,2,40,1,2,0,0,0,0,0,0,2,1,1,1,1,6,1,1
393,1,1,54,1,2,0,0,1,0,0,0,1,1,2,2,1,2,1,1
394,2,2,52,1,2,0,0,1,0,0,0,2,2,2,1,1,2,1,1
395,1,3,23,1,2,0,0,1,0,0,0,1,1,2,2,1,2,1,0
396,2,3,20,1,2,0,0,1,0,0,0,2,2,2,2,1,2,0,0
398,2,3,20,1,2,0,0,1,0,0,0,1,2,2,2,3,2,1,0
399,1,3,30,1,2,0,0,1,0,0,0,2,1,2,1,3,2,1,0
401,1,1,50,1,2,0,0,1,0,0,0,1,1,2,2,1,2,1,1
402,2,2,45,1,2,0,0,1,0,0,0,2,1,1,1,1,2,1,1
405,1,1,60,1,2,1,0,0,0,0,0,2,1,2,1,1,6,1,0
406,2,2,50,1,2,1,0,0,0,0,0,2,2,2,2,1,6,1,1
415,2,2,45,1,3,1,0,0,0,0,0,2,1,2,2,1,6,1,0
416,2,2,27,1,3,1,0,0,0,0,0,2,1,1,1,1,6,1,0
420,1,1,31,1,3,0,0,1,0,1,0,1,1,2,1,1,2,1,0
421,2,2,22,1,3,0,0,1,0,0,0,2,2,2,1,1,2,0,0
423,1,1,35,1,3,0,0,1,0,0,0,1,1,2,1,3,2,1,0
428,2,2,40,1,3,1,0,0,0,0,0,1,1,2,2,3,6,0,1
431,1,1,48,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
432,2,2,34,1,3,0,0,1,0,0,0,2,2,2,2,1,2,1,0
448,2,3,40,1,4,0,0,1,0,0,1,1,1,1,1,1,2,1,0
450,1,1,45,1,2,0,0,1,0,0,0,1,1,2,2,1,2,0,1
