adjmatrix_key,religion,caste,speakother,kannada,tamil,telugu,hindi,urdu,english,workflag,shgparticipate,electioncard,rationcard,mothertongue_2,Y,Z
5,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
6,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
23,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
24,1,3,2,0,0,0,0,0,0,1,1,1,3,2,1,0
27,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
28,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
33,1,3,1,0,0,1,0,0,0,1,2,1,1,2,1,0
34,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
37,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
38,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
39,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
40,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
57,1,1,2,0,0,0,0,0,0,1,2,1,1,2,1,1
58,1,1,2,0,0,0,0,0,0,1,2,1,1,2,1,0
59,1,1,2,0,0,0,0,0,0,2,2,1,1,2,1,0
71,1,1,2,0,0,0,0,0,0,1,2,1,1,2,1,0
72,1,1,2,0,0,0,0,0,0,1,1,1,1,2,1,0
86,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
87,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
89,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
90,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
91,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
92,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
93,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
110,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
111,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,1
128,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
129,1,3,2,0,0,0,0,0,0,2,1,1,1,2,1,1
134,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
135,1,3,2,0,0,0,0,0,0,2,1,1,1,2,1,1
137,1,3,1,0,0,0,0,0,1,2,2,3,3,2,0,0
138,1,3,2,0,0,0,0,0,0,1,2,3,1,2,0,0
140,1,1,2,0,0,0,0,0,0,1,2,1,1,2,1,1
141,1,1,1,0,0,0,0,1,0,1,1,1,1,2,1,1
145,1,1,2,0,0,0,0,0,0,1,2,1,1,2,1,0
146,1,1,2,0,0,0,0,0,0,1,2,1,1,2,1,1
154,1,1,2,0,0,0,0,0,0,1,2,1,1,2,1,1
155,1,1,2,0,0,0,0,0,0,2,2,1,1,2,1,1
162,1,1,2,0,0,0,0,0,0,1,2,1,1,2,1,1
163,1,1,2,0,0,0,0,0,0,2,2,1,1,2,1,0
173,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
174,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
179,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
180,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,0
183,2,3,1,1,0,0,0,0,0,1,2,1,1,7,1,1
184,2,3,1,1,0,0,0,0,0,1,1,1,1,7,1,1
190,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
191,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,1
209,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
210,1,3,2,0,0,0,0,0,0,2,1,1,1,2,1,0
214,1,3,2,0,0,0,0,0,0,1,2,3,3,2,0,0
215,1,3,2,0,0,0,0,0,0,2,2,1,3,2,1,1
223,1,3,2,0,0,0,0,0,0,1,2,3,1,2,0,0
226,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
227,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,1
228,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
229,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
232,1,4,1,0,0,1,0,0,0,1,2,1,1,2,1,0
233,1,4,1,0,0,1,0,0,0,2,2,1,1,2,1,1
235,1,4,2,0,0,0,0,0,0,2,2,3,1,2,0,0
254,1,3,2,0,0,0,0,0,0,2,2,3,3,2,0,1
257,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,0
258,1,3,2,0,0,0,0,0,0,2,1,1,1,2,1,1
266,1,3,2,0,0,0,0,0,0,1,2,1,3,2,1,1
267,1,3,2,0,0,0,0,0,0,1,2,1,3,2,1,0
269,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
270,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
283,1,3,2,0,0,0,0,0,0,1,2,1,1,2,1,1
284,1,3,2,0,0,0,0,0,0,1,2,1,3,2,1,1
285,1,3,2,0,0,0,0,0,0,2,2,3,3,2,0,0
294,1,3,1,1,0,0,0,0,0,1,2,1,1,2,1,0
295,1,3,2,0,0,0,0,0,0,2,2,1,1,2,1,1
297,1,3,1,0,0,0,0,0,1,2,2,3,3,2,0,0
299,1,3,2,0,0,0,0,0,0,1,2,1,3,2,1,0
