adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,shgparticipate,savings,rationcard,mothertongue_2,Y,Z
1,1,1,50,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
2,2,2,40,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
4,1,1,65,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
5,2,2,50,1,3,0,0,0,0,0,0,2,1,2,2,1,2,1,1
7,1,1,35,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
8,2,2,29,1,3,0,0,0,0,0,0,2,1,2,2,1,2,1,0
21,1,1,50,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,1
22,2,2,45,1,3,0,0,0,0,0,0,2,1,2,2,1,2,1,1
23,1,3,22,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
24,2,3,21,1,3,0,0,0,0,0,0,2,1,2,2,1,2,1,0
35,1,1,41,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
36,2,2,38,1,3,1,0,0,0,0,0,2,1,1,1,1,6,1,1
44,1,1,54,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
45,2,2,48,1,3,0,0,0,0,0,0,2,1,2,1,1,2,1,1
46,1,3,32,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
47,2,3,24,1,3,0,0,0,0,0,0,2,1,2,2,1,2,1,0
50,1,3,30,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
51,2,3,22,1,3,0,0,0,0,0,0,2,1,2,2,1,2,1,0
55,1,1,35,1,2,0,0,1,0,0,0,2,1,2,1,1,2,1,0
56,2,2,32,1,2,0,0,1,0,0,0,1,1,1,1,1,2,1,0
60,1,1,60,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,1
61,2,2,55,1,3,0,0,1,0,0,0,1,2,2,1,1,2,1,1
62,2,3,32,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
64,1,3,30,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
65,2,3,25,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,0
71,1,1,40,1,4,0,0,1,0,0,0,1,1,2,2,1,2,1,0
72,2,2,32,1,4,0,0,0,0,0,0,2,1,1,1,1,2,1,0
76,1,1,45,1,4,0,0,1,0,0,0,1,1,2,2,1,2,1,0
77,2,2,38,1,4,0,0,1,0,0,0,2,2,2,2,1,2,1,1
94,1,1,51,1,4,0,0,1,0,0,0,1,2,2,2,1,2,1,0
95,2,2,45,1,4,0,0,1,0,0,0,1,2,2,2,1,2,1,1
96,1,3,28,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
97,2,3,21,1,4,0,0,1,0,0,0,2,2,2,2,3,2,0,0
99,1,1,40,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
100,2,2,35,1,3,0,0,1,0,0,0,1,1,2,2,1,2,0,1
108,1,1,45,1,3,0,0,1,0,0,0,1,1,2,2,3,2,1,0
109,2,2,40,1,3,0,0,1,0,0,0,2,1,1,1,3,2,1,1
110,2,3,18,1,3,0,0,1,0,0,0,1,2,2,2,3,2,0,0
115,1,1,55,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
116,2,2,50,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
117,1,3,28,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
118,2,3,25,1,3,0,0,1,0,0,0,2,2,2,2,1,2,1,1
121,1,1,27,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
122,2,2,20,1,3,0,0,0,0,0,0,2,2,2,2,3,2,0,0
131,1,1,30,1,3,0,0,1,0,0,0,1,1,1,2,3,2,1,0
132,2,2,25,1,3,0,0,1,0,0,0,2,1,2,2,3,2,1,0
135,1,1,60,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
136,2,2,56,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
137,2,3,38,1,3,0,0,1,0,0,0,1,2,2,2,1,2,1,1
151,1,1,34,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
