adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,shgparticipate,savings,rationcard,mothertongue_2,Y,Z
13,1,1,65,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
14,2,2,55,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
17,2,3,18,1,3,0,0,1,0,0,0,1,2,2,2,1,2,1,0
28,1,1,55,1,3,0,0,1,0,0,0,1,1,2,2,3,2,0,0
29,2,2,48,1,3,0,0,1,0,0,0,2,2,2,2,3,2,0,1
34,1,1,52,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
35,2,2,40,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
37,1,1,50,1,3,0,0,1,0,0,0,1,2,2,2,1,2,0,0
38,2,2,45,1,3,0,0,1,0,0,0,1,2,2,2,1,2,0,0
52,1,1,45,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
53,2,2,38,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
55,2,3,19,1,3,0,0,1,0,0,0,1,2,1,1,1,2,0,0
56,1,1,50,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
57,2,2,45,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
62,1,1,35,1,3,0,0,1,0,0,0,1,1,2,2,3,2,1,0
63,2,2,22,1,3,0,0,1,0,0,0,1,2,2,2,3,2,1,0
65,1,1,40,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
66,2,2,30,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
69,2,1,65,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
70,2,3,30,1,3,0,0,1,0,0,0,1,1,1,1,1,2,1,0
79,1,3,60,1,3,0,0,1,0,1,0,1,2,2,2,1,2,1,0
84,1,1,40,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
85,2,2,32,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,0
88,1,1,44,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
89,2,2,40,1,3,0,0,1,0,0,0,2,2,1,1,1,2,1,1
100,1,1,34,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
101,2,2,28,1,3,0,0,1,0,0,0,2,2,2,1,1,2,1,0
104,2,3,30,1,3,0,0,1,0,0,0,1,1,2,2,3,2,1,1
106,1,1,38,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
107,2,2,35,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
115,1,1,56,1,3,1,0,0,0,0,0,1,2,2,1,1,6,1,0
116,2,2,46,1,3,1,0,0,0,0,0,2,1,2,2,1,6,1,0
136,1,1,70,1,3,1,0,0,1,0,1,1,2,2,2,1,6,1,0
137,2,2,65,1,3,1,0,0,0,0,0,2,2,2,2,1,6,1,1
140,2,3,19,1,3,1,0,0,0,0,0,1,2,2,2,1,6,1,0
145,1,1,30,1,3,1,1,0,1,0,0,1,1,2,2,1,6,1,0
146,2,2,25,1,3,1,0,0,0,0,0,2,2,2,2,1,6,1,0
150,2,3,50,1,3,1,0,0,0,0,0,2,2,2,2,1,6,1,1
151,1,1,62,1,3,1,0,0,0,0,0,1,1,2,2,1,6,1,0
152,2,2,55,1,3,1,0,0,0,0,0,2,1,2,2,1,6,1,1
153,1,3,38,1,3,1,0,0,0,1,0,1,1,2,2,1,6,1,0
156,1,3,35,1,3,1,0,0,0,0,0,1,1,2,2,1,6,1,0
161,1,1,58,2,3,1,0,1,0,0,1,1,1,2,2,1,7,1,0
162,2,2,52,2,3,1,0,1,0,0,0,2,2,1,1,1,7,1,0
164,1,3,25,2,3,1,0,0,0,0,0,1,1,2,2,1,7,1,0
165,2,3,18,2,3,1,0,1,0,0,0,2,2,2,2,3,7,0,0
171,1,1,50,1,3,1,0,0,0,0,0,1,2,2,2,1,6,1,0
172,2,2,40,1,3,1,0,0,0,0,0,2,2,1,1,1,6,1,0
177,1,1,35,1,3,1,0,0,0,0,0,1,1,2,2,1,6,1,0
178,2,2,30,1,3,1,0,0,0,0,0,2,1,1,1,1,6,1,1
184,1,1,38,1,3,1,0,0,0,0,0,1,1,2,2,1,6,1,1
185,2,2,35,1,3,0,0,0,0,0,0,2,1,1,1,1,6,1,1
189,1,1,40,1,3,1,0,0,0,0,0,1,1,2,1,1,6,1,0
190,2,2,35,1,3,1,0,0,0,0,0,2,2,2,2,1,6,1,1
193,1,3,38,1,3,0,0,0,0,0,0,1,1,2,2,1,6,1,1
194,2,3,30,1,3,1,0,0,0,0,0,2,1,2,2,1,6,1,0
197,1,3,36,1,3,1,0,0,0,0,0,1,1,2,2,1,6,1,0
198,2,3,28,1,3,1,0,0,0,0,0,2,1,2,2,1,6,1,0
210,1,1,50,2,3,1,0,1,0,0,0,1,1,2,2,1,7,1,0
