adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,shgparticipate,savings,rationcard,mothertongue_2,Y,Z
16,1,1,36,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,1
17,2,2,33,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,0
20,1,1,45,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,1
21,2,2,40,1,3,0,0,0,0,0,0,2,1,2,1,1,2,1,1
34,1,1,45,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
35,2,2,40,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,1
42,1,1,35,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,1
43,2,2,26,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
46,1,1,32,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
47,2,2,25,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,0
54,1,1,48,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,0
55,2,2,40,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,1
57,1,1,54,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,1
58,2,2,45,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,1
70,1,2,50,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,1
71,2,2,35,1,3,0,0,0,0,0,0,2,1,2,2,1,2,1,0
74,1,1,60,1,3,0,0,0,0,0,0,1,2,2,1,1,2,1,1
75,2,2,45,1,3,0,0,0,0,0,0,2,2,2,2,1,2,1,1
76,1,3,26,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
77,2,3,20,1,3,0,0,0,0,0,0,2,2,1,1,1,2,0,0
84,1,1,32,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,0
85,2,2,25,1,3,0,0,0,0,0,0,1,2,1,1,3,2,1,0
90,1,1,38,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,1
91,2,2,30,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,0
95,1,1,36,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
96,2,2,31,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,1
111,2,1,45,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,0
115,1,1,35,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
116,2,2,30,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
119,1,1,40,1,3,0,0,0,1,0,0,1,1,2,1,1,2,1,0
120,2,2,35,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
123,1,1,50,1,3,0,1,0,0,0,0,1,2,2,2,1,2,1,1
124,2,2,42,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
126,2,3,21,1,3,0,0,0,1,0,1,1,2,2,2,3,2,0,0
127,1,1,35,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,0
128,2,2,29,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
131,1,1,43,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,1
132,2,2,33,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,1
137,1,1,48,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
138,2,2,32,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,1
158,1,1,30,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
159,2,2,26,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,0
167,2,1,45,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
169,2,1,67,1,3,0,0,0,0,0,0,2,2,2,1,1,2,1,1
170,1,3,28,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,0
171,2,3,25,1,3,0,0,0,0,0,0,2,2,1,1,1,2,0,0
175,2,3,37,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,0
179,2,2,38,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
180,2,3,18,1,3,0,0,0,1,0,1,1,2,1,1,1,2,0,0
192,1,1,45,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
193,2,2,35,1,3,0,0,0,0,0,0,2,2,2,2,1,2,1,1
194,2,3,19,1,3,0,0,0,0,0,0,1,2,2,2,3,2,0,0
221,1,1,45,1,3,0,0,0,0,0,0,1,2,2,2,1,2,1,1
222,2,2,35,1,3,0,0,0,0,0,0,2,2,2,2,1,2,1,1
223,2,3,20,1,3,0,0,0,0,0,0,1,2,2,2,1,2,0,0
225,1,1,50,1,3,0,0,0,0,0,0,2,2,2,2,1,2,1,1
226,2,2,45,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,1
231,1,1,29,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,1
232,2,2,24,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
235,1,1,38,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
236,2,2,28,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,1
250,1,1,50,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,1
251,2,2,42,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
254,1,1,35,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,1
255,2,2,30,1,3,0,0,0,0,0,0,2,1,2,2,1,2,1,1
261,1,1,50,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,1
262,2,2,45,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
263,2,3,18,1,3,0,0,0,1,0,0,1,2,1,1,1,2,0,0
271,1,1,50,1,3,0,0,0,0,0,0,1,2,2,2,1,2,0,1
272,2,2,42,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,1
293,1,1,50,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,0
297,1,1,32,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,1
298,2,2,26,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,0
305,1,1,42,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,1
306,2,2,38,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,1
319,1,1,45,1,3,0,0,0,0,0,0,1,2,2,2,1,2,1,1
320,2,2,35,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
323,2,1,35,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
329,1,1,34,1,4,0,0,0,0,0,0,1,1,1,1,1,2,1,0
330,2,2,28,1,4,0,0,0,0,0,0,2,2,1,1,1,2,1,0
345,1,1,45,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,1
346,2,2,40,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,1
360,1,1,45,1,4,0,0,0,0,0,0,1,2,2,2,1,2,0,0
361,2,2,35,1,4,0,0,0,0,0,0,2,1,1,1,1,2,0,1
364,1,1,40,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
365,2,2,35,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,1
371,1,1,60,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,1
372,2,2,47,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,0
381,1,1,52,1,3,0,0,0,0,0,0,2,2,2,1,1,2,1,1
382,2,2,46,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,1
391,1,1,36,1,4,0,1,0,0,0,1,1,1,1,1,1,2,1,0
392,2,2,25,1,3,0,0,0,0,0,1,2,1,1,1,1,2,0,0
408,1,1,38,1,3,0,1,1,0,0,0,2,1,2,1,1,2,0,0
409,2,2,30,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,0
415,1,1,48,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
416,2,2,44,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
418,2,3,20,1,3,0,0,0,0,0,0,1,2,2,2,1,5,1,0
419,1,1,39,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
420,2,2,29,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
421,1,3,35,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
423,1,1,32,1,4,0,0,0,0,0,0,1,1,2,2,1,2,1,0
424,2,2,25,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,0
428,1,3,26,1,4,0,0,0,0,0,0,1,1,2,2,1,2,1,0
429,2,3,22,1,4,0,0,0,0,0,0,2,2,1,1,3,2,1,0
439,1,1,65,1,4,0,0,0,0,0,0,1,2,2,1,1,2,1,0
440,2,2,50,1,4,0,0,0,0,0,0,2,2,2,1,1,2,1,0
444,1,1,40,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,1
445,2,2,30,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,1
448,2,1,35,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
457,1,1,25,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
458,2,3,45,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,1
465,1,1,45,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,1
466,2,2,35,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
469,1,3,36,1,3,0,0,1,0,0,1,1,1,2,1,1,2,1,0
470,2,3,28,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,0
477,1,1,55,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
478,2,2,46,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
479,1,3,30,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
480,2,3,21,1,3,0,0,0,0,0,0,2,2,2,2,1,2,0,0
484,1,1,75,1,3,0,0,0,0,0,0,1,2,2,2,1,2,1,1
485,2,2,60,1,3,0,0,0,0,0,0,2,2,2,2,1,2,1,1
486,1,3,30,1,3,0,1,0,0,0,0,1,1,2,2,1,2,1,0
487,2,3,25,1,3,0,0,0,0,0,0,2,2,2,2,1,2,0,0
498,2,1,45,1,3,0,0,0,0,0,0,1,1,1,1,1,2,1,1
500,1,1,53,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,1
501,2,2,46,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
508,2,1,30,1,1,0,0,0,0,0,0,1,1,1,1,1,2,1,1
512,2,3,40,1,1,0,0,0,0,0,0,1,2,2,2,1,2,1,1
533,1,1,35,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
534,2,2,25,1,3,0,0,0,0,0,0,2,1,1,1,1,2,1,1
537,1,1,49,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
538,2,2,34,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
542,1,1,34,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
549,1,1,45,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
550,2,2,39,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
553,1,1,40,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,1
554,2,2,31,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,0
561,1,1,60,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,1
562,2,2,55,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,1
563,1,3,35,1,3,0,0,0,0,0,0,1,1,2,2,1,2,1,0
564,2,3,24,1,3,0,0,0,0,0,1,2,2,1,1,1,2,1,0
568,2,3,20,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,0
570,1,1,55,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,1
571,2,2,48,1,3,0,0,0,0,0,0,2,2,2,1,1,2,1,1
572,1,3,31,1,3,0,0,0,0,0,0,2,1,2,2,1,2,1,0
573,2,3,28,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,0
576,1,1,55,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,1
577,2,2,50,1,3,0,0,0,0,0,0,1,2,1,1,1,2,1,1
