adjmatrix_key,resp_gend,resp_status,age,religion,caste,kannada,tamil,telugu,hindi,urdu,english,villagenative,workflag,shgparticipate,savings,rationcard,mothertongue_2,Y,Z
2,1,1,55,1,2,1,0,0,0,0,0,1,1,2,1,1,6,1,1
21,1,1,36,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
22,2,2,32,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
25,1,1,46,1,3,1,0,0,0,0,0,1,1,2,2,1,5,1,1
26,2,2,32,1,3,1,0,0,0,0,0,2,1,2,2,3,6,1,1
39,2,2,50,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
48,1,1,60,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
49,2,2,50,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
56,1,1,45,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
57,2,2,35,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
67,1,1,45,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,1
68,2,2,40,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
69,2,2,35,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
75,1,1,60,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
76,2,2,55,1,3,0,0,1,0,0,0,2,2,2,2,1,2,1,1
85,2,1,50,1,3,0,0,0,0,0,0,2,1,2,1,1,2,1,1
86,1,1,60,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
87,2,2,50,1,3,0,0,0,0,0,0,2,2,2,2,1,2,1,1
90,1,3,35,1,3,0,1,1,0,0,0,1,1,2,2,1,2,1,1
91,2,3,30,1,3,0,0,1,0,0,0,2,2,2,2,3,2,0,1
114,1,1,40,1,3,0,0,1,1,0,0,1,1,2,1,1,2,1,0
115,2,2,30,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
136,1,1,30,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
137,2,2,25,1,3,0,0,0,0,0,0,2,2,2,2,3,2,0,0
139,2,3,50,1,3,0,0,1,0,0,0,2,2,2,2,1,2,1,1
140,1,1,50,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
141,2,2,48,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
142,1,3,22,1,3,0,1,1,1,0,0,1,1,2,2,3,2,1,0
143,2,3,19,1,3,0,0,1,0,0,0,2,2,2,2,3,2,0,0
145,1,1,60,1,3,1,1,1,0,0,0,1,1,2,2,1,6,1,0
146,2,2,50,1,3,1,0,0,0,0,0,2,2,2,2,1,6,1,1
153,1,1,42,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,1
154,2,2,30,1,3,0,0,1,0,0,0,2,1,2,1,1,2,1,1
168,1,1,60,2,3,1,0,1,0,0,0,1,1,2,1,1,7,1,0
172,1,1,55,1,3,0,1,1,0,1,0,1,1,2,1,1,2,1,0
173,2,2,48,1,3,0,0,1,0,0,0,1,2,2,1,1,2,1,0
179,1,1,45,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
180,2,2,42,1,3,0,0,0,0,0,0,2,2,1,1,1,2,1,1
182,1,1,38,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,0
183,2,2,35,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,1
193,1,1,48,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
194,2,1,40,1,3,0,0,1,0,0,0,2,1,2,1,1,2,1,1
198,2,1,55,1,1,0,0,1,0,0,0,2,1,2,2,1,2,1,1
199,2,3,30,1,3,0,0,1,0,0,0,1,1,1,1,1,2,1,1
201,2,3,20,1,3,0,0,1,0,0,0,1,2,2,2,1,2,1,1
221,1,1,55,1,3,0,1,1,0,1,0,1,1,2,1,1,2,1,0
231,1,1,73,1,4,0,1,1,1,0,1,1,2,1,1,3,2,1,0
235,1,1,55,1,3,0,0,1,0,0,0,1,2,2,1,1,2,1,1
236,2,2,48,1,3,0,0,1,0,0,0,2,1,2,2,1,2,1,1
243,1,1,44,1,4,0,1,1,1,0,1,1,1,2,2,1,2,1,0
244,2,2,41,1,4,0,0,0,0,0,0,2,2,2,2,1,2,1,0
248,1,1,40,1,3,0,1,1,1,0,0,1,1,2,1,3,2,1,0
249,2,2,35,1,3,0,0,0,0,0,0,2,2,2,2,1,2,1,0
252,1,1,65,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
253,2,2,59,1,3,0,0,1,0,0,0,2,2,2,2,3,2,1,0
255,1,3,53,1,3,0,0,1,0,0,0,1,1,2,1,3,2,1,0
256,2,3,48,1,3,0,0,1,0,0,0,2,1,2,2,3,2,1,1
257,1,3,51,1,3,1,0,1,0,0,0,1,1,2,2,3,2,1,0
258,2,2,45,1,3,0,0,1,0,0,0,2,1,2,2,3,2,1,1
260,2,3,19,1,3,0,0,1,0,0,0,1,2,2,2,3,2,0,0
261,1,1,46,1,3,0,0,1,0,1,0,1,1,2,2,1,2,1,0
262,2,3,42,1,3,1,0,1,0,0,0,2,1,2,2,3,2,1,0
281,2,1,50,1,3,0,0,1,0,0,0,1,2,2,2,3,2,1,1
282,1,1,35,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
283,2,2,28,1,3,0,0,0,0,0,0,2,1,2,2,1,2,1,1
286,1,1,35,1,3,0,0,1,0,0,0,1,1,2,1,1,2,1,0
287,2,2,30,1,3,0,0,1,0,0,0,2,2,2,2,1,2,1,0
291,1,3,30,1,3,0,0,1,0,0,0,1,1,2,2,1,2,1,0
292,2,3,25,1,3,0,0,0,0,0,0,1,2,2,2,1,2,1,1
299,1,1,51,1,3,0,0,0,0,0,0,1,1,2,1,1,2,1,0
300,2,2,45,1,3,0,0,1,0,0,0,2,2,2,1,1,2,1,0
302,2,3,20,1,3,0,0,1,0,0,1,1,1,2,2,1,2,0,0
307,1,1,48,1,3,0,1,1,0,1,0,1,1,2,1,1,5,1,0
308,2,2,42,1,3,0,0,0,0,0,0,2,2,2,2,1,2,1,0
316,1,1,45,2,3,1,1,1,1,0,0,1,1,2,1,1,7,1,1
317,2,2,40,2,3,1,0,1,0,0,0,2,2,2,2,1,7,1,0
321,1,1,45,2,3,1,0,1,0,0,0,1,1,2,2,1,7,1,0
322,2,2,37,2,3,1,0,1,1,0,0,2,1,2,2,1,7,1,0
331,1,1,35,2,3,1,0,1,0,0,0,1,1,2,2,1,7,1,1
332,2,2,25,2,3,0,0,0,0,0,0,2,1,2,2,1,1,1,0
336,1,1,25,2,3,1,0,1,1,0,0,1,1,2,2,3,7,1,0
337,2,2,20,2,3,1,0,1,0,0,0,2,2,2,2,3,7,0,0
342,1,1,50,1,3,1,0,0,0,1,0,1,1,2,1,3,6,1,0
343,2,2,45,1,3,1,0,0,0,0,0,2,2,2,2,3,6,1,1
344,1,3,23,1,3,1,0,1,0,0,0,1,1,2,1,1,2,1,0
352,1,1,55,1,1,0,0,1,0,0,0,1,2,2,2,1,2,1,1
353,2,2,50,1,1,0,0,1,0,0,0,2,2,2,2,1,2,1,1
362,1,1,55,1,1,0,0,1,0,0,0,1,1,2,2,1,2,1,1
363,2,2,50,1,1,0,0,1,0,0,0,2,2,2,2,1,2,1,1
364,1,3,30,1,1,0,1,1,0,0,0,1,1,2,2,1,2,1,1
365,2,3,27,1,1,0,0,1,0,0,0,2,2,2,2,1,2,1,0
373,1,2,36,1,1,0,1,1,0,0,0,1,1,2,1,1,2,1,0
374,2,2,29,1,1,0,0,1,0,0,0,2,1,2,1,1,2,1,1
380,2,1,48,1,1,0,0,1,0,0,0,1,1,2,2,3,2,1,0
387,1,1,45,1,1,0,1,1,0,0,0,1,1,2,1,1,2,1,0
388,2,2,30,1,1,0,0,1,0,0,0,2,2,1,1,1,2,1,1
396,1,1,39,1,1,0,1,1,0,0,0,1,1,2,1,1,2,1,0
397,2,2,25,1,1,0,1,1,0,0,0,2,2,2,1,1,2,1,0
416,1,1,35,1,1,0,0,1,0,0,0,1,1,2,2,1,2,1,0
417,2,2,30,1,1,0,0,1,0,0,0,2,2,2,2,1,2,1,1
422,1,1,50,1,1,0,1,1,1,0,0,1,1,2,1,1,2,1,0
423,2,2,40,1,1,0,0,1,0,0,0,2,2,2,1,1,2,1,1
430,1,1,35,1,1,0,0,1,0,0,0,1,1,2,1,1,2,1,0
431,2,2,33,1,1,0,1,1,0,0,0,2,1,2,1,1,2,1,1
441,1,1,37,1,1,0,0,1,0,0,0,2,1,2,2,3,2,0,1
442,2,2,28,1,1,0,0,1,0,0,0,2,1,2,2,3,2,0,1
447,1,1,47,1,1,0,1,1,0,0,0,1,1,2,1,1,2,1,0
448,2,2,39,1,1,0,0,1,0,0,0,2,2,2,2,1,2,1,1
449,2,3,18,1,1,0,1,1,0,0,0,1,2,2,2,1,2,0,0
451,1,1,40,1,1,1,0,1,0,0,0,1,1,2,2,1,5,1,1
452,2,2,36,1,1,0,0,1,0,0,0,2,2,2,2,1,2,1,1
466,2,1,56,1,1,0,0,1,0,0,0,2,2,2,2,1,2,1,1
467,2,3,27,1,1,0,0,1,0,0,0,1,2,2,2,1,2,1,0
471,1,1,45,1,1,0,0,1,0,0,0,1,1,2,2,1,2,1,1
472,2,2,39,1,1,0,0,1,0,0,0,2,1,2,2,1,2,1,0
481,1,1,36,1,1,0,1,1,0,0,0,1,1,2,1,1,2,1,0
482,2,2,26,1,1,0,0,1,0,0,0,2,2,2,2,1,2,0,0
489,1,1,50,1,1,0,1,1,1,0,0,1,1,2,1,1,2,1,0
490,2,2,45,1,1,1,0,0,0,0,0,2,2,2,2,1,1,1,1
495,1,1,28,1,1,0,1,1,0,0,0,1,1,2,2,3,2,1,0
496,2,2,24,1,1,0,1,1,0,0,0,2,2,2,2,3,2,0,0
499,1,1,69,1,1,1,0,1,0,0,0,1,2,2,1,3,5,0,0
500,2,2,58,1,1,1,0,1,0,0,0,2,2,2,1,3,5,0,1
501,2,3,20,1,1,1,0,1,0,0,0,2,2,2,2,3,5,0,0
505,1,1,38,1,1,0,1,1,0,0,0,1,1,2,1,3,2,1,0
506,2,2,30,1,1,1,0,1,0,0,0,1,1,2,2,3,5,1,1
511,1,1,35,1,1,0,1,1,0,0,0,1,1,2,1,1,2,1,1
512,2,2,30,1,1,0,1,1,0,0,0,2,2,2,2,1,2,0,1
516,2,2,46,1,1,0,0,1,0,0,0,1,2,2,2,1,2,0,1
517,1,1,25,1,1,0,1,1,1,0,0,1,1,2,2,1,2,1,0
523,1,1,45,1,3,0,0,1,0,1,0,1,1,2,2,1,2,1,0
524,2,2,38,1,3,0,0,1,0,0,0,2,1,2,1,1,2,1,0
527,1,1,40,1,1,1,0,1,0,0,0,1,1,2,2,1,5,1,0
528,2,2,35,1,1,1,0,1,0,0,0,1,1,2,2,1,5,1,1
529,2,3,20,1,1,1,0,1,0,0,0,1,2,2,2,1,6,0,0
540,1,1,30,1,1,0,1,1,0,0,0,1,1,2,2,3,2,1,0
541,2,2,24,1,1,0,1,0,0,0,0,2,1,2,2,3,2,0,0
549,2,2,45,1,1,0,1,1,0,0,0,2,1,2,2,1,2,1,1
556,1,1,27,1,1,0,0,1,0,0,0,1,1,2,2,1,2,1,1
557,2,2,20,1,1,0,0,1,0,0,0,2,1,2,2,1,2,0,0
573,1,1,33,1,1,1,0,1,0,0,0,1,1,2,2,1,5,1,0
